question,answer
"Город находится на западе Хузестана, в центральной части Хузестанской равнины, на высоте 19 м над уровнем моря.","Город находится на западе Хузестана, в центральной части Хузестанской равнины, на высоте 19 метров над уровнем моря."
"Молашийе-йе-Йек расположен на расстоянии нескольких км к западу от Ахваза, административного центра провинции.","Молашийе-йе-Йек расположен на расстоянии нескольких километров к западу от Ахваза, административного центра провинции."
"Расстояние до Тегерана, столицы страны, составляет приблизительно 550 км по направлению на северо-восток.","Расстояние до Тегерана, столицы страны, составляет приблизительно 550 километров по направлению на северо-восток."
"амер. ковбой Орвил Н, сразу влюбившийся в дочь лорда Патрисию,","американский ковбой Орвил Ньютон, сразу влюбившийся в дочь лорда Патрисию,"
"Стюарт Уитман (Феликс Яворский) — Орвил Н","Стюарт Уитман (Феликс Яворский) — Орвил Ньютон"
"с. находится в юго-восточной части Грузии, на правом берегу реки Машаверы, на расстоянии приблизительно 12 км (по прямой) к востоко-северо-востоку от города Дманиси, административного центра муниципалитета.","Село находится в юго-восточной части Грузии, на правом берегу реки Машаверы, на расстоянии приблизительно 12 километров (по прямой) к востоко-северо-востоку от города Дманиси, административного центра муниципалитета."
"Абсолютная выс. — 856 м над уровнем моря.","Абсолютная высота — 856 метров над уровнем моря."
"с. расположено в южной части области, в высокогорной зоне, на правом берегу реки Нуры, на расстоянии приблизительно 81 км (по прямой) к юго-востоку от села Гульча, административного центра района.","Село расположено в южной части области, в высокогорной зоне, на правом берегу реки Нуры, на расстоянии приблизительно 81 километра (по прямой) к юго-востоку от села Гульча, административного центра района."
"Период вращения планеты близок к земному — 24 часа 37 минут 22,4 с (относительно звёзд), дл. средних марсианских солнечных суток составляет 24 часа 39 минут 35,24409 с, что всего на 2,7 % длиннее земных суток.","Период вращения планеты близок к земному — 24 часа 37 минут 22,4 секунды (относительно звёзд), длина средних марсианских солнечных суток составляет 24 часа 39 минут 35,24409 секунды, что всего на 2,7 % длиннее земных суток."
"По данным посадочного зонда «Марс-6», средняя температура тропосферы Марса составляет 228 K, в тропосфере температура убывает в среднем на 2,5 ° на км, а находящаяся выше тропопаузы (30 км) стратосфера имеет почти постоянную температуру 144 K.","По данным посадочного зонда «Марс-6», средняя температура тропосферы Марса составляет 228 K, в тропосфере температура убывает в среднем на 2,5 градуса на километр, а находящаяся выше тропопаузы (30 км) стратосфера имеет почти постоянную температуру 144 K."
"К 29 сентября она охватила двести ° по долготе от Аусонии до Таумазии, а 30 сентября закрыла южную полярную шапку.","К 29 сентября она охватила двести градусов по долготе от Аусонии до Таумазии, а 30 сентября закрыла южную полярную шапку."
"Вихри часто наблюдаются и на Земле (в англоязычных странах их называют «пыльными демонами» — англ. dust devil), однако на Марсе они могут достигать гораздо бо́льших размеров: от нескольких десятков м до нескольких км в ширину и до 8 км в высоту.","Вихри часто наблюдаются и на Земле (в англоязычных странах их называют «пыльными демонами» — англ. dust devil), однако на Марсе они могут достигать гораздо бо́льших размеров: от нескольких десятков метров до нескольких километров в ширину и до 8 км в высоту."
"По другим данным, выс. Олимпа составляет 21 287 м над нулевым уровнем и 18 км над окружающей местностью, а диаметр основания — примерно 600 км.","По другим данным, высота Олимпа составляет 21 287 метров над нулевым уровнем и 18 километров над окружающей местностью, а диаметр основания — примерно 600 км."
"Элизий — возвышенность до пяти км над средним уровнем, с тремя вулканами — купол Гекаты, гора Элизий и купол Альбор.","Элизий — возвышенность до пяти километров над средним уровнем, с тремя вулканами — купол Гекаты, гора Элизий и купол Альбор."
"Судя по снимку аппарата «Марсианский разведывательный спутник», сделанному в 2007 г, один из них имеет диаметр 150 м, а освещённая ч. стенки уходит в глубину не менее чем на 178 м.","Судя по снимку аппарата «Марсианский разведывательный спутник», сделанному в 2007 году, один из них имеет диаметр 150 метров, а освещённая часть стенки уходит в глубину не менее чем на 178 метров."
"Зимой полярная область планеты покрывается сезонным слоем углекислого льда толщиной ок. м.","Зимой полярная область планеты покрывается сезонным слоем углекислого льда толщиной около метра."
"По фотографиям «Маринера-7» удалось определить, что сезонная ч. полярных шапок имеет толщину в неск. м, а измеренная температура 115 K (−158 °C) подтвердила возможность того, что она состоит из замёрзшей углекислоты — «сухого льда».","По фотографиям «Маринера-7» удалось определить, что сезонная часть полярных шапок имеет толщину в несколько метров, а измеренная температура 115 K (−158 °C) подтвердила возможность того, что она состоит из замёрзшей углекислоты — «сухого льда»."
"Толщина скрытого грунтом ледника — сотни м, а пл. — тыс. квадратных км.","Толщина скрытого грунтом ледника — сотни метров, а площадь — тысячи квадратных километров."
"Их дл. достигает нескольких сотен (до тыс.) км, а шир. — нескольких десятков км.","Их длина достигает нескольких сотен (до тысячи) километров, а ширина — нескольких десятков километров."
"Существует предположение, что функционирование динамо 4 млрд лет назад объясняется наличием астероида, к-рый вращался на расстоянии 50—75 тыс. км вокруг Марса и вызывал нестабильность в его ядре.","Существует предположение, что функционирование динамо 4 млрд лет назад объясняется наличием астероида, который вращался на расстоянии 50—75 тысяч километров вокруг Марса и вызывал нестабильность в его ядре."
"Атмосфера теряет примерно 100 г газов в с.","Атмосфера теряет примерно 100 граммов газов в секунду."
"Гипотеза Теслы вызвала горячую поддержку известного британского учёного-физика Уильяма Томсона (лорда К), к-рый, посетив США в 1902 г, заявил, что, по его мнению, Тесла поймал сигнал марсиан, посланный в США.","Гипотеза Теслы вызвала горячую поддержку известного британского учёного-физика Уильяма Томсона (лорда Кельвина), который, посетив США в 1902 году, заявил, что, по его мнению, Тесла поймал сигнал марсиан, посланный в США."
"Однако ещё до отбытия из Америки К стал решительно отрицать это заявление: «На самом деле я сказал, что жители Марса, если они существуют, несомненно могут видеть Нью-Йорк, в частности, свет от электричества».","Однако ещё до отбытия из Америки Кельвин стал решительно отрицать это заявление: «На самом деле я сказал, что жители Марса, если они существуют, несомненно могут видеть Нью-Йорк, в частности, свет от электричества»."
"Земля видна с Марса невооружённым глазом, причём периоды видимости довольно продолжительны, в период наибольшей элонгации её размер составляет ок. 30 с, а рядом на расстоянии в неск. минут дуги можно рассмотреть и Луну.","Земля видна с Марса невооружённым глазом, причём периоды видимости довольно продолжительны, в период наибольшей элонгации её размер составляет около 30 секунд, а рядом на расстоянии в несколько минут дуги можно рассмотреть и Луну."
"Максимальная элонгация Земли на небе Марса составляет 38 °.","Максимальная элонгация Земли на небе Марса составляет 38 градусов."
"По данным Бюро переписи населения США Карролтон имеет общую пл. в 0,26 квадратных км, водных ресурсов в черте населённого пункта не имеется.","По данным Бюро переписи населения США Карролтон имеет общую площадь в 0,26 квадратных километров, водных ресурсов в черте населённого пункта не имеется."
"Статистически обособленная местность Карролтон расположена на высоте 380 м над уровнем моря.","Статистически обособленная местность Карролтон расположена на высоте 380 метров над уровнем моря."
"Для снабжения населённого пункта пресной водой был построен водовод протяжённостью ок. 1,2 км, искусств. канал был сооружён из древесины и тянулся с соседних гор.","Для снабжения населённого пункта пресной водой был построен водовод протяжённостью около 1,2 километра, искусственный канал был сооружён из древесины и тянулся с соседних гор."
"Было выяснено, что даже очень тёмные изображения могут быть стерты за 5-10 с.","Было выяснено, что даже очень тёмные изображения могут быть стерты за 5-10 секунд."
"Изображение на хлориде калия может быть сформировано путём нанесения заряда порядка 0,3 мкКл на квадратный см, электронным пучком с энергией, как правило, в 8-10 кэВ.","Изображение на хлориде калия может быть сформировано путём нанесения заряда порядка 0,3 микрокулон на квадратный сантиметр, электронным пучком с энергией, как правило, в 8-10 кэВ."
"Стирание может быть достигнуто менее чем за с при нагревании при 150° С.","Стирание может быть достигнуто менее чем за секунду при нагревании при 150° С."
"Примерно в четырёх км от Гуруваюра находится ферма слонов Пуннатхур-котта, к-рый расположена на месте древнего дворца местных раджей.","Примерно в четырёх километрах от Гуруваюра находится ферма слонов Пуннатхур-котта, которая расположена на месте древнего дворца местных раджей."
"В пятисот м от храма Кришны в Гуруваюре находится Маммиюр-мандир, храм Шивы, а чуть дальше — храм богини Нараяни.","В пятисот метрах от храма Кришны в Гуруваюре находится Маммиюр-мандир, храм Шивы, а чуть дальше — храм богини Нараяни."
"Немецкие части, наступавшие на Каунас уже к вечеру 22 июня 1941 года были в 60 км южнее города и не прекращали движение.","Немецкие части, наступавшие на Каунас уже к вечеру 22 июня 1941 года были в 60 километрах южнее города и не прекращали движение."
"Па Маззотти — парикмахер","Паскаль Маззотти — парикмахер"
"с. расположено в восточной части марза, к северу от горы Араилер, на расстоянии 21 км к северо-востоку от города Аштарак, административного центра области.","Село расположено в восточной части марза, к северу от горы Араилер, на расстоянии 21 километра к северо-востоку от города Аштарак, административного центра области."
"Абсолютная выс. — 1850 м над уровнем моря.","Абсолютная высота — 1850 метров над уровнем моря."
"Город находится на западе мухафазы, в восточной части дельты Нила, на берегах канала Бахр-Мувейс, на расстоянии приблизительно 23 км к северо-востоку от Эз-Заказика, административного центра провинции.","Город находится на западе мухафазы, в восточной части дельты Нила, на берегах канала Бахр-Мувейс, на расстоянии приблизительно 23 километров к северо-востоку от Эз-Заказика, административного центра провинции."
"Абсолютная выс. — 14 м над уровнем моря.","Абсолютная высота — 14 метров над уровнем моря."
"Здание занимает более 30 тыс. квадратных м, в нём работают ок. 300 сотрудников библиотеки.","Здание занимает более 30 тысяч квадратных метров, в нём работают около 300 сотрудников библиотеки."
"Судя по этим, часто восторженным, описаниям, гл. фасад дома, выходящий на Виа Сан-Донато, имел длину ок. тридцати м, а боковых фасадов — более ста сорока м.","Судя по этим, часто восторженным, описаниям, главный фасад дома, выходящий на Виа Сан-Донато, имел длину около тридцати метров, а боковых фасадов — более ста сорока метров."
