question,answer
"Одновременно с альбомом 18 марта с пятого на первое место поднялся сингл «Last Night» Уоллена, первый его чарттоппер и первый сингл № один от любого участника конкурса The Voice («Голос», NBC).","Одновременно с альбомом 18 марта с пятого на первое место поднялся сингл «Last Night» Уоллена, первый его чарттоппер и первый сингл номер один от любого участника конкурса The Voice («Голос», NBC)."
"Хотя из 38 имевшихся к тому моменту дворов ни один не сгорел, потери составили 13 тысяч ₽, не считая стоимости уведённого скота.","Хотя из 38 имевшихся к тому моменту дворов ни один не сгорел, потери составили 13 тысяч рублей, не считая стоимости уведённого скота."
"При 17-часовом рабочем дне мужчины получали от 6 до 10 ₽ в месяц.","При 17-часовом рабочем дне мужчины получали от 6 до 10 рублей в месяц."
"Урсоловая кислота увеличивает число иммунных клеток и функцию β-клеток поджелудочной железы при применении стрептозоцина при диабете у испытуемых мышей, вызванном рационом питания с высоким содержанием жиров.","Урсоловая кислота увеличивает число иммунных клеток и функцию бета-клеток поджелудочной железы при применении стрептозоцина при диабете у испытуемых мышей, вызванном рационом питания с высоким содержанием жиров."
"1995—2011 (с основания и до последнего №) — соредактор от России международного журнала по фотографии IMAGO, Словакия, Братислава","1995—2011 (с основания и до последнего номера) — соредактор от России международного журнала по фотографии IMAGO, Словакия, Братислава"
"Общий бюджет производства картины составил 120 миллионов $.","Общий бюджет производства картины составил 120 миллионов долларов."
"В 2012 году сыграл небольшую роль командира «морских котиков» в фильме Кэтрин Бигелоу «Цель № один».","В 2012 году сыграл небольшую роль командира «морских котиков» в фильме Кэтрин Бигелоу «Цель номер один»."
"Ежегодные потери от ДТП оцениваются в 500 млрд $ и более.","Ежегодные потери от ДТП оцениваются в 500 млрд долларов и более."
"Все существовавшие доныне в России сословия и сословные деления граждан, сословные привилегии и ограничения, сословные организации и учреждения, а = и все гражданские чины упраздняются.","Все существовавшие доныне в России сословия и сословные деления граждан, сословные привилегии и ограничения, сословные организации и учреждения, а равно и все гражданские чины упраздняются."
"В первом туре 2012 года он набрал 33,26 % голосов, а во втором туре - 43,17 %.","В первом туре 2012 года он набрал 33,26 процента голосов, а во втором туре - 43,17 процента."
"Согласно данным опросов пяти лет с 2011 по 2015 годы, средний доход домохозяйства в Лампасасе составляет 38 989 $ США в год, средний доход семьи — 49 838 $.","Согласно данным опросов пяти лет с 2011 по 2015 годы, средний доход домохозяйства в Лампасасе составляет 38 989 долларов США в год, средний доход семьи — 49 838 долларов."
"Доход на душу населения в городе составляет 20 326 $.","Доход на душу населения в городе составляет 20 326 долларов."
"Государственные премии Узбекской ССР имени Хамзы в области литературы, искусства и архитектуры присуждались один раз в три года в количестве трех премий по 5 000 ₽ каждая.","Государственные премии Узбекской ССР имени Хамзы в области литературы, искусства и архитектуры присуждались один раз в три года в количестве трех премий по 5 000 рублей каждая."
"В начале сериала расы α-квадранта пытаются наладить торговые отношения с Доминионом, но ограниченных успехов в этом удаётся достичь только ференги.","В начале сериала расы альфа-квадранта пытаются наладить торговые отношения с Доминионом, но ограниченных успехов в этом удаётся достичь только ференги."
"В государствах α-квадранта метаморфы видят такую угрозу, а потому начинают приготовления к вторжению.","В государствах альфа-квадранта метаморфы видят такую угрозу, а потому начинают приготовления к вторжению."
