question,answer
"Дзельница XVII Взгу́жа-Кшеслави́цке (пол. Dzielnica XVII Wzgórza Krzesławickie) — дзельница, административно-террит. и вспомогат. единица Краковской гор. гмины, один из 18 административных районов Кракова.","Дзельница XVII Взгу́жа-Кшеслави́цке (пол. Dzielnica XVII Wzgórza Krzesławickie) — дзельница, административно-территориальная и вспомогательная единица Краковской городской гмины, один из 18 административных районов Кракова."
"пл. дзельницы составляет 2.380,12 гектаров.","Площадь дзельницы составляет 2.380,12 гектаров."
"До 1990 года терр. современной дзельницы входила в Дзельницу Нова-Хута.","До 1990 года территория современной дзельницы входила в Дзельницу Нова-Хута."
"совр. дзельница была учреждена 27 марта 1991 года решением № XXI/143/91 городского совета Кракова.","Современная дзельница была учреждена 27 марта 1991 года решением № XXI/143/91 городского совета Кракова."
"Зеславицкий зал.;","Зеславицкий залив;"
"офиц. сайт района (пол.)","Официальный сайт района (пол.)"
"Социа́л-демократи́ческая па́ртия (порт. Partido Social Democrata, PSD), в 1974—1976 Наро́дно-демократи́ческая па́ртия (порт. Partido Popular Democrático, PPD) — португальская правоцентристская полит. партия, одна из крупнейших политических сил страны.","Социа́л-демократи́ческая па́ртия (порт. Partido Social Democrata, PSD), в 1974—1976 Наро́дно-демократи́ческая па́ртия (порт. Partido Popular Democrático, PPD) — португальская правоцентристская политическая партия, одна из крупнейших политических сил страны."
"Несмотря на назв., занимает либерально-консервативные позиции.","Несмотря на название, занимает либерально-консервативные позиции."
"Находилась у власти в 1979—1983 (в составе Демократического альянса), 1985—1995, 2002—2005, 2011—2015 гг.","Находилась у власти в 1979—1983 (в составе Демократического альянса), 1985—1995, 2002—2005, 2011—2015 годах."
"Победила на внеочередных парламентских выборах и вернулась к власти в 2024 г.","Победила на внеочередных парламентских выборах и вернулась к власти в 2024 году."
"25 апреля 1974 года рев. гвоздик свергла авторитарный режим салазаристского Нового гос-ва.","25 апреля 1974 года Революция гвоздик свергла авторитарный режим салазаристского Нового государства."
"Все трое были депутатами парламента в последние гг. «Нового гос-ва».","Все трое были депутатами парламента в последние годы «Нового государства»."
"Они активно выступали против авторитарного правления, политических репрессий и цензуры, за европ. демокр. развитие Португалии.","Они активно выступали против авторитарного правления, политических репрессий и цензуры, за европейское демократическое развитие Португалии."
"наиб. известен был Са Карнейру — своими резкими парламентскими выступлениями, публикациями и открытыми письмами премьер-министру Марселу Каэтану.","Наиболее известен был Са Карнейру — своими резкими парламентскими выступлениями, публикациями и открытыми письмами премьер-министру Марселу Каэтану."
"Однако ни Са Карнейру, ни др. учредители НДП не выходили за рамки официальной законности «Нового гос-ва», не имели отношения к антиправительственному подполью.","Однако ни Са Карнейру, ни другие учредители НДП не выходили за рамки официальной законности «Нового государства», не имели отношения к антиправительственному подполью."
"24 июня 1974 года было сформировано партийное рук-во — полит. комис. НДП.","24 июня 1974 года было сформировано партийное руководство — Политическая комиссия НДП."
"Франсишку Са Карнейру, генеральный секр., затем предс. партии","Франсишку Са Карнейру, генеральный секретарь, затем председатель партии"
"Франсишку Пинту Балсеман, зам. председателя партии","Франсишку Пинту Балсеман, заместитель председателя партии"
"Жуакин Магальяйнш Мота, генеральный секр. партии","Жуакин Магальяйнш Мота, генеральный секретарь партии"
"13 июля 1974 года начался вып. печатного органа НДП газеты Povo Livre — Свободный народ.","13 июля 1974 года начался выпуск печатного органа НДП газеты Povo Livre — Свободный народ."
"25 октября в павильоне Розы Мота состоялось первое публич. собр. НДП.","25 октября в павильоне Розы Мота состоялось первое публичное собрание НДП."
"На выборах в Учредительное собр. 25 апреля 1975 года НДП заняла второе место после Социалистической партии (СП) — более 1,5 млн голосов — 26,4 % и получила 81 депутатский мандат из 250.","На выборах в Учредительное собрание 25 апреля 1975 года НДП заняла второе место после Социалистической партии (СП) — более 1,5 миллиона голосов — 26,4 % и получила 81 депутатский мандат из 250."
"Он отвергал как сов. коммунизм, так и зап. капитализм — противопоставляя им принципы политической, экономической, социальной и культурной демократии в неразрывном единстве.","Он отвергал как советский коммунизм, так и западный капитализм — противопоставляя им принципы политической, экономической, социальной и культурной демократии в неразрывном единстве."
"В качестве противников были обозначены коммунизм (Португальская компартия Алвару Куньяла), социализм (в версии Соцпартии Мариу Соареша) и авторитарное наследие «Нового гос-ва».","В качестве противников были обозначены коммунизм (Португальская компартия Алвару Куньяла), социализм (в версии Соцпартии Мариу Соареша) и авторитарное наследие «Нового государства»."
"Однако первоначально партия носила иное назв.","Однако первоначально партия носила иное название."
"гл. место в партийной доктрине занимали всё же либеральные, а не социальные приоритеты.","Главное место в партийной доктрине занимали всё же либеральные, а не социальные приоритеты."
