question,answer
"Развитие различных моделей, приспособленных к сохранению того или иного вида Μ среды их обитания, является отличительной характеристикой Конвенции.","Развитие различных моделей, приспособленных к сохранению того или иного вида ми среды их обитания, является отличительной характеристикой Конвенции."
"Убытки, нанесённые их нападениями помещикам, исчислялись в 12 млн ₽.","Убытки, нанесённые их нападениями помещикам, исчислялись в 12 млн рублей."
"Иногда взломанные сейфы оказывались пустыми, но случались и крупные удачи: так, по сообщению окружному прокурору от 11 января 1906 года в управе Леневардена было украдено 20 тысяч ₽ (средняя зарплата подённого рабочего в то время составляла 7-15 ₽ в месяц).","Иногда взломанные сейфы оказывались пустыми, но случались и крупные удачи: так, по сообщению окружному прокурору от 11 января 1906 года в управе Леневардена было украдено 20 тысяч рублей (средняя зарплата подённого рабочего в то время составляла 7-15 рублей в месяц)."
"Зима 1905—1906 года не была особенно суровой: только два раза столбик термометра опустился до отметки - 11 °, а среднедневная температура составляла в Лифляндии в январе –2.3, в феврале –1.8, в марте –0,7 °.","Зима 1905—1906 года не была особенно суровой: только два раза столбик термометра опустился до отметки минус 11 градусов, а среднедневная температура составляла в Лифляндии в январе –2.3, в феврале –1.8, в марте –0,7 градусов."
"Эксперименты подтвердили, что установка успешно вырабатывала штатный объем кислорода как днем, так и ночью, а также при высоких температурах воздуха (около - 20 ° Цельсия), так и при низких (- 74 ° Цельсия).","Эксперименты подтвердили, что установка успешно вырабатывала штатный объем кислорода как днем, так и ночью, а также при высоких температурах воздуха (около минус 20 градусов Цельсия), так и при низких (минус 74 градуса Цельсия)."
"Согласно этому Постановлению, с 2005 года присуждалось не более 40 премий (в том числе 10 премий за работы в сфере обороны и безопасности), каждая в размере 1 миллион ₽.","Согласно этому Постановлению, с 2005 года присуждалось не более 40 премий (в том числе 10 премий за работы в сфере обороны и безопасности), каждая в размере 1 миллион рублей."
"С тех пор все лауреаты премий Правительства РФ после выхода на пенсию каждый месяц получали надбавку в размере 330% от размера социальной пенсии (в 2018 году это около 17 тысяч ₽).","С тех пор все лауреаты премий Правительства РФ после выхода на пенсию каждый месяц получали надбавку в размере 330% от размера социальной пенсии (в 2018 году это около 17 тысяч рублей)."
"Он был основан на ранней α-версии GNU Emacs 19.","Он был основан на ранней альфа-версии GNU Emacs 19."
"Форк продержался вплоть до 2009 года, когда была выпущена последняя стабильная версия XEmacs (последняя β версия была выпущена в 2013).","Форк продержался вплоть до 2009 года, когда была выпущена последняя стабильная версия XEmacs (последняя бета версия была выпущена в 2013)."
"Не желая вызвать недовольство тех, кому всё = пришлось бы отказать, отец предложил дочери стать бхиккхуни, то есть монахиней.","Не желая вызвать недовольство тех, кому всё равно пришлось бы отказать, отец предложил дочери стать бхиккхуни, то есть монахиней."
"Подача воды из крымских водных объектов в Северо-Крымский канал была начата 12 мая 2014, стоимость работ первой очереди составила 3 млн ₽.","Подача воды из крымских водных объектов в Северо-Крымский канал была начата 12 мая 2014, стоимость работ первой очереди составила 3 млн рублей."
"Стоимость работ составила 7,9 млн ₽.","Стоимость работ составила 7,9 млн рублей."
