question,answer
"В 1854 г он переехал в Н, где занялся торговлей вместе с братом.","В 1854 году он переехал в Ньютон, где занялся торговлей вместе с братом."
"Омывается Средиземным, Ионическим, Эгейским и Ливийским морями, протяжённость береговой линии более 15000 км.","Омывается Средиземным, Ионическим, Эгейским и Ливийским морями, протяжённость береговой линии более 15000 километров."
"80 % территории страны составляют горы и плоскогорья, при этом горные массивы занимают 25 % территории, преобладают средневысотные горы высотами от 1200 до 1800 м.","80 % территории страны составляют горы и плоскогорья, при этом горные массивы занимают 25 % территории, преобладают средневысотные горы высотами от 1200 до 1800 метров."
"Основной ЖРД позволял развивать максимальную тягу до 4,09 кН, удельный импульс до 280 с.","Основной ЖРД позволял развивать максимальную тягу до 4,09 кН, удельный импульс до 280 секунд."
"Давление в камере сгорания не более, чем 3,92 МПа, давление на выходе из камеры — 3,9 кПа, максимально допустимое число включений до 25 при длительности работы от долей до нескольких сотен с.","Давление в камере сгорания не более, чем 3,92 МПа, давление на выходе из камеры — 3,9 кПа, максимально допустимое число включений до 25 при длительности работы от долей до нескольких сотен секунд."
"Максимальное время работы св. 500 с.","Максимальное время работы свыше 500 секунд."
"Резервный ЖРД — двухкамерный с рулевыми соплами, работающими на генераторном газе, позволял развивать максимальную тягу до 4,03 кН с удельным импульсом не более, чем 270 с.","Резервный ЖРД — двухкамерный с рулевыми соплами, работающими на генераторном газе, позволял развивать максимальную тягу до 4,03 кН с удельным импульсом не более, чем 270 секунд."
"д. расположена в 5 км от Дзержинска, 36 км от Минска и 7 км от железнодорожной станции Койданово.","Деревня расположена в 5 километрах от Дзержинска, 36 километрах от Минска и 7 километрах от железнодорожной станции Койданово."
"Могила советских военнопленных и мирных жителей, расположена в 1 км южнее деревни.","Могила советских военнопленных и мирных жителей, расположена в 1 километре южнее деревни."
"В пределах области её протяженность составляет ок. 1000 км, деля область на две почти равные части.","В пределах области её протяженность составляет около 1000 километров, деля область на две почти равные части."
"с. находится в юго-восточной части Грузии, к югу от реки Алгети, на расстоянии приблизительно 20 км (по прямой) к востоку от города Тетри-Цкаро, административного центра муниципалитета.","Село находится в юго-восточной части Грузии, к югу от реки Алгети, на расстоянии приблизительно 20 километров (по прямой) к востоку от города Тетри-Цкаро, административного центра муниципалитета."
"Абсолютная выс. — 682 м над уровнем моря.","Абсолютная высота — 682 метра над уровнем моря."
"о-в Принца Эдуарда и континентальный Нью-Брансуик разделяет пролив Нортамберленд, самая узкая ч. которого носит назв. пролив Абегуэйт (Abegweit Passage), и имеет ширину 13 км.","Остров Принца Эдуарда и континентальный Нью-Брансуик разделяет пролив Нортамберленд, самая узкая часть которого носит название пролив Абегуэйт (Abegweit Passage), и имеет ширину 13 километров."
"Климат более суровый на северо-западе, где в виде снега выпадает ок. трети всех осадков и температура на неск. ° ниже, чем в центре провинции.","Климат более суровый на северо-западе, где в виде снега выпадает около трети всех осадков и температура на несколько градусов ниже, чем в центре провинции."
"В прибрежной части Нью-Брансуика на неск. ° теплее зимой и слегка прохладней летом, в виде снега выпадает только 15…20 % от всех осадков.","В прибрежной части Нью-Брансуика на несколько градусов теплее зимой и слегка прохладней летом, в виде снега выпадает только 15…20 % от всех осадков."
"мл. брат Чолы, Па Кунда, играл на позиции полузащитника за «Ндола Юнайтед» и присоединился к «Пауэр Динамос» в 1985 г.","Младший брат Чолы, Паскаль Кунда, играл на позиции полузащитника за «Ндола Юнайтед» и присоединился к «Пауэр Динамос» в 1985 году."
"пос. находится в юго-восточной части области, в зоне хвойно-широколиственных лесов, при автодороге 78К-0007, на расстоянии примерно 5 км (по прямой) к северо-западу от города Гаврилов-Ям, административного центра района.","Посёлок находится в юго-восточной части области, в зоне хвойно-широколиственных лесов, при автодороге 78К-0007, на расстоянии примерно 5 километров (по прямой) к северо-западу от города Гаврилов-Ям, административного центра района."
"Абсолютная выс. — 129 м над уровнем моря.","Абсолютная высота — 129 метров над уровнем моря."
"дл. — 63 км при средних ширине русла 5-8 м и глубине 1—1,5 м.","Длина — 63 км при средних ширине русла 5-8 метров и глубине 1—1,5 метра."
"р. очень извилиста, меандрирует в слаборассечённой долине шириной 50-100 (и до 400—450 м), к-рый местами заболочена и изрезана старицами.","Река очень извилиста, меандрирует в слаборассечённой долине шириной 50-100 (и до 400—450 метров), которая местами заболочена и изрезана старицами."
