question,answer
"с. находится в центральной части Тульской области, в лесостепной зоне, в пределах северо-восточной Среднерусской возвышенности, к востоку от реки Упы, на расстоянии примерно 16 км (по прямой) к западо-юго-западу от города Щёкино, административного центра района.","Село находится в центральной части Тульской области, в лесостепной зоне, в пределах северо-восточной Среднерусской возвышенности, к востоку от реки Упы, на расстоянии примерно 16 километров (по прямой) к западо-юго-западу от города Щёкино, административного центра района."
"Абсолютная выс. — 204 м над уровнем моря.","Абсолютная высота — 204 метра над уровнем моря."
"д. находится в юго-западной части Тверской области, в зоне хвойно-широколиственных лесов, на северном берегу озера Вережун, при автодороге 28Н-0364, на расстоянии примерно 10 км (по прямой) к юго-западу от города зап. Двина, административного центра округа.","Деревня находится в юго-западной части Тверской области, в зоне хвойно-широколиственных лесов, на северном берегу озера Вережун, при автодороге 28Н-0364, на расстоянии примерно 10 километров (по прямой) к юго-западу от города Западная Двина, административного центра округа."
"Абсолютная выс. — 175 м над уровнем моря.","Абсолютная высота — 175 метров над уровнем моря."
"д. находится в юго-западной части Тульской области, в зоне хвойно-широколиственных лесов, в пределах Среднерусской возвышенности, на правом берегу реки Мизгеи, к северу от автодороги 70К-041, на расстоянии примерно 11 км (по прямой) к юго-западу от Одоева, административного центра района.","Деревня находится в юго-западной части Тульской области, в зоне хвойно-широколиственных лесов, в пределах Среднерусской возвышенности, на правом берегу реки Мизгеи, к северу от автодороги 70К-041, на расстоянии примерно 11 километров (по прямой) к юго-западу от Одоева, административного центра района."
"Населённый пункт находится на высоте от 514 до 647 м над уровнем моря.","Населённый пункт находится на высоте от 514 до 647 метров над уровнем моря."
"После неудачи при Коленсо брит. генерал Редверс Буллер предпринял попытку форсировать Тугелу в 30 км выше по течению.","После неудачи при Коленсо британский генерал Редверс Буллер предпринял попытку форсировать Тугелу в 30 километрах выше по течению."
"Оно было найдено в 25 км выше по течению, у брода Потжитерс.","Оно было найдено в 25 километрах выше по течению, у брода Потжитерс."
"Уоррен вместе с бригадами Вудгейта, Хилдварда и Харта переправился 17—18 января км в восьми западнее Потжитерса, через брод Тричардс.","Уоррен вместе с бригадами Вудгейта, Хилдварда и Харта переправился 17—18 января километрах в восьми западнее Потжитерса, через брод Тричардс."
"Более трёх тыс. британцев были отправлены на Спион-Коп, где им не хватало укрытий: шир. фронта на вершине равнялась всего паре сотен м.","Более трёх тысяч британцев были отправлены на Спион-Коп, где им не хватало укрытий: ширина фронта на вершине равнялась всего паре сотен метров."
"Действие игры разворачивается во вселенной Звёздного пути К, между событиями фильмов Звёздный путь и Стартрек: Возмездие, и следует за приключениями капитана Джеймса Т. Кирка и команды корабля Звёздного флота USS Enterprise.","Действие игры разворачивается во вселенной Звёздного пути Кельвина, между событиями фильмов Звёздный путь и Стартрек: Возмездие, и следует за приключениями капитана Джеймса Т. Кирка и команды корабля Звёздного флота USS Enterprise."
"В 2010-х гг оба объекта были переданы Владимирской области, граница между субъектами РФ пролегает в 250—400 м от северного торца платформы.","В 2010-х годах оба объекта были переданы Владимирской области, граница между субъектами РФ пролегает в 250—400 метрах от северного торца платформы."
"Сценарий к эпизоду написали т. Кауфман и Джастин Ройланд, а режиссёром выступил Брайан Н.","Сценарий к эпизоду написали Том Кауфман и Джастин Ройланд, а режиссёром выступил Брайан Ньютон."
"2 июня контр-адмирал Бенджамин Хэллоуэлл-Карев высадил 16 тыс. солдат Мюррея на берег в 10 км к югу от Таррагоны.","2 июня контр-адмирал Бенджамин Хэллоуэлл-Карев высадил 16 тыс. солдат Мюррея на берег в 10 километрах к югу от Таррагоны."
"Силовые ключи предназначены для импульсного преобразования параметров электроэнергии, не зависимо от мощности (мВт или МВт).","Силовые ключи предназначены для импульсного преобразования параметров электроэнергии, не зависимо от мощности (милливатты или мегаватты)."
"Еще одной особенностью электронных ключей силовой электроники является их работа на высокой частоте, как правило, выше частоты промышленной сети переменного тока, вплоть до МГц.","Еще одной особенностью электронных ключей силовой электроники является их работа на высокой частоте, как правило, выше частоты промышленной сети переменного тока, вплоть до мегагерц."
"Ветеран четырёх космических полётов, Бакли сделал 319 витков вокруг Земли, пролетел 7,74 млн миль за 20 дней, 10 часов, 25 минут и 32 с.","Ветеран четырёх космических полётов, Бакли сделал 319 витков вокруг Земли, пролетел 7,74 миллиона миль за 20 дней, 10 часов, 25 минут и 32 секунды."
"Приземление произошло 27 января 1985 года, на орбите провел чуть больше трех дней, 73 часа, 33 минуты и 27 с.","Приземление произошло 27 января 1985 года, на орбите провел чуть больше трех дней, 73 часа, 33 минуты и 27 секунд."
"Продолжительность миссии составила 168 часов, 44 минуты и 51 с.","Продолжительность миссии составила 168 часов, 44 минуты и 51 секунду."
"Продолжительность миссии составила 128 часов, 27 минут и 34 с.","Продолжительность миссии составила 128 часов, 27 минут и 34 секунды."
"Велогонщица из Цюриха преодолела дистанцию 5,2 км за 8 мин 04 сек, опередив на три с Линду Виллумсен (Buitenpoort), и на семь с Зульфию Забирову (Bigla).","Велогонщица из Цюриха преодолела дистанцию 5,2 км за 8 мин 04 сек, опередив на три секунды Линду Виллумсен (Buitenpoort), и на семь секунд Зульфию Забирову (Bigla)."
"Бубненкова усердно работала на последних двух км, Слюсарева была рядом и выглядела довольной.","Бубненкова усердно работала на последних двух километрах, Слюсарева была рядом и выглядела довольной."
"За 1,5 км до финиша Оливия Голлан (Нобили) ускорилась, а за ней последовали её товарищи по команде, Сигрид Корнео и Эдита Пучинскайте.","За 1,5 километра до финиша Оливия Голлан (Нобили) ускорилась, а за ней последовали её товарищи по команде, Сигрид Корнео и Эдита Пучинскайте."
"Пучинскайте сильно ускорилась на последних 800 м, но за ней последовала Слюсарева, и за 500 м до финиша Пучинскайте села, атака закончилась.","Пучинскайте сильно ускорилась на последних 800 метрах, но за ней последовала Слюсарева, и за 500 метров до финиша Пучинскайте села, атака закончилась."
"До финиша оставалось 300 м, дальнейших атак не было, впереди не было ни одной команды, только гонщики, мчащиеся к финишу.","До финиша оставалось 300 метров, дальнейших атак не было, впереди не было ни одной команды, только гонщики, мчащиеся к финишу."
"Когда они огибали посл. правый поворот, до которого оставалось менее 100 м, Корнео резко ушла влево, Шляйхер была внутри.","Когда они огибали последний правый поворот, до которого оставалось менее 100 метров, Корнео резко ушла влево, Шляйхер была внутри."
"За 25 м до финиша было очевидно, что Шляйхер выиграет этап, она села и подняла руку вверх, пересекая линию финиша.","За 25 метров до финиша было очевидно, что Шляйхер выиграет этап, она села и подняла руку вверх, пересекая линию финиша."
"«Перед последними м был сложный поворот, но я пыталась победить и мне это удалось», — сказала Шляйхер.","«Перед последними метрами был сложный поворот, но я пыталась победить и мне это удалось», — сказала Шляйхер."
"Там, на тихой дороге в нескольких км от Альвиано, колонна остановилась, велосипеды были разгружены, гонщицы снова сели на них, и гонка началась.","Там, на тихой дороге в нескольких километрах от Альвиано, колонна остановилась, велосипеды были разгружены, гонщицы снова сели на них, и гонка началась."
"Она продержалась пару км, получив максимальный отрыв ок. 10 с.","Она продержалась пару километров, получив максимальный отрыв около 10 секунд."
"На последних трёх км Николь Брендли вырвалась вперёд, к группе, которую возглавляла Team Safi, вкл. Сильвию Париетти и команда Vlaanderen Caprisonne.","На последних трёх километрах Николь Брендли вырвалась вперёд, к группе, которую возглавляла Team Safi, включая Сильвию Париетти и команда Vlaanderen Caprisonne."
"Ойнон Вуд долго и быстро отрывалась от Шляйхер, но когда они приблизились к последнему правому повороту за 50 м до финиша, после того, как Вуд оторвалась, Слюсарева оказалась впереди Шляйхер, они ускорились на выходе из поворота к линии финиша, и Слюсарева поняла, что у неё есть преимущество.","Ойнон Вуд долго и быстро отрывалась от Шляйхер, но когда они приблизились к последнему правому повороту за 50 метров до финиша, после того, как Вуд оторвалась, Слюсарева оказалась впереди Шляйхер, они ускорились на выходе из поворота к линии финиша, и Слюсарева поняла, что у неё есть преимущество."
"Николь Брендли финишировала седьмой с тем же временем, но благодаря бонусным с майку лидера получила Слюсарева.","Николь Брендли финишировала седьмой с тем же временем, но благодаря бонусным секундам майку лидера получила Слюсарева."
"Последние 100 м включали в себя узкую шикану, что означало, что первый гонщик, к-рый пройдёт её в групповом спринте, будет иметь наилучшие шансы на победу в этапе.","Последние 100 метров включали в себя узкую шикану, что означало, что первый гонщик, который пройдёт её в групповом спринте, будет иметь наилучшие шансы на победу в этапе."
"Последние 250 м прошли через деревню Монтекарло, к-рый приветствовала гонщиков на своих узких улочках.","Последние 250 метров прошли через деревню Монтекарло, которая приветствовала гонщиков на своих узких улочках."
"На втором круге гонщица Team Bigla преодолела подъём с преимуществом в 45 с, но к моменту спуска в Пеша для начала третьего круга её настигла основная группа.","На втором круге гонщица Team Bigla преодолела подъём с преимуществом в 45 секунд, но к моменту спуска в Пеша для начала третьего круга её настигла основная группа."
"За пять км до финиша атаковала Марта Вилахосана, прошла через последнюю шикану впереди группы и смогла воспользоваться своим преимуществом для победы, выиграв пятый этап Джиро соло.","За пять километров до финиша атаковала Марта Вилахосана, прошла через последнюю шикану впереди группы и смогла воспользоваться своим преимуществом для победы, выиграв пятый этап Джиро соло."
"На первых км этапа группа держалась вместе.","На первых километрах этапа группа держалась вместе."
"Но именно последние 2,5 км со средним градиентом 6 % нанесли наст. удар пелотону.","Но именно последние 2,5 километра со средним градиентом 6 % нанесли настоящий удар пелотону."
"Сначала в отрыв уехала Пучинскайте доведя своё преимущество до 25 с, затем к ней присоединились Татьяна Гудерцо (Top Girls Fassa Bortolo) и Андреа Граус (Team Bigla).","Сначала в отрыв уехала Пучинскайте доведя своё преимущество до 25 секунд, затем к ней присоединились Татьяна Гудерцо (Top Girls Fassa Bortolo) и Андреа Граус (Team Bigla)."
"На последних км гонки гонщики предпринимали различные попытки захватить преимущество.","На последних километрах гонки гонщики предпринимали различные попытки захватить преимущество."
"За 150 м до финиша Джорджия Бронцини (A.S. Team FRW), выйдя на прямую через правый поворот, была вынуждена скорректировать свою траекторию.","За 150 метров до финиша Джорджия Бронцини (A.S. Team FRW), выйдя на прямую через правый поворот, была вынуждена скорректировать свою траекторию."
"На самом деле, эти трое были активны на протяжении всего этапа, а когда их догнал пелотон после отрыва на горном финише, они выждали время, прежде чем снова оторваться на последних км этапа.","На самом деле, эти трое были активны на протяжении всего этапа, а когда их догнал пелотон после отрыва на горном финише, они выждали время, прежде чем снова оторваться на последних километрах этапа."
