question,answer
"стр-во АЭС Генкай началось в 1971 г.","Строительство АЭС Генкай началось в 1971 году."
"9 дек. 2011 года была обнаружена утечка в системе охлаждения третьего реактора АЭС Генкай.","9 декабря 2011 года была обнаружена утечка в системе охлаждения третьего реактора АЭС Генкай."
"Геродот в своей «Истории» писал о т., что Ардис правил 49 лет.","Геродот в своей «Истории» писал о том, что Ардис правил 49 лет."
"На этом основании предполагается, что он правил с 678 по 629 г до н. э.","На этом основании предполагается, что он правил с 678 по 629 год до н. э."
"Однако так как в ассирийских клинописных текстах гибель Гига, отца Ардиса, датируется 644 годом до н. э., существует мнение, относящее правление этого лидийского царя к периоду приблизительно с 644 по 625 г до н. э.","Однако так как в ассирийских клинописных текстах гибель Гига, отца Ардиса, датируется 644 годом до н. э., существует мнение, относящее правление этого лидийского царя к периоду приблизительно с 644 по 625 год до н. э."
"Также, согласно Геродоту, изгнанные из своих обычных мест обитания скифами, киммерийцы захватили и разграбили столицу гос-ва Сарды.","Также, согласно Геродоту, изгнанные из своих обычных мест обитания скифами, киммерийцы захватили и разграбили столицу государства Сарды."
"Осор Дугарович Будаев (встречается написание им. Отсор, Отсар; отчества в разных документах — Дугарович, Будаевич) — бурятский будд. монах, худ., исследователь традиционного буддийского искусства.","Осор Дугарович Будаев (встречается написание имени Отсор, Отсар; отчества в разных документах — Дугарович, Будаевич) — бурятский буддийский монах, художник, исследователь традиционного буддийского искусства."
"сотр. ленинградского Музея истории религии.","Сотрудник ленинградского Музея истории религии."
"Репрессирован в 1937 г.","Репрессирован в 1937 году."
"Осор Будаев род. в 1886 или 1887 г в местности Судунтуй Читинского уезда Забайкальской области.","Осор Будаев родился в 1886 или 1887 году в местности Судунтуй Читинского уезда Забайкальской области."
"В 1904 г ушёл в Ургу, где в то время находился Далай-лама, и учился у сопровождавших Далай-ламу тибетских художников.","В 1904 году ушёл в Ургу, где в то время находился Далай-лама, и учился у сопровождавших Далай-ламу тибетских художников."
"В Урге встретился с Агваном Доржиевым, также бурятом по происхождению, к-рый входил в теснейший круг приближённых Далай-ламы и оказал юноше своё покровительство.","В Урге встретился с Агваном Доржиевым, также бурятом по происхождению, который входил в теснейший круг приближённых Далай-ламы и оказал юноше своё покровительство."
"Учился у китайских живописцев, освоил иск-во резьбы по дереву, получил навыки по оформлению буддийских книг.","Учился у китайских живописцев, освоил искусство резьбы по дереву, получил навыки по оформлению буддийских книг."
"Вернулся в Бурятию признанным мастером; в 1912 г по приглашению Доржиева отправился в Санкт-Петербург для участия в оформлении внутреннего убранства храма Калачакры.","Вернулся в Бурятию признанным мастером; в 1912 году по приглашению Доржиева отправился в Санкт-Петербург для участия в оформлении внутреннего убранства храма Калачакры."
"В 1915 г вернулся в Бурятию; был призван в армию.","В 1915 году вернулся в Бурятию; был призван в армию."
"Среди работ этого периода — как каноническая религ. живопись, так и бытовые зарисовки.","Среди работ этого периода — как каноническая религиозная живопись, так и бытовые зарисовки."
"В 1930 г вновь вызван А. Доржиевым в л.","В 1930 году вновь вызван А. Доржиевым в Ленинград."
"Реабилитирован в 1959 г.","Реабилитирован в 1959 году."
"В соавторстве с ним нарисовал ряд картин, в т. числе «Колесо Сансары», одно из наиб. известных полотен.","В соавторстве с ним нарисовал ряд картин, в том числе «Колесо Сансары», одно из наиболее известных полотен."
"На момент ареста проживал по адресу: г. л., Стародеревенская ул., д. 15, кв. 2.","На момент ареста проживал по адресу: г. Ленинград, Стародеревенская ул., д. 15, кв. 2."
"(В наст. время —Приморский просп.).","(В настоящее время —Приморский проспект)."
"Цыбыктарова С. Д. Осор Будаев — мастер Петроградского буддийского храма // Байкал. 1990. № 5. С. 130—135 (то же: Orient: альм.","Цыбыктарова С. Д. Осор Будаев — мастер Петроградского буддийского храма // Байкал. 1990. № 5. С. 130—135 (то же: Orient: Альманах."
"«Чудо в камере № 7» (тур. 7. Koğuştaki Mucize) — кинофильм турецкого режиссёра Мехмета Ады Озтекина, вышедший на экраны в 2019 г.","«Чудо в камере № 7» (тур. 7. Koğuştaki Mucize) — кинофильм турецкого режиссёра Мехмета Ады Озтекина, вышедший на экраны в 2019 году."
"Действие происходит в 1983 г в турецкой провинции Мугла.","Действие происходит в 1983 году в турецкой провинции Мугла."
"В силу роковой случайности он становится свидетелем гибели дочки высокопоставленного армейского полковника, к-рый обвиняет во всём Мемо и после побоев отправляет того в тюрьму.","В силу роковой случайности он становится свидетелем гибели дочки высокопоставленного армейского полковника, который обвиняет во всём Мемо и после побоев отправляет того в тюрьму."
"Но постепенно понимают, что новичок — чрезвычайно добрый и наивный чел., к-рый мухи не обидит, а следовательно обвинён несправедливо.","Но постепенно понимают, что новичок — чрезвычайно добрый и наивный человек, который мухи не обидит, а следовательно обвинён несправедливо."
"2020 — 6 призов кинофестиваля в Измире: лучший фильм, лучший реж. (Мехмет Ада Озтекин), лучший актёр (Арас Булут Ийнемли), лучший актёр второго плана (Илькер Аксум), лучший ребёнок-актёр (Ниса София Аксонгур), лучшая операторская работа (Торбен Форсберг).","2020 — 6 призов кинофестиваля в Измире: лучший фильм, лучший режиссёр (Мехмет Ада Озтекин), лучший актёр (Арас Булут Ийнемли), лучший актёр второго плана (Илькер Аксум), лучший ребёнок-актёр (Ниса София Аксонгур), лучшая операторская работа (Торбен Форсберг)."
"Солёное (каз. Солёное) — солёное оз. в Жамбылском районе Северо-Казахстанской области Казахстана.","Солёное (каз. Солёное) — солёное озеро в Жамбылском районе Северо-Казахстанской области Казахстана."
"По данным топографической съёмки 1940-х годов, пл. поверхности озера составляет 5,69 км².","По данным топографической съёмки 1940-х годов, площадь поверхности озера составляет 5,69 км²."
"Наибольшая дл. озера — 3,1 км, наибольшая шир. — 2,4 км.","Наибольшая длина озера — 3,1 км, наибольшая ширина — 2,4 км."
"дл. береговой линии составляет 9,1 км, развитие береговой линии — 1,07.","Длина береговой линии составляет 9,1 км, развитие береговой линии — 1,07."
"оз. расположено на высоте 137,5 м над уровнем моря.","Озеро расположено на высоте 137,5 м над уровнем моря."
"По данным исследований второй половины 1950-х годов, пл. поверхности озера составляет 6 км².","По данным исследований второй половины 1950-х годов, площадь поверхности озера составляет 6 км²."
"Наибольшая дл. озера — 3 км, наибольшая шир. — 2,4 км.","Наибольшая длина озера — 3 км, наибольшая ширина — 2,4 км."
"дл. береговой линии составляет 8 км.","Длина береговой линии составляет 8 км."
"оз. входит в перечень рыбохозяйственных водоёмов местного значения.","Озеро входит в перечень рыбохозяйственных водоёмов местного значения."
"Артур Уинн (англ. Arthur Wynne, 1871—1945) — амер. журналист британского происхождения, газетный ред. и создатель головоломок; изобретатель кроссворда.","Артур Уинн (англ. Arthur Wynne, 1871—1945) — американский журналист британского происхождения, газетный редактор и создатель головоломок; изобретатель кроссворда."
"Уинн род. в Великобритании, в Ливерпуле.","Уинн родился в Великобритании, в Ливерпуле."
"В 1880-х гг эмигрировал в США.","В 1880-х годах эмигрировал в США."
"В качестве новой головоломки для рождественского издания газеты 21 дек. 1913 года создал «ворд-кросс» (англ. word-cross, «крестословица») — первый совр. кроссворд.","В качестве новой головоломки для рождественского издания газеты 21 декабря 1913 года создал «ворд-кросс» (англ. word-cross, «крестословица») — первый современный кроссворд."
"Уинн продолжал составлять еженедельные «кросс-ворды» (англ. cross-word; назв. головоломки, начиная с 1914 года), пока не ушёл на пенсию в 1918 г.","Уинн продолжал составлять еженедельные «кросс-ворды» (англ. cross-word; название головоломки, начиная с 1914 года), пока не ушёл на пенсию в 1918 году."
"В 1924 г изобретение Уинна стало резко набирать популярность: кроссворды появились в других американских газетах (начиная с New York Herald Tribune), а в апреле был опубликован первый сб. кроссвордов в виде книги.","В 1924 году изобретение Уинна стало резко набирать популярность: кроссворды появились в других американских газетах (начиная с New York Herald Tribune), а в апреле был опубликован первый сборник кроссвордов в виде книги."
"Интерес к кроссвордам быстро пересёк Атлантику, и сам Уинн составил первый брит. кроссворд, к-рый был опубликован в Sunday Express в ноябре 1924 года.","Интерес к кроссвордам быстро пересёк Атлантику, и сам Уинн составил первый британский кроссворд, который был опубликован в Sunday Express в ноябре 1924 года."
"Уинн ум. в 1945 г, не оставив ни мемуаров, ни дневников.","Уинн умер в 1945 году, не оставив ни мемуаров, ни дневников."
"В коммуне находится одноим. населённый пункт.","В коммуне находится одноимённый населённый пункт."
"нас. составляет 6271 чел. (на 2008 г), в коммуне располагаются 2284 домашних хозяйств.","Население составляет 6271 человек (на 2008 год), в коммуне располагаются 2284 домашних хозяйств."
"Занимает пл. 55,38 км² (по занимаемой площади 3 место из 116 коммун).","Занимает площадь 55,38 км² (по занимаемой площади 3 место из 116 коммун)."
"www.junglinster.lu — офиц. сайт коммуны.","www.junglinster.lu — Официальный сайт коммуны."
"Сле́нза (пол. Ślęza, нем. Lohe, Lawa) — р. на юго-западе Польши, левый приток Одры.","Сле́нза (пол. Ślęza, нем. Lohe, Lawa) — река на юго-западе Польши, левый приток Одры."
"дл. реки — 78,6 км, пл. бассейна — 971,7 км.","Длина реки — 78,6 км, площадь бассейна — 971,7 км."
"Сленза берёт нач. в Судетском Нагорье, и протекает возле горы Слежа, через Нижнюю Силезию и впадает в Одру рядом с Вроцлавом.","Сленза берёт начало в Судетском Нагорье, и протекает возле горы Слежа, через Нижнюю Силезию и впадает в Одру рядом с Вроцлавом."
"назв. реки скорее всего произошло от силезского слова, к-рый означает «влажное, болотистое место».","Название реки скорее всего произошло от силезского слова, которое означает «влажное, болотистое место»."
"В папской булле Адриана IV в 1155 г р. упоминается, как Селенза.","В папской булле Адриана IV в 1155 году река упоминается, как Селенза."
"Список состоит из биноменов (двухсловных названий, состоящих из сочетания им. рода и им. вида) и указанных рядом с ними им. учёного, впервые описавшего данный таксон.","Список состоит из биноменов (двухсловных названий, состоящих из сочетания имени рода и имени вида) и указанных рядом с ними имени учёного, впервые описавшего данный таксон."
"В наст. время в фауне Японии обнаружено ок. 280 видов из более чем 60 родов муравьёв.","В настоящее время в фауне Японии обнаружено около 280 видов из более чем 60 родов муравьёв."
"Camponotus japonicus Mayr, 1866 — япон. муравей-древоточец","Camponotus japonicus Mayr, 1866 — Японский муравей-древоточец"
"Входит в состав Кировско-Выборгской линии, расположена между станциями «Пушкинская» и «пл. Восстания».","Входит в состав Кировско-Выборгской линии, расположена между станциями «Пушкинская» и «Площадь Восстания»."
"Станция открыта 15 ноября 1955 года в составе первой очереди метрополитена «Автово» — «пл. Восстания».","Станция открыта 15 ноября 1955 года в составе первой очереди метрополитена «Автово» — «Площадь Восстания»."
"назв. связано с близостью Владимирской площади и Владимирского проспекта.","Название связано с близостью Владимирской площади и Владимирского проспекта."
"15 дек. 2011 года Советом по сохранению культурного наследия станция внесена в единый гос. реестр объектов культурного наследия регионального значения.","15 декабря 2011 года Советом по сохранению культурного наследия станция внесена в единый государственный реестр объектов культурного наследия регионального значения."
"Вестибюль станции встроен в здание, располагающееся на пересечении б. Московской улицы и Кузнечного переулка, у Владимирской площади, в котором размещается проектный ин-т «Ленметрогипротранс».","Вестибюль станции встроен в здание, располагающееся на пересечении Большой Московской улицы и Кузнечного переулка, у Владимирской площади, в котором размещается проектный институт «Ленметрогипротранс»."
"Того же типа полуколонны должны были украшать и плоскости стен по б. Московской улице и Кузнечному переулку, но их заменили рустами.","Того же типа полуколонны должны были украшать и плоскости стен по Большой Московской улице и Кузнечному переулку, но их заменили рустами."
"Общая стоимость работ превысила 500 млн руб.","Общая стоимость работ превысила 500 млн рублей."
"К открытию станции на балюстрадах эскалатора были установлены новые хромированные панели, оригинальные светильники 1955 года также были заменены на классические «световые столбики», заменённые в 2017 г на «факелы».","К открытию станции на балюстрадах эскалатора были установлены новые хромированные панели, оригинальные светильники 1955 года также были заменены на классические «световые столбики», заменённые в 2017 году на «факелы»."
"В вестибюле станции реставрирован мрамор и светильники, украшающие вестибюль, кассовый зал, эскалаторные залы, мозаичное панно «Изобилие», располож. над эскалаторами.","В вестибюле станции реставрирован мрамор и светильники, украшающие вестибюль, кассовый зал, эскалаторные залы, мозаичное панно «Изобилие», расположенное над эскалаторами."
"Сооружён новый выход на Кузнечный пер. во избежание пересечения пассажиропотоков.","Сооружён новый выход на Кузнечный переулок во избежание пересечения пассажиропотоков."
"Новые дубовые двери, установленные на выходе на Кузнечный пер., были изготовлены по эскизам 1955 года.","Новые дубовые двери, установленные на выходе на Кузнечный переулок, были изготовлены по эскизам 1955 года."
"21, 22, 28 и 29 июля, 4, 5, 11 и 12 августа 2007 года, когда движение поездов от «Садовой» до «Площади Александра Невского-2» 4 линии не осуществлялось в рамках подготовки к организации движения поездов от «Садовой» к «Звенигородской» линии 5 и от «Достоевской» к «Спасской», «Владимирскую» поезда проезжали без остановок, так как станции «Достоевская» и «Лиговский просп.» были полностью закрыты для пассажиров в момент проведения работ.","21, 22, 28 и 29 июля, 4, 5, 11 и 12 августа 2007 года, когда движение поездов от «Садовой» до «Площади Александра Невского-2» 4 линии не осуществлялось в рамках подготовки к организации движения поездов от «Садовой» к «Звенигородской» линии 5 и от «Достоевской» к «Спасской», «Владимирскую» поезда проезжали без остановок, так как станции «Достоевская» и «Лиговский проспект» были полностью закрыты для пассажиров в момент проведения работ."
"Данный тип станции (центр. зал более чем в три раза короче боковых залов) был использован впервые в Ленинградском метрополитене.","Данный тип станции (центральный зал более чем в три раза короче боковых залов) был использован впервые в Ленинградском метрополитене."
"На дверях путевых стен установлены декоративные решётки с надписью «1955», по г открытия станции, такая же решётка располагается в торцевой стене центрального зала.","На дверях путевых стен установлены декоративные решётки с надписью «1955», по году открытия станции, такая же решётка располагается в торцевой стене центрального зала."
"В 1991 г станция была реконструирована в связи с обустройством перехода на станцию «Достоевская», в результате чего центр. зал станции был удлинён.","В 1991 году станция была реконструирована в связи с обустройством перехода на станцию «Достоевская», в результате чего центральный зал станции был удлинён."
"В 2004 г была произведена замена освещения.","В 2004 году была произведена замена освещения."
"В 2005 г была произведена замена полов на гранитные.","В 2005 году была произведена замена полов на гранитные."
"Во время постройки переходного тоннеля с «Достоевской» на «Владимирскую» (в 1989 г) произошло проникновение воды в выработки.","Во время постройки переходного тоннеля с «Достоевской» на «Владимирскую» (в 1989 году) произошло проникновение воды в выработки."
"Решение о строительстве станции «Владимирская» было принято в 1951 г, поэтому архитект. оформление предельно лаконично.","Решение о строительстве станции «Владимирская» было принято в 1951 году, поэтому архитектурное оформление предельно лаконично."
"В 1951 г, когда разрабатывался проект станции, в Ленинграде впервые был применён тип трёхсводчатой пилонной станции с укороченным центральным нефом.","В 1951 году, когда разрабатывался проект станции, в Ленинграде впервые был применён тип трёхсводчатой пилонной станции с укороченным центральным нефом."
"В 1991 г при реконструкции станции для создания пересадки центр. зал неск. удлинили.","В 1991 году при реконструкции станции для создания пересадки центральный зал несколько удлинили."
"петерб. метрополитен: от идеи до воплощения.","Петербургский метрополитен: от идеи до воплощения."
"Метрополитен Северной Столицы (Альбом) / Под ред. Гарюгина В. А. — СПб.: изд-во «Лики России», 1995.","Метрополитен Северной Столицы (Альбом) / Под ред. Гарюгина В. А. — СПб.: Издательство «Лики России», 1995."
"пгр.","Петроград."
"л.: Энциклопедический справочник.","Ленинград: Энциклопедический справочник."
"Бирге Тиек) — упразднённое с. в Астраханской области, включено в состав Астрахани Указом Президиума Верховного Совета РСФСР от 17.10.1957 года.","Бирге Тиек) — упразднённое село в Астраханской области, включено в состав Астрахани Указом Президиума Верховного Совета РСФСР от 17.10.1957 года."
"с. располагалось на левом берегу Волги.","Село располагалось на левом берегу Волги."
"назв. села (Зацарёво) отражало географич. расположение села за ериком Царёв, то есть к югу от центра Астрахани.","Название села (Зацарёво) отражало географическое расположение села за ериком Царёв, то есть к югу от центра Астрахани."
"с. основано юртовскими татарами в середине XVIII-начале XIX в.","Село основано юртовскими татарами в середине XVIII-начале XIX в."
