question,answer
"Самый крупный двигатель в семействе двигателей UZ с рабочим объёмом 4,7 л.","Самый крупный двигатель в семействе двигателей UZ с рабочим объёмом 4,7 литра."
"26 марта весь состав дивизии прибыл на станцию Либерозе, находящуюся в 25 км севернее Котбуса и в 30 км от линии фронта.","26 марта весь состав дивизии прибыл на станцию Либерозе, находящуюся в 25 километрах севернее Котбуса и в 30 километрах от линии фронта."
"В то же время на северном участке два взвода прорвались на 300 м вглубь плацдарма, но защитники прижали власовцев к земле.","В то же время на северном участке два взвода прорвались на 300 метров вглубь плацдарма, но защитники прижали власовцев к земле."
"д. находится в центральной части Калужской области, в зоне хвойно-широколиственных лесов, в пределах Барятинско-Сухиничской равнины, на правом берегу реки Брыни, к западу от автодороги М3, на расстоянии примерно 7 км (по прямой) к западу от города Сухиничи, административного центра района.","Деревня находится в центральной части Калужской области, в зоне хвойно-широколиственных лесов, в пределах Барятинско-Сухиничской равнины, на правом берегу реки Брыни, к западу от автодороги М3, на расстоянии примерно 7 километров (по прямой) к западу от города Сухиничи, административного центра района."
"Абсолютная выс. — 207 м над уровнем моря.","Абсолютная высота — 207 метров над уровнем моря."
"Специализировался в беге на 800 м.","Специализировался в беге на 800 метров."
"На след. г на чемпионате Африки выиграл золотую медаль в беге на 800 м и бронзовую медаль на дистанции 1500 м.","На следующий год на чемпионате Африки выиграл золотую медаль в беге на 800 метров и бронзовую медаль на дистанции 1500 метров."
"В 1993 г обладал лучшим временем года на дистанции 800 м — 1.43,54.","В 1993 году обладал лучшим временем года на дистанции 800 метров — 1.43,54."
"В 1994 г установил личный рекорд в беге на 1500 м — 3.39,06.","В 1994 году установил личный рекорд в беге на 1500 метров — 3.39,06."
"д. находится на севере центральной части Кировской области, в подзоне южной тайги, к востоку от реки Сольпы, на расстоянии приблизительно 36 км (по прямой) к северо-западу от города Слободского, административного центра района.","Деревня находится на севере центральной части Кировской области, в подзоне южной тайги, к востоку от реки Сольпы, на расстоянии приблизительно 36 километров (по прямой) к северо-западу от города Слободского, административного центра района."
"Абсолютная выс. — 164 м над уровнем моря.","Абсолютная высота — 164 метра над уровнем моря."
"Впадает на территории Ганы в водохранилище В.","Впадает на территории Ганы в водохранилище Вольта."
"дл. реки составляет 900 км и относится к бассейну В.","Длина реки составляет 900 километров и относится к бассейну Вольты."
"Одрикс (фр.), радиопередающая антенна высотой 205 м","Одрикс (фр.), радиопередающая антенна высотой 205 метров"
"Бержерак, антенна в Монбазияке высотой 60 м","Бержерак, антенна в Монбазияке высотой 60 метров"
"К концу 2010 года общая протяжённость автомобильных дорог в департаменте Дордонь составляла 18 945 км.","К концу 2010 года общая протяжённость автомобильных дорог в департаменте Дордонь составляла 18 945 километров."
"Восстановительные работы были поручены немецкому скульптору Йохену Гц, к-рый задал жителям города вопрос «По вашему мнению, ради чего стоит рисковать своей жизнью?».","Восстановительные работы были поручены немецкому скульптору Йохену Герцу, который задал жителям города вопрос «По вашему мнению, ради чего стоит рисковать своей жизнью?»."
"Самыми посещаемыми туристическими объектами в Дордони являются город Сарла-ла-Канеда, пещера Ласко II, замок Кастельно, сад Маркессак, скала Сен-Кристоф (обрывистая скала длиной ок. км) и Аквариум Чёрного Перигора","Самыми посещаемыми туристическими объектами в Дордони являются город Сарла-ла-Канеда, пещера Ласко II, замок Кастельно, сад Маркессак, скала Сен-Кристоф (обрывистая скала длиной около километра) и Аквариум Чёрного Перигора"
"коммуна Бертрик-Бюре — тисовое дерево, возрастом более 800 лет и имеющее в окружности 9 м.","коммуна Бертрик-Бюре — тисовое дерево, возрастом более 800 лет и имеющее в окружности 9 метров."
"мон. находится на правом берегу реки Камп, в её излучине, в двух км ниже по течению реки от посёлка Цветль.","Монастырь находится на правом берегу реки Камп, в её излучине, в двух километрах ниже по течению реки от посёлка Цветль."
"В 35 км к юго-востоку расположен Кремс, в 75 км — Вена.","В 35 километрах к юго-востоку расположен Кремс, в 75 километрах — Вена."
"Самцы прилетают на место гнездовья на неск. дней раньше самок, иногда пролетая до 200 км в сутки.","Самцы прилетают на место гнездовья на несколько дней раньше самок, иногда пролетая до 200 километров в сутки."
"с. находится в центральной части Грузии, на правом берегу реки Иори, на расстоянии приблизительно 9 км (по прямой) к северо-северо-востоку от посёлка городского типа Тианети, административного центра муниципалитета.","Село находится в центральной части Грузии, на правом берегу реки Иори, на расстоянии приблизительно 9 километров (по прямой) к северо-северо-востоку от посёлка городского типа Тианети, административного центра муниципалитета."
"Абсолютная выс. — 1222 м над уровнем моря.","Абсолютная высота — 1222 метра над уровнем моря."
"Находится в центральной части Белгородской области, в лесостепной зоне, в пределах Среднерусской возвышенности, при автодороге 14К-2, на расстоянии примерно 2 км (по прямой) к северо-западу от города Корочи, административного центра района.","Находится в центральной части Белгородской области, в лесостепной зоне, в пределах Среднерусской возвышенности, при автодороге 14К-2, на расстоянии примерно 2 километров (по прямой) к северо-западу от города Корочи, административного центра района."
"Абсолютная выс. — 218 м над уровнем моря.","Абсолютная высота — 218 метров над уровнем моря."
"Находится в Косово, на холме над деревней Мушутиште недалеко от Призрена в 10 км к юго-востоку от административного центра Сува-Река.","Находится в Косово, на холме над деревней Мушутиште недалеко от Призрена в 10 километрах к юго-востоку от административного центра Сува-Река."
"Живущие здесь лягушки «Рико», известные как «коки» (Eleutherdactylus coqui), являются излюбленным символом острова, хотя их присутствие можно ощутить только по звуку и мало кто из туристов может их увидеть — самая большая «коки» не более 5 см в длину.","Живущие здесь лягушки «Рико», известные как «коки» (Eleutherdactylus coqui), являются излюбленным символом острова, хотя их присутствие можно ощутить только по звуку и мало кто из туристов может их увидеть — самая большая «коки» не более 5 сантиметров в длину."
"Апоногетон жестколистный представляет собой травянистый куст без стебля, с длинными продольно жилковатыми листьями оливкового или тёмно-зелёного цвета, слегка волнистыми по краям, достигающий в высоту 50—60 см.","Апоногетон жестколистный представляет собой травянистый куст без стебля, с длинными продольно жилковатыми листьями оливкового или тёмно-зелёного цвета, слегка волнистыми по краям, достигающий в высоту 50—60 сантиметров."
"В отличие от других представителей рода, вода для жестколистного апоногетона должна быть нейтральной или слабощелочной (pH 7—7,2) и довольно жёсткой (7—12 немецких °).","В отличие от других представителей рода, вода для жестколистного апоногетона должна быть нейтральной или слабощелочной (pH 7—7,2) и довольно жёсткой (7—12 немецких градусов)."
"Корневая система довольно развитая, поэтому необходим слой грунта толщиной не менее 5 см.","Корневая система довольно развитая, поэтому необходим слой грунта толщиной не менее 5 сантиметров."
"14 августа — первый сов. эксперимент. вертолёт ЦАГИ 1-ЭА был поднят на высоту 605 м, установив неофициальный мир. рекорд.","14 августа — первый советский экспериментальный вертолёт ЦАГИ 1-ЭА был поднят на высоту 605 метров, установив неофициальный мировой рекорд."
"Общий вес скульптурной композиции составляет ок. 600 кг.","Общий вес скульптурной композиции составляет около 600 килограмм."
"Так в книге цитируется радиограмма от начальника разведки 48-й армии: « Противник захватил Сологубовку и к 14 часам находился в 8 км южнее Мги.","Так в книге цитируется радиограмма от начальника разведки 48-й армии: « Противник захватил Сологубовку и к 14 часам находился в 8 километрах южнее Мги."
"Наблюдавшие за появлением Зла боевые корабли Земли не могут получить данные, вкл. температуру поверхности: один датчик показывает температуру плюс млн °, др. — минус пять тыс. °.","Наблюдавшие за появлением Зла боевые корабли Земли не могут получить данные, включая температуру поверхности: один датчик показывает температуру плюс миллион градусов, другой — минус пять тысяч градусов."
"рук. лаборатории, заглянув в капсулу регенератора, смущается от увиденного и просит подождать ещё минут пять, но през. даёт только двадцать с.","Руководитель лаборатории, заглянув в капсулу регенератора, смущается от увиденного и просит подождать ещё минут пять, но президент даёт только двадцать секунд."
"Резона́нсом Шу́мана называется явление образования стоячих электромагнитных волн сверхнизких частот (единицы и десятки Гц) между поверхностью Земли и ионосферой.","Резона́нсом Шу́мана называется явление образования стоячих электромагнитных волн сверхнизких частот (единицы и десятки герц) между поверхностью Земли и ионосферой."
"Каждая молния генерирует электромагнитные волны, которые начинают вращаться вокруг планеты, оказываются в «ловушке» между поверхностью Земли и ионосферой на высоте ок. 96 км.","Каждая молния генерирует электромагнитные волны, которые начинают вращаться вокруг планеты, оказываются в «ловушке» между поверхностью Земли и ионосферой на высоте около 96 километров."
"Центр села расположен на высоте ок. 50 м над уровнем моря.","Центр села расположен на высоте около 50 метров над уровнем моря."
"Глубина кальдеры составляет 200 м, шир. — 1 км.","Глубина кальдеры составляет 200 метров, ширина — 1 км."
"Наивысшей точкой вулканического комплекса является стратовулкан Мерапи, достигающий высоты 2803 м, располож. на юго-восточном склоне кальдеры.","Наивысшей точкой вулканического комплекса является стратовулкан Мерапи, достигающий высоты 2803 метров, расположенный на юго-восточном склоне кальдеры."
"Немецкие части, наступавшие на Каунас уже к вечеру 22 июня 1941 года были в 60 км южнее города и не прекращали движение.","Немецкие части, наступавшие на Каунас уже к вечеру 22 июня 1941 года были в 60 километрах южнее города и не прекращали движение."
"С 1982 по 1984 г создал б. триптих размером 9,00 х 4,50 м для церкви Сан-Джачинто (Брешиа).","С 1982 по 1984 год создал большой триптих размером 9,00 х 4,50 метра для церкви Сан-Джачинто (Брешиа)."
"д. расположена на северо-востоке республики на расстоянии примерно в 13 км по прямой к северу от районного центра Балезина.","Деревня расположена на северо-востоке республики на расстоянии примерно в 13 километрах по прямой к северу от районного центра Балезина."
"с. находится в западной части Грузии, на правом берегу реки Техури, на расстоянии приблизительно 9 км (по прямой) к западо-северо-западу от города Мартвили, административного центра муниципалитета.","Село находится в западной части Грузии, на правом берегу реки Техури, на расстоянии приблизительно 9 километров (по прямой) к западо-северо-западу от города Мартвили, административного центра муниципалитета."
"Абсолютная выс. — 162 м над уровнем моря.","Абсолютная высота — 162 метра над уровнем моря."
"Труп Ткаченко был обнаружен на левом берегу Дона в полусотне м от магистрали рядом с кафе «Наири»; она была задушена, её соски были откушены, рот набит грязью, а во влагалище и анус неизвестный вставлял деревянную палку (ветку дерева).","Труп Ткаченко был обнаружен на левом берегу Дона в полусотне метров от магистрали рядом с кафе «Наири»; она была задушена, её соски были откушены, рот набит грязью, а во влагалище и анус неизвестный вставлял деревянную палку (ветку дерева)."
"Иногда Чикатило проходил вместе со своими жертвами неск. км, причём всегда шёл впереди и, удалившись от людных мест, неожиданно набрасывался с ножом.","Иногда Чикатило проходил вместе со своими жертвами несколько километров, причём всегда шёл впереди и, удалившись от людных мест, неожиданно набрасывался с ножом."
"Я был на нескольких заседаниях суда, проходившего в Ростове-на-Дону, видел убийцу с расстояния м десяти, двадцати…","Я был на нескольких заседаниях суда, проходившего в Ростове-на-Дону, видел убийцу с расстояния метров десяти, двадцати…"
"Чикатило совершал свои убийства в состоянии аффекта, но сознательно, планомерно готовил условия для их совершения (мог настолько усыпить бдительность своих жертв, что некоторые проходили с ним в лесу до пяти км).","Чикатило совершал свои убийства в состоянии аффекта, но сознательно, планомерно готовил условия для их совершения (мог настолько усыпить бдительность своих жертв, что некоторые проходили с ним в лесу до пяти километров)."
"д. находится в северо-восточной части Тверской области, в подзоне южной тайги, при автодороге 28Н-1401, на расстоянии примерно 20 км (по прямой) к юго-востоку от Сандова, административного центра округа.","Деревня находится в северо-восточной части Тверской области, в подзоне южной тайги, при автодороге 28Н-1401, на расстоянии примерно 20 километров (по прямой) к юго-востоку от Сандова, административного центра округа."
"Абсолютная выс. — 212 м над уровнем моря.","Абсолютная высота — 212 метров над уровнем моря."
"Перед посадкой Мазер Рэкхэм готовил китайских военных на новом транспортном самолёте, Гц, в обмен на обучение своим новым изобретениям, буровые сани, которые могут быстро проскочить под землей.","Перед посадкой Мазер Рэкхэм готовил китайских военных на новом транспортном самолёте, ГЕРЦ, в обмен на обучение своим новым изобретениям, буровые сани, которые могут быстро проскочить под землей."
"Мазеру удается найти некоторые уборочные сани и Гц для транспортировки их близко к посадочному устройству.","Мазеру удается найти некоторые уборочные сани и ГЕРЦ для транспортировки их близко к посадочному устройству."
"Расстояние до Симферополя — ок. 36 км, 9 км севернее ш. Т-0106 Симферополь — Николаевка.","Расстояние до Симферополя — около 36 километров, 9 км севернее шоссе Т-0106 Симферополь — Николаевка."
"Ближайшая ж.-д. станция Саки — примерно в 22 км.","Ближайшая железнодорожная станция Саки — примерно в 22 километрах."
