question,answer
"Объём фляги 1 л при весе в 220 г.","Объём фляги 1 литр при весе в 220 г."
"Ави́ловские курга́ны — скопление курганных групп в 0,5—1 км к западу от хутора Авилов Иловлинского района Волгоградской области на правом берегу реки Иловли.","Ави́ловские курга́ны — скопление курганных групп в 0,5—1 километре к западу от хутора Авилов Иловлинского района Волгоградской области на правом берегу реки Иловли."
"Зима 1905—1906 года не была особенно суровой: только два раза столбик термометра опустился до отметки минус 11 °, а среднедневная температура составляла в Лифляндии в январе –2.3, в феврале –1.8, в марте –0,7 °.","Зима 1905—1906 года не была особенно суровой: только два раза столбик термометра опустился до отметки минус 11 градусов, а среднедневная температура составляла в Лифляндии в январе –2.3, в феврале –1.8, в марте –0,7 градусов."
"Предполагается выработка до 10 г кислорода в час с чистотой 98 %.","Предполагается выработка до 10 грамм кислорода в час с чистотой 98 %."
"В случае успеха эксперимента появится возможность создания крупной установки с небольшой электростанцией, к-рый сможет вырабатывать не менее двух кг кислорода в час для обеспечения жизнедеятельности астронавтов на Марсе.","В случае успеха эксперимента появится возможность создания крупной установки с небольшой электростанцией, которая сможет вырабатывать не менее двух килограммов кислорода в час для обеспечения жизнедеятельности астронавтов на Марсе."
"Вначале MOXIE прогревался до нужных температур в течение двух часов, затем начал генерировать кислород с производительностью шесть г в час, а через некоторое время снизил темп работы для оценки своего состояния.","Вначале MOXIE прогревался до нужных температур в течение двух часов, затем начал генерировать кислород с производительностью шесть грамм в час, а через некоторое время снизил темп работы для оценки своего состояния."
"За час работы общее кол-во произведенного кислорода составило 5,37 г, чего достаточно, чтобы обеспечить чел. кислородом на десять минут.","За час работы общее количество произведенного кислорода составило 5,37 грамма, чего достаточно, чтобы обеспечить человека кислородом на десять минут."
"Эксперименты подтвердили, что установка успешно вырабатывала штатный объем кислорода как днем, так и ночью, а также при высоких температурах воздуха (ок. минус 20 ° Цельсия), так и при низких (минус 74 ° Цельсия).","Эксперименты подтвердили, что установка успешно вырабатывала штатный объем кислорода как днем, так и ночью, а также при высоких температурах воздуха (около минус 20 градусов Цельсия), так и при низких (минус 74 градуса Цельсия)."
"Максимальный темп всасывания атмосферы установкой составляет 55 г газовой смеси в час, что дает скорость выработки кислорода в 6-8 г газа в час (сопоставимо с небольшим деревом; чел. на Земле в состоянии покоя за такой же период потребляет ок. 17 г кислорода).","Максимальный темп всасывания атмосферы установкой составляет 55 грамм газовой смеси в час, что дает скорость выработки кислорода в 6-8 грамм газа в час (сопоставимо с небольшим деревом; человек на Земле в состоянии покоя за такой же период потребляет около 17 граммов кислорода)."
"В результате этого MOXIE получил ок. 50 г кислорода, причем эффективность ее работы почти не снизилась за семь включений данного прибора, что говорит о его высокой долговечности.","В результате этого MOXIE получил около 50 грамм кислорода, причем эффективность ее работы почти не снизилась за семь включений данного прибора, что говорит о его высокой долговечности."
