question,answer
"Flasche через пол. flaszka) — плоская или овальная бутыль (баклага, сосуд) как правило метал. с навинчивающейся пробкой.","Flasche через пол. flaszka) — плоская или овальная бутыль (баклага, сосуд) как правило металлическая с навинчивающейся пробкой."
"Так, напр., пробка из комплекта противогаза ГП-7 позволяет пить из стандартной армейской фляги через трубочку, не снимая противогаза.","Так, например, пробка из комплекта противогаза ГП-7 позволяет пить из стандартной армейской фляги через трубочку, не снимая противогаза."
"(Смоченный водой чехол позволяет неск. охладить флягу).","(Смоченный водой чехол позволяет несколько охладить флягу)."
"В русском разговорном языке флягой обычно называют б. алюминиевый бидон с ручками и герметичной крышкой для перевозки молока и молочных продуктов (напр., ФА-40 объёмом 40 л. ГОСТ 5037-97), а собственно флягу для напитков называют «фляжка».","В русском разговорном языке флягой обычно называют большой алюминиевый бидон с ручками и герметичной крышкой для перевозки молока и молочных продуктов (например, ФА-40 объёмом 40 л. ГОСТ 5037-97), а собственно флягу для напитков называют «фляжка»."
"В 1802 г жестяные емкости для переноски воды назывались водоносными фляжами и носились привязанными к цилиндрическим ранцам.","В 1802 году жестяные емкости для переноски воды назывались водоносными фляжами и носились привязанными к цилиндрическим ранцам."
"стекл. фляга окрашивалась чёрной масляной краской и носилась на ремне (портупее) через правое плечо на левом боку за бедром (с 1862 года).","Стеклянная фляга окрашивалась чёрной масляной краской и носилась на ремне (портупее) через правое плечо на левом боку за бедром (с 1862 года)."
"В 1989 г изменилась форма фляжки.","В 1989 году изменилась форма фляжки."
"Также комплект фляга-котелок ВДВ возможно использовать для получения чистой пресной воды путем дистилляции, напр., соленой морской воды.","Также комплект фляга-котелок ВДВ возможно использовать для получения чистой пресной воды путем дистилляции, например, соленой морской воды."
"Фляжка // Товарный словарь / И. А. Пугачёв (гл. ред.).","Фляжка // Товарный словарь / И. А. Пугачёв (главный редактор)."
"— М.: гос. изд-во торговой литературы, 1961.","— М.: Государственное издательство торговой литературы, 1961."
"Фляги молочные // Товарный словарь / И. А. Пугачёв (гл. ред.).","Фляги молочные // Товарный словарь / И. А. Пугачёв (главный редактор)."
"— М.: гос. изд-во торговой литературы, 1961.","— М.: Государственное издательство торговой литературы, 1961."
"Флаг муниципального образования «Дахадаевский р-н» Республики Дагестан Российской Федерации, наряду с основным муниципальным символом района — гербом, является официальным опознавательно-правовым знаком и служит его официальным символом.","Флаг муниципального образования «Дахадаевский район» Республики Дагестан Российской Федерации, наряду с основным муниципальным символом района — гербом, является официальным опознавательно-правовым знаком и служит его официальным символом."
