question,answer
"В наст. время[уточнить] в связи со строительством новой линии метро Север-Юг улица Рокин раскопана на глубину ок. 20 м.","В настоящее время[уточнить] в связи со строительством новой линии метро Север-Юг улица Рокин раскопана на глубину около 20 метров."
"Исток Рура находится на высоте 660 м над уровнем моря в Национальном парке Высокий Фенн, расположенном на возвышенности Высокий Фенн (Hautes Fagnes) в Бельгии.","Исток Рура находится на высоте 660 метров над уровнем моря в Национальном парке Высокий Фенн, расположенном на возвышенности Высокий Фенн (Hautes Fagnes) в Бельгии."
"Впервые заявил о себе на всесоюзном уровне в сезоне 1964 года, когда на чемпионате СССР в Киеве выиграл серебряную медаль в беге на 400 м с барьерами, уступив на финише только Василию Анисимову.","Впервые заявил о себе на всесоюзном уровне в сезоне 1964 года, когда на чемпионате СССР в Киеве выиграл серебряную медаль в беге на 400 метров с барьерами, уступив на финише только Василию Анисимову."
"Благодаря череде удачных выступлений удостоился права защищать честь страны на летних Олимпийских играх в Токио — в программе барьерного бега на 400 м выбыл из борьбы за медали на стадии полуфиналов, показав в своём забеге результат 52,2.","Благодаря череде удачных выступлений удостоился права защищать честь страны на летних Олимпийских играх в Токио — в программе барьерного бега на 400 метров выбыл из борьбы за медали на стадии полуфиналов, показав в своём забеге результат 52,2."
"Так, в 1965 г на чемпионате СССР в Алма-Ате он вновь получил серебро в беге на 400 м с барьерами, снова пропустил вперёд Василия Анисимова.","Так, в 1965 году на чемпионате СССР в Алма-Ате он вновь получил серебро в беге на 400 метров с барьерами, снова пропустил вперёд Василия Анисимова."
"В 1967 г на чемпионате страны в рамках IV летней Спартакиады народов СССР в Москве выиграл серебряную и золотую награды в беге с барьерами на 200 и 400 м соответственно.","В 1967 году на чемпионате страны в рамках IV летней Спартакиады народов СССР в Москве выиграл серебряную и золотую награды в беге с барьерами на 200 и 400 метров соответственно."
"На чемпионате СССР 1969 года в Киеве в барьерном беге на 400 м взял бронзу.","На чемпионате СССР 1969 года в Киеве в барьерном беге на 400 метров взял бронзу."
"д. находится в восточной части Тверской области, в зоне хвойно-широколиственных лесов, на правом берегу реки Синей, при автодороге 28Н-0703, на расстоянии примерно 19 км (по прямой) к юго-западу от посёлка городского типа Кесова Гора, административного центра района.","Деревня находится в восточной части Тверской области, в зоне хвойно-широколиственных лесов, на правом берегу реки Синей, при автодороге 28Н-0703, на расстоянии примерно 19 километров (по прямой) к юго-западу от посёлка городского типа Кесова Гора, административного центра района."
"Абсолютная выс. — 167 м над уровнем моря.","Абсолютная высота — 167 метров над уровнем моря."
"В тоарском веке ранней юры ок. 183 млн лет назад в результате извержений вулканов в атмосферу попало много углекислого газа, среднегодовая температура Земли выросла на 5 °, увеличилось кол-во осадков и смытых в океан минеральных веществ.","В тоарском веке ранней юры около 183 млн лет назад в результате извержений вулканов в атмосферу попало много углекислого газа, среднегодовая температура Земли выросла на 5 градусов, увеличилось количество осадков и смытых в океан минеральных веществ."
"Находится в примерно в 22 км по прямой на з. от районного центра села Ирбейское.","Находится в примерно в 22 километрах по прямой на запад от районного центра села Ирбейское."
"Населённый пункт расположен в 8 км к западу от села Новоживотинное, в непосредственной близости от границ Новоживотинновского и Русскогвоздёвского сельских поселений.","Населённый пункт расположен в 8 километрах к западу от села Новоживотинное, в непосредственной близости от границ Новоживотинновского и Русскогвоздёвского сельских поселений."
"Управляемый гонщиком элемент переднего антикрыла, угол атаки которого может изменяться на шесть °.","Управляемый гонщиком элемент переднего антикрыла, угол атаки которого может изменяться на шесть градусов."
"Кроме того, на последовавшем чемпионате мира в Милане трижды поднимался на пьедестал почёта: в зачёте четырёхместных каноэ получил бронзу на дистанции 200 м, а также серебро на дистанциях 500 и 1000 м.","Кроме того, на последовавшем чемпионате мира в Милане трижды поднимался на пьедестал почёта: в зачёте четырёхместных каноэ получил бронзу на дистанции 200 метров, а также серебро на дистанциях 500 и 1000 метров."
"Благодаря череде удачных выступлений Прикоп удостоился права защищать честь страны на летних Олимпийских играх 2000 года в Сиднее — вместе с напарником Флорином Попеску выиграл бронзу среди каноэ-двоек на пятистах м, уступив в решающем заезде только экипажам из Венгрии и Польши, тогда как на тысяче м обогнал всех своих соперников и завоевал тем самым золотую олимпийскую медаль.","Благодаря череде удачных выступлений Прикоп удостоился права защищать честь страны на летних Олимпийских играх 2000 года в Сиднее — вместе с напарником Флорином Попеску выиграл бронзу среди каноэ-двоек на пятистах метрах, уступив в решающем заезде только экипажам из Венгрии и Польши, тогда как на тысяче метрах обогнал всех своих соперников и завоевал тем самым золотую олимпийскую медаль."
"Так, в 2001 г он добился звания двукратного чемпиона Европы на европейском первенстве в Милане, одержав победу в двойках на пятистах и тысяче м.","Так, в 2001 году он добился звания двукратного чемпиона Европы на европейском первенстве в Милане, одержав победу в двойках на пятистах и тысяче метрах."
"г спустя на европейском первенстве в венгерском Сегеде взял серебро в четвёрках на км.","Год спустя на европейском первенстве в венгерском Сегеде взял серебро в четвёрках на километре."
"На мировом первенстве в Севилье добавил в послужной список бронзу в четвёрках на дистанции 200 м и золото в четвёрках на дистанции 500 м.","На мировом первенстве в Севилье добавил в послужной список бронзу в четвёрках на дистанции 200 метров и золото в четвёрках на дистанции 500 метров."
"Льви́ца из Гобе́дры — изображение припавшей к земле львицы, длиной ок. 3 м, рельефно высеченное на выходящем на поверхность крупном пласте горной породы.","Льви́ца из Гобе́дры — изображение припавшей к земле львицы, длиной около 3 метров, рельефно высеченное на выходящем на поверхность крупном пласте горной породы."
"Впервые описанное немецкими археологами в 1913 г, это высеченное в камне изображение находится в Гобо Дура (Гобедра) в двух км западнее города Аксум (Эфиопия).","Впервые описанное немецкими археологами в 1913 году, это высеченное в камне изображение находится в Гобо Дура (Гобедра) в двух километрах западнее города Аксум (Эфиопия)."
"Самый быстрый гол: на 14-й с — Александр Кожемяченко, против «Карпат-2», 2005/06, 28 мая 2006 года","Самый быстрый гол: на 14-й секунде — Александр Кожемяченко, против «Карпат-2», 2005/06, 28 мая 2006 года"
"Расположено на высоте 42 м над уровнем моря, у югу от реки Ардас, правого притока реки Марица (Эврос).","Расположено на высоте 42 метра над уровнем моря, у югу от реки Ардас, правого притока реки Марица (Эврос)."
"В январе 2009 года Tet начал предлагать оптический интернет со скоростью до 100 мегабит в с частным клиентам.","В январе 2009 года Tet начал предлагать оптический интернет со скоростью до 100 мегабит в секунду частным клиентам."
