question,answer
"Premier (Премьер; UCI Team Code: PRE) — рос. профессиональная шоссейная велокоманда континентального тура, существовавшая в 2006 — 2009 гг.","Premier (Премьер; UCI Team Code: PRE) — российская профессиональная шоссейная велокоманда континентального тура, существовавшая в 2006 — 2009 годах."
"Коргон (кирг. Коргон) — с. в Аксыйском районе Джалал-Абадской области Кыргызстана.","Коргон (кирг. Коргон) — село в Аксыйском районе Джалал-Абадской области Кыргызстана."
"с. расположено в южной части области, на берегах реки Афлатун (правый приток реки Кара-Суу), на расстоянии приблизительно 23 км (по прямой) к северо-востоку от города Кербен, административного центра района.","Село расположено в южной части области, на берегах реки Афлатун (правый приток реки Кара-Суу), на расстоянии приблизительно 23 километров (по прямой) к северо-востоку от города Кербен, административного центра района."
"Абсолютная выс. — 1006 м над уровнем моря.","Абсолютная высота — 1006 метров над уровнем моря."
"Согласно оценочным данным Национального статистического комитета Кыргызской Республики, численность населения села на нач. 2023 года составляла 1863 чел..","Согласно оценочным данным Национального статистического комитета Кыргызской Республики, численность населения села на начало 2023 года составляла 1863 человека."
"Абу́ Бакр А́хмад ибн Муха́ммад аль-Марру́зи (араб. أبو بكر المَرُّوْذِيُّ‎, ум. в 888 г в Багдаде) — изв. багдадский хадисовед и факих ханбалитского мазхаба, ученик и последователь Ахмада ибн Ханбаля.","Абу́ Бакр А́хмад ибн Муха́ммад аль-Марру́зи (араб. أبو بكر المَرُّوْذِيُّ‎, ум. в 888 году в Багдаде) — известный багдадский хадисовед и факих ханбалитского мазхаба, ученик и последователь Ахмада ибн Ханбаля."
"Абу Бакр род. ок. 815 года.","Абу Бакр родился около 815 года."
"От него передавали хадисы: Абу Бакр аль-Халлал, Мухаммад ибн Мухаллад аль-Аттар, Абдуллах аль-Хараки и мн. другие.","От него передавали хадисы: Абу Бакр аль-Халлал, Мухаммад ибн Мухаллад аль-Аттар, Абдуллах аль-Хараки и многие другие."
"Абу Бакр аль-Маррузи скончался в месяце Джумада аль-уля 275 года по мусульманскому календарю (888 г) в Багдаде.","Абу Бакр аль-Маррузи скончался в месяце Джумада аль-уля 275 года по мусульманскому календарю (888 год) в Багдаде."
"Ахлак аш-шуюх ва ахбарухум (араб. أخلاق الشيوخ وأخبارهم‎ — Нравы шейхов и изв. о них)","Ахлак аш-шуюх ва ахбарухум (араб. أخلاق الشيوخ وأخبارهم‎ — Нравы шейхов и известия о них)"
"Константиновка (укр. Костянтинівка) — пос. в Арбузинском районе Николаевской области Украины.","Константиновка (укр. Костянтинівка) — посёлок в Арбузинском районе Николаевской области Украины."
"Поселковому Совету подчинено с. Бугское.","Поселковому Совету подчинено село Бугское."
"с. основано в 1703 г.","Село основано в 1703 году."
"По состоянию на нач. 1895 года Константиновка являлась торговым селом Елисаветградского уезда Херсонской губернии, здесь насчитывалось 582 двора и 3 198 жителей, действовали две школы, неск. торговых лавок и евр. молитвенный дом, еженедельно проходили базары, в окрестностях села добывали гранит и строит. известняк.","По состоянию на начало 1895 года Константиновка являлась торговым селом Елисаветградского уезда Херсонской губернии, здесь насчитывалось 582 двора и 3 198 жителей, действовали две школы, несколько торговых лавок и еврейский молитвенный дом, еженедельно проходили базары, в окрестностях села добывали гранит и строительный известняк."
"В 1976 г Константиновка стала посёлком городского типа.","В 1976 году Константиновка стала посёлком городского типа."
"В январе 1989 года численность населения составляла 4397 чел..","В январе 1989 года численность населения составляла 4397 человек."
"По состоянию на 1 января 2013 года численность населения составляла 2238 чел..","По состоянию на 1 января 2013 года численность населения составляла 2238 человек."
"пос. находится в 19 км от ближайшей железнодорожной станции Кавуны на линии Колосовка — Помошная Одесской железной дороги.","Посёлок находится в 19 км от ближайшей железнодорожной станции Кавуны на линии Колосовка — Помошная Одесской железной дороги."
"Через пос. проходит автомобильная дорога Первомайск — Вознесенск — Николаев.","Через посёлок проходит автомобильная дорога Первомайск — Вознесенск — Николаев."
"Журавлёв Иван Никифорович (род. 1927) — сов. и рос. адм. деятель, деятель промышленности.","Журавлёв Иван Никифорович (род. 1927) — советский и российский административный деятель, деятель промышленности."
"пом. Председателя Верховного Совета Марийской ССР (1992—1994).","Помощник Председателя Верховного Совета Марийской ССР (1992—1994)."
"дир. завода «Электроавтоматика» г. Йошкар-Олы Марийской АССР (1973—1988).","Директор завода «Электроавтоматика» г. Йошкар-Олы Марийской АССР (1973—1988)."
"засл. машиностроитель Марийской АССР (1987).","Заслуженный машиностроитель Марийской АССР (1987)."
"чл. КПСС с 1979 года.","Член КПСС с 1979 года."
"Дороти Бёрр Томпсон (англ. Dorothy Burr Thompson; 19 августа 1900 — 10 мая 2001) — амер. археолог-классик и искусствовед.","Дороти Бёрр Томпсон (англ. Dorothy Burr Thompson; 19 августа 1900 — 10 мая 2001) — американская археолог-классик и искусствовед."
"Она начала изучать латинский яз. в возрасте 9 лет и древн. греч. яз. в возрасте 12.","Она начала изучать латинский язык в возрасте 9 лет и древний греческий язык в возрасте 12."
"В возрасте 13, она приняла участие в б. поездке по Европе, посещая музеи и монументы Старого континента.","В возрасте 13, она приняла участие в большой поездке по Европе, посещая музеи и монументы Старого континента."
"В 1919 г она начала свою учёбу в Брин-Мор-колледже, где училась у Rhys Carpenter и Mary Hamilton Swindler.","В 1919 году она начала свою учёбу в Брин-Мор-колледже, где училась у Rhys Carpenter и Mary Hamilton Swindler."
"Она окончила колледж с summa cum laude — «с наибольшим почётом» в 1923 г, стала первым выпускником по специальности греч. археология, и была награждена стипендией.","Она окончила колледж с summa cum laude — «с наибольшим почётом» в 1923 году, стала первым выпускником по специальности Греческая археология, и была награждена стипендией."
"В 1925 г Томпсон открыла Толос (гробницу), к-рый оказалась местом захоронения короля и королевы Мидеи (Μιδέα).","В 1925 году Томпсон открыла Толос (гробницу), которая оказалась местом захоронения короля и королевы Мидеи (Μιδέα)."
"Она завершила свою кандидатскую (Ph. D.) в Брин-Мор-колледже в 1931 г.","Она завершила свою кандидатскую (Ph. D.) в Брин-Мор-колледже в 1931 году."
"Это повлекло за собой иссл. 117 эллинистических терракотовых фигур из Мирины (Μυρίνα) в Музее изящных искусств Бостона.","Это повлекло за собой исследование 117 эллинистических терракотовых фигур из Мирины (Μυρίνα) в Музее изящных искусств Бостона."
"В следующем г она была назначена первой женщиной сотрудником на раскопках Афинской агоры.","В следующем году она была назначена первой женщиной сотрудником на раскопках Афинской агоры."
"Здесь помощником директора полевых работ был канадский археолог Гомер Томпсон, за которого она вышла замуж в 1934 г.","Здесь помощником директора полевых работ был канадский археолог Гомер Томпсон, за которого она вышла замуж в 1934 году."
"В 1936 г, Бёрр Томпсон обнаружила сад храма Гефеста на Афинской агоре.","В 1936 году, Бёрр Томпсон обнаружила сад храма Гефеста на Афинской агоре."
