question,answer
"д. расположена на юго-востоке Польши, на левом берегу реки Чарна-Лада, на расстоянии приблизительно 4 км к юго-западу от города Билгорай, административного центра повета.","Деревня расположена на юго-востоке Польши, на левом берегу реки Чарна-Лада, на расстоянии приблизительно 4 километров к юго-западу от города Билгорай, административного центра повета."
"Находилась в северо-восточной части области, в зоне хвойно-широколиственных лесов, к западу от автодороги 46К-7162, на расстоянии примерно 4 км (по прямой) к северо-северо-востоку от города Черноголовка, административного центра округа.","Находилась в северо-восточной части области, в зоне хвойно-широколиственных лесов, к западу от автодороги 46К-7162, на расстоянии примерно 4 километров (по прямой) к северо-северо-востоку от города Черноголовка, административного центра округа."
"Находится на правом берегу речки Терсянка расстоянии примерно 13 км по прямой на восток-северо-восток от восточной окраины города Вольск.","Находится на правом берегу речки Терсянка расстоянии примерно 13 километров по прямой на восток-северо-восток от восточной окраины города Вольск."
"Затем Саутуэст-Мирамиши течёт по провинции Нью-Брансуик на протяжении примерно 200 км — изначально она протекает через густые леса в юго-восточном направлении, затем сливается с рекой Таксис в коммуне Боистаун, после чего её русло сворачивает на северо-восток.","Затем Саутуэст-Мирамиши течёт по провинции Нью-Брансуик на протяжении примерно 200 километров — изначально она протекает через густые леса в юго-восточном направлении, затем сливается с рекой Таксис в коммуне Боистаун, после чего её русло сворачивает на северо-восток."
"Урочище находится в северо-восточной части области, в подзоне средней тайги, к востоку от реки ю., при автодороге 19Н-014, на расстоянии примерно 6 км (по прямой) к юго-юго-востоку от города вел. Устюг, административного центра района.","Урочище находится в северо-восточной части области, в подзоне средней тайги, к востоку от реки Юг, при автодороге 19Н-014, на расстоянии примерно 6 километров (по прямой) к юго-юго-востоку от города Великий Устюг, административного центра района."
"«зол. медведь» за лучший короткометражный фильм — «Трэп», реж. Анастасия Вб","«Золотой медведь» за лучший короткометражный фильм — «Трэп», режиссёр Анастасия Вебер"
"Обладательница национальных рекордов Украины на дистанциях 100 м брассом (1 минута 6,67 с) и 200 м брассом (2 минуты 23,01 с).","Обладательница национальных рекордов Украины на дистанциях 100 метров брассом (1 минута 6,67 секунды) и 200 метров брассом (2 минуты 23,01 секунды)."
"Обладательница национальных рекордов Турции на дистанциях 200 м комплексом (2 минуты 11,46 с) и комбинированная эстафета 4×100 м (в составе сборной, 4 минуты 6,34 с).","Обладательница национальных рекордов Турции на дистанциях 200 метров комплексом (2 минуты 11,46 секунды) и комбинированная эстафета 4×100 метров (в составе сборной, 4 минуты 6,34 секунды)."
"В июле 2013 года завоевала три медали на молодёжном чемпионате Европы по плаванию: две золотые (50 м брассом и 200 м брассом) и одну серебряную (100 м брассом).","В июле 2013 года завоевала три медали на молодёжном чемпионате Европы по плаванию: две золотые (50 метров брассом и 200 метров брассом) и одну серебряную (100 метров брассом)."
"В предварительном заплыве на 50 м брассом показала двадцать первое время (31,63 с) и не смогла выйти в полуфинал.","В предварительном заплыве на 50 метров брассом показала двадцать первое время (31,63 секунды) и не смогла выйти в полуфинал."
"В предварительном заплыве на 100 м брассом показала пятое время (1 минута 6,79 с) и вышла в полуфинал.","В предварительном заплыве на 100 метров брассом показала пятое время (1 минута 6,79 секунды) и вышла в полуфинал."
"В полуфинале приплыла третьей и показала шестое время в двух полуфиналах (1 минута 6,67 с).","В полуфинале приплыла третьей и показала шестое время в двух полуфиналах (1 минута 6,67 секунды)."
