question,answer
"Филиппви́ль — коммуна в Валлонии, располож. в провинции Намюр, округ Филиппвиль.","Филиппви́ль — коммуна в Валлонии, расположенная в провинции Намюр, округ Филиппвиль."
"На площади 156,71 км² проживают 8320 чел. (плотность населения — 53 чел./км²), из которых 49,38 % — мужчины и 50,63 % — женщины.","На площади 156,71 км² проживают 8320 человек (плотность населения — 53 чел./км²), из которых 49,38 % — мужчины и 50,63 % — женщины."
"Средний годовой доход на душу населения в 2003 г составлял 10 856 евро.","Средний годовой доход на душу населения в 2003 году составлял 10 856 евро."
"В 1555 г новый командующий императора Карла V Вильгельм I Оранский основал новую крепость в селении Эхереннес (Echerennes) известном с 9 вв.","В 1555 году новый командующий императора Карла V Вильгельм I Оранский основал новую крепость в селении Эхереннес (Echerennes) известном с 9 века."
"стр-во крепости было завершено через четыре месяца после начала.","Строительство крепости было завершено через четыре месяца после начала."
"В 1556 г Карл V назвал новую крепость в честь своего сына Филиппвиль.","В 1556 году Карл V назвал новую крепость в честь своего сына Филиппвиль."
"Стены крепости были срыты в 1856 г.","Стены крепости были срыты в 1856 году."
"Уроженцем Филиппвиля является Йохан Фостье — изв. музыкант, исполнитель на классической гитаре.","Уроженцем Филиппвиля является Йохан Фостье — известный музыкант, исполнитель на классической гитаре."
"Илайда́ Чеви́к (тур. İlayda Çevik; род. 22 дек. 1994, Балыкесир) — турецкая актриса театра, кино и телевидения.","Илайда́ Чеви́к (тур. İlayda Çevik; род. 22 декабря 1994, Балыкесир) — турецкая актриса театра, кино и телевидения."
"Илайда Чевик род. 22 дек. 1994 года в Балыкесире (Турция).","Илайда Чевик родилась 22 декабря 1994 года в Балыкесире (Турция)."
"Она окончила частную школу искусств им. Мимара Синана, а затем получила театр. образование в Художественном центре им. Мюждата Гезена и в Университете Едитепе.","Она окончила частную школу искусств им. Мимара Синана, а затем получила театральное образование в Художественном центре им. Мюждата Гезена и в Университете Едитепе."
"Она сыграла свою первую театральную роль в детской пьесе «дет. площадка».","Она сыграла свою первую театральную роль в детской пьесе «Детская площадка»."
"В 2013 г Чевик дебютировала в кино, сыграв роль Айчи в фильме «Для моей дочери».","В 2013 году Чевик дебютировала в кино, сыграв роль Айчи в фильме «Для моей дочери»."
"В т. же г она начала играть роль Майи Шамверди в телесериале «Чёрная роза», в котором снималась до 2016 года.","В том же году она начала играть роль Майи Шамверди в телесериале «Чёрная роза», в котором снималась до 2016 года."
"С 2018 по 2019 г Чевик играла роль Беррак Йылмаз в телесериале «Истерзанная» и была номинирована на Молодёжную премию Турции в категории «Лучшая актриса второго плана на телевидении» за эту работу.","С 2018 по 2019 год Чевик играла роль Беррак Йылмаз в телесериале «Истерзанная» и была номинирована на Молодёжную премию Турции в категории «Лучшая актриса второго плана на телевидении» за эту работу."
"С 2020 по 2021 г она играла роль Балджи Кочак в телесериале «Постучись в мою дверь».","С 2020 по 2021 год она играла роль Балджи Кочак в телесериале «Постучись в мою дверь»."
"Ка́ди Хусе́йн Ахма́д (12 дек. 1938, Наушера, брит. Индия — 6 января 2013, Исламабад, Пакистан) — видный религ. деятель, исламский богослов.","Ка́ди Хусе́йн Ахма́д (12 декабря 1938, Наушера, Британская Индия — 6 января 2013, Исламабад, Пакистан) — видный религиозный деятель, исламский богослов."
