question,answer
"Общая стоимость работ превысила 500 млн ₽.","Общая стоимость работ превысила 500 млн рублей."
"В 2015 году в рамках проекта был создан предварительный выпуск на основе Darwin 9 с графическим интерфейсом X11, за которым последовала только β-версия командной строки 17.4 на основе Darwin 17.","В 2015 году в рамках проекта был создан предварительный выпуск на основе Darwin 9 с графическим интерфейсом X11, за которым последовала только бета-версия командной строки 17.4 на основе Darwin 17."
"К концу года Bon Jovi отыграли 130 концертов, заработав на этом 28.400.000 $.","К концу года Bon Jovi отыграли 130 концертов, заработав на этом 28.400.000 долларов."
"Группа начинает заниматься благотворительностью, вкладывает 1 млн $ в строительство домов для малообеспеченных слоёв населения США.","Группа начинает заниматься благотворительностью, вкладывает 1 млн долларов в строительство домов для малообеспеченных слоёв населения США."
"Согласно исследованиям, за 2010 год на гастрольный тур группы The Circle Tour было продано билетов на общую стоимость 201,1 миллиона $.","Согласно исследованиям, за 2010 год на гастрольный тур группы The Circle Tour было продано билетов на общую стоимость 201,1 миллиона долларов."
"Второе место в списке заняла австралийская группа AC/DC, собравшая на гастролях 177 миллионов $.","Второе место в списке заняла австралийская группа AC/DC, собравшая на гастролях 177 миллионов долларов."
"Около 75 % территории коммуны составляют сельскохозяйственные угодья.","Около 75 процентов территории коммуны составляют сельскохозяйственные угодья."
"В рамках Исторической секции была выполнена большая работа к юбилейным датам: 100-летие изобретения радио (1995) и 90-летие электронного телевидения (1997), в том числе выпущены тематические № журнала «Радиоэлектроника и связь», представители исторической секции были приглашены в состав оргкомитетов, готовили юбилейные заседания, выступали по радио и телевидению, защищая отечественный приоритет в изобретениях.","В рамках Исторической секции была выполнена большая работа к юбилейным датам: 100-летие изобретения радио (1995) и 90-летие электронного телевидения (1997), в том числе выпущены тематические номера журнала «Радиоэлектроника и связь», представители исторической секции были приглашены в состав оргкомитетов, готовили юбилейные заседания, выступали по радио и телевидению, защищая отечественный приоритет в изобретениях."
"К 1835 году оно насчитывало 1,5 миллиона членов, причём доля женщин в его местных ячейках составляли от 35 до 60 %.","К 1835 году оно насчитывало 1,5 миллиона членов, причём доля женщин в его местных ячейках составляли от 35 до 60 процентов."
"В 1893 году была основана Антисалунная лига, вскоре ставшая влиятельной общенациональной организацией: к 1900 году её бюджет достиг 2 млн $.","В 1893 году была основана Антисалунная лига, вскоре ставшая влиятельной общенациональной организацией: к 1900 году её бюджет достиг 2 млн долларов."
"По его подсчётам, правительство США ежегодно получало благодаря сухому закону до 6 млрд $ дохода.","По его подсчётам, правительство США ежегодно получало благодаря сухому закону до 6 млрд долларов дохода."
"С 1921 по 1930 год врачи заработали на рецептах виски около 40 млн $.","С 1921 по 1930 год врачи заработали на рецептах виски около 40 млн долларов."
"Нью-йоркский судмедэксперт Чарльз Норрис полагал, что правительство несёт моральную ответственность за их смерть, так как понимало, что яд не сдерживает людей, но всё = продолжало отравлять технический спирт.","Нью-йоркский судмедэксперт Чарльз Норрис полагал, что правительство несёт моральную ответственность за их смерть, так как понимало, что яд не сдерживает людей, но всё равно продолжало отравлять технический спирт."
"«Плюс - двадцать»","«Плюс минус двадцать»"
"документальный спектакль «Плюс - двадцать» (2011)","документальный спектакль «Плюс минус двадцать» (2011)"
"Пакьяо — единственный миллиардер в нижней палате парламента Филиппин: его состояние в 2014 году оценивалось в 1,69 миллиарда филиппинских песо (почти 38 миллионов $).","Пакьяо — единственный миллиардер в нижней палате парламента Филиппин: его состояние в 2014 году оценивалось в 1,69 миллиарда филиппинских песо (почти 38 миллионов долларов)."
"Переговоры с Джоном Акии-Буа, которому эмиссары О’Хары предложили 1 000 000 $, затянулись.","Переговоры с Джоном Акии-Буа, которому эмиссары О’Хары предложили 1 000 000 долларов, затянулись."
"Конечно, существование общественного договора, = как и существование принципа ненападения, — само по себе предмет спора между сторонниками разных политических идеологий и взглядов.","Конечно, существование общественного договора, равно как и существование принципа ненападения, — само по себе предмет спора между сторонниками разных политических идеологий и взглядов."
"При бюджете в 125 миллионов $ фильм собрал 240,9 миллионов в мировом прокате.","При бюджете в 125 миллионов долларов фильм собрал 240,9 миллионов в мировом прокате."
"К 2005 году доходы студии ClubJenna составили 30 миллионов $ в год.","К 2005 году доходы студии ClubJenna составили 30 миллионов долларов в год."
"На производство фильма было потрачено 4 миллиона иракских динаров, что в то время было эквивалентно 15 миллионам $ США.","На производство фильма было потрачено 4 миллиона иракских динаров, что в то время было эквивалентно 15 миллионам долларов США."
