question,answer
"Кайны — опустевшая д. в Санчурском муниципальном округе Кировской области.","Кайны — опустевшая деревня в Санчурском муниципальном округе Кировской области."
"Известна с 1891 года как д. Мурлыковка (Кайны), в 1905 г здесь (починок Кайны) было дворов 24 и жителей 150, в 1926 (уже д. Кайны или Шунур) 29 и 144, в 1950 30 и 92, в 1989 оставалось 8 чел..","Известна с 1891 года как деревня Мурлыковка (Кайны), в 1905 году здесь (починок Кайны) было дворов 24 и жителей 150, в 1926 (уже деревня Кайны или Шунур) 29 и 144, в 1950 30 и 92, в 1989 оставалось 8 человек."
"С 2006 по 2019 г входила в состав Сметанинского сельского поселения.","С 2006 по 2019 год входила в состав Сметанинского сельского поселения."
"пост. нас. не было учтено как в 2002 г, так и в 2010.","Постоянное население не было учтено как в 2002 году, так и в 2010."
"сев. Америка: Канада и США.","Северная Америка: Канада и США."
"дл. самцов 3,12 ± 0,16 мм, шир. 1,64 ± 0,05 мм.","Длина самцов 3,12 ± 0,16 мм, ширина 1,64 ± 0,05 мм."
"Вид был впервые описан в 1824 г американским энтомологом Томасом Сэйем","Вид был впервые описан в 1824 году американским энтомологом Томасом Сэйем"
"Оймауыт (каз. Оймауыт) — с. в Байганинском районе Актюбинской области Казахстана.","Оймауыт (каз. Оймауыт) — село в Байганинском районе Актюбинской области Казахстана."
"адм. центр и единств. населённый пункт Жанажолского сельского округа.","Административный центр и единственный населённый пункт Жанажолского сельского округа."
"В 1999 г нас. села составляло 1102 чел. (576 мужчин и 526 женщин).","В 1999 году население села составляло 1102 человека (576 мужчин и 526 женщин)."
"По данным переписи 2009 года, в селе проживали 723 чел. (387 мужчин и 336 женщин).","По данным переписи 2009 года, в селе проживали 723 человека (387 мужчин и 336 женщин)."
"нас. составляет 309 чел. (на 31 дек. 2010 года).","Население составляет 309 человек (на 31 декабря 2010 года)."
"Занимает пл. 4,65 км².","Занимает площадь 4,65 км²."
"офиц. страница","Официальная страница"
"Декспантенол — органич. спирт, лекарственное средство, провитамин B5 (один из витаминов группы В), производное пантотеновой кислоты.","Декспантенол — органический спирт, лекарственное средство, провитамин B5 (один из витаминов группы В), производное пантотеновой кислоты."
"Декспантенол в организме превращается в пантотеновую кислоту, к-рый нужна для работы гормональной системы и участвует в обмене веществ.","Декспантенол в организме превращается в пантотеновую кислоту, которая нужна для работы гормональной системы и участвует в обмене веществ."
"Декспантенол переходит в организме в пантотеновую кислоту, к-рый является составной частью кофермента А и участвует в процессах ацетилирования, углеводном и жировом обмене, в синтезе ацетилхолина, кортикостероидов, порфиринов; стимулирует регенерацию кожи, слизистых оболочек, нормализует клеточный метаболизм, ускоряет митоз и увеличивает прочность коллагеновых волокон.","Декспантенол переходит в организме в пантотеновую кислоту, которая является составной частью кофермента А и участвует в процессах ацетилирования, углеводном и жировом обмене, в синтезе ацетилхолина, кортикостероидов, порфиринов; стимулирует регенерацию кожи, слизистых оболочек, нормализует клеточный метаболизм, ускоряет митоз и увеличивает прочность коллагеновых волокон."
"В медицине декспантенол используется для устранения сухости кожи и при нарушениях целостности кожных покровов (мелкие повреждения, ожоги (в т. числе солнечные), ссадины, буллёзный дерматит, абсцессы, фурункулы, трофические язвы голени, пролежни, трещины, асептические послеоперационные раны, плохо приживающиеся кожные трансплантаты.","В медицине декспантенол используется для устранения сухости кожи и при нарушениях целостности кожных покровов (мелкие повреждения, ожоги (в том числе солнечные), ссадины, буллёзный дерматит, абсцессы, фурункулы, трофические язвы голени, пролежни, трещины, асептические послеоперационные раны, плохо приживающиеся кожные трансплантаты."
"У декспантенола нет серьёзных противопоказаний в т. числе для беременных, он хорошо сочетается с другими биологически активными веществами.","У декспантенола нет серьёзных противопоказаний в том числе для беременных, он хорошо сочетается с другими биологически активными веществами."
"Геннадий Михайлович Голу́зин (11 (24) ноября 1906, Торжок — 17 января 1952, л.) — сов. математик, специалист в области теории функций комплексного переменного.","Геннадий Михайлович Голу́зин (11 (24) ноября 1906, Торжок — 17 января 1952, Ленинград) — советский математик, специалист в области теории функций комплексного переменного."
"род. 11 (24 ноября) 1906 года в Торжке в семье железнодорожного служащего.","Родился 11 (24 ноября) 1906 года в Торжке в семье железнодорожного служащего."
"В 1924 г поступил на математико-механический ф-т Ленинградского государственного университета.","В 1924 году поступил на математико-механический факультет Ленинградского государственного университета."
"В начале 1929 года защитил дипломную работу по теме «О некоторых оценках, относящихся к функциям, совершающим однолистное конформное преобразование круга», в т. же г работа была опубликована в журнале «Математический сб.».","В начале 1929 года защитил дипломную работу по теме «О некоторых оценках, относящихся к функциям, совершающим однолистное конформное преобразование круга», в том же году работа была опубликована в журнале «Математический сборник»."
"В 1929 г стал аспирантом и начал преподавать.","В 1929 году стал аспирантом и начал преподавать."
"В 1936 г защитил докторскую диссертацию, в 1938 г получил звание профессора и стал заведующим кафедрой теории функций комплексного переменного.","В 1936 году защитил докторскую диссертацию, в 1938 году получил звание профессора и стал заведующим кафедрой теории функций комплексного переменного."
"Одновременно работал в Ленинградском отделении Математического института АН СССР с момента его основания в 1940 г.","Одновременно работал в Ленинградском отделении Математического института АН СССР с момента его основания в 1940 году."
"В 1944 г вернулся в л..","В 1944 году вернулся в Ленинград."
"ум. 17 января 1952 года в Ленинграде.","Умер 17 января 1952 года в Ленинграде."
"Этот результат впосл. стал называться формулой Карлемана — Голузина — Крылова.","Этот результат впоследствии стал называться формулой Карлемана — Голузина — Крылова."
"Дальнейшие работы были почти исключительно посвящены геометрической теории функций, к-рый в те гг. находилась в стадии становления.","Дальнейшие работы были почти исключительно посвящены геометрической теории функций, которая в те годы находилась в стадии становления."
"В большинстве работ проводилось иссл. экстремальных свойств и различных оценок для некоторых классов комплексных аналитических функций.","В большинстве работ проводилось исследование экстремальных свойств и различных оценок для некоторых классов комплексных аналитических функций."
"впосл. этот метод получил развитие в работах Голузина.","Впоследствии этот метод получил развитие в работах Голузина."
"В 1984 г амер. математик Луи де Бранж полностью доказал гипотезу Бибербаха с использованием метода Лёвнера и одного из результатов Н. А. Лебедева и И. М. Милина — прямых учеников Голузина.","В 1984 году американский математик Луи де Бранж полностью доказал гипотезу Бибербаха с использованием метода Лёвнера и одного из результатов Н. А. Лебедева и И. М. Милина — прямых учеников Голузина."
"В нескольких работах, относящихся к 30-м годам, были получены одни из первых приложений метода полос Грёча, к-рый впосл. был положен в основу метода экстремальной метрики, нашедшего применение как в геометрической теории функций, так и в других областях математики.","В нескольких работах, относящихся к 30-м годам, были получены одни из первых приложений метода полос Грёча, который впоследствии был положен в основу метода экстремальной метрики, нашедшего применение как в геометрической теории функций, так и в других областях математики."
"В цикле работ 1946—1951 годов Голузин описал собств. вариант метода внутренних вариаций Шиффера, с помощью которого вывел неск. теорем искажения для однолистных функций, а также получил результаты в ряде проблем, изучение которых долгое время не представлялось возможным — вариационной проблеме Чеботарёва о континууме наименьшей ёмкости, задаче о максимуме","В цикле работ 1946—1951 годов Голузин описал собственный вариант метода внутренних вариаций Шиффера, с помощью которого вывел несколько теорем искажения для однолистных функций, а также получил результаты в ряде проблем, изучение которых долгое время не представлялось возможным — вариационной проблеме Чеботарёва о континууме наименьшей ёмкости, задаче о максимуме"
"неск. лет помимо основного курса комплексного анализа Голузин вёл в Ленинградском университете неск. спецкурсов и семинаров, посвящённых геометрической теории функций комплексного переменного.","Несколько лет помимо основного курса комплексного анализа Голузин вёл в Ленинградском университете несколько спецкурсов и семинаров, посвящённых геометрической теории функций комплексного переменного."
"Последние неск. лет жизни Голузин готовил к публикации монографию под названием «Геометрическая теория функций комплексного переменного».","Последние несколько лет жизни Голузин готовил к публикации монографию под названием «Геометрическая теория функций комплексного переменного»."
"Первое изд. этой книги вышло в 1952 г, уже после его смерти, второе, доп. — в 1966 г.","Первое издание этой книги вышло в 1952 году, уже после его смерти, второе, дополненное — в 1966 году."
"впосл. монография была переведена на англ и нем. языки и стала настольной книгой для нескольких поколений специалистов по математическому анализу.","Впоследствии монография была переведена на английский и немецкий языки и стала настольной книгой для нескольких поколений специалистов по математическому анализу."
"совр. состояние данной науки во многом является его заслугой.","Современное состояние данной науки во многом является его заслугой."
"Голузин, Г. М. О теоремах искажения и коэффициентах однолистных функций // Математический сб.. — 1946.","Голузин, Г. М. О теоремах искажения и коэффициентах однолистных функций // Математический сборник. — 1946."
"I // Математический сб..","I // Математический сборник."
"— М.—Л.: изд-во АН СССР, 1946.","— М.—Л.: Издательство АН СССР, 1946."
"II // Математический сб.. — 1947.","II // Математический сборник. — 1947."
"III // Математический сб.. — 1947.","III // Математический сборник. — 1947."
"Голузин, Г. М. Некоторые вопр. теории однолистных функций // Труды МИАН СССР.","Голузин, Г. М. Некоторые вопросы теории однолистных функций // Труды МИАН СССР."
"— М.—Л.: изд-во АН СССР, 1949.","— М.—Л.: Издательство АН СССР, 1949."
"1948 — Сталинская премия второй степени за работы по теории функций комплексного переменного, изложенные в статьях: «Метод вариаций в конформном отображении», «О теоремах искажения и коэффициентах однолистных функций», опубликованных в 1946—1947 гг.","1948 — Сталинская премия второй степени за работы по теории функций комплексного переменного, изложенные в статьях: «Метод вариаций в конформном отображении», «О теоремах искажения и коэффициентах однолистных функций», опубликованных в 1946—1947 годах."
"Елена (1936—2021) — к. фм. н., науч. сотр. лаборатории математического анализа ПОМИ РАН.","Елена (1936—2021) — кандидат физико-математических наук, научный сотрудник лаборатории математического анализа ПОМИ РАН."
"Из воспоминаний Г. В. Кузьминой:В студенческие гг. мне часто приходилось видеть Геннадия Михайловича, прогуливающегося со своими детьми.","Из воспоминаний Г. В. Кузьминой:В студенческие годы мне часто приходилось видеть Геннадия Михайловича, прогуливающегося со своими детьми."
"Как вспоминают его дочери, он учил их играть в шахматы и придуманные им различные игры, приводил их в изв. в те гг. магазин в начале Невского проспекта, в котором имелся б. выбор географических карт, глобусов и других наглядных пособий по географии.","Как вспоминают его дочери, он учил их играть в шахматы и придуманные им различные игры, приводил их в известный в те годы магазин в начале Невского проспекта, в котором имелся большой выбор географических карт, глобусов и других наглядных пособий по географии."
"1936—1942, с 1944 — Литейный просп., дом 38.","1936—1942, с 1944 — Литейный проспект, дом 38."
"Кузьмина, Г. В. К столетию со дня рождения Геннадия Михайловича Голузина // зап. научных семинаров ПОМИ.","Кузьмина, Г. В. К столетию со дня рождения Геннадия Михайловича Голузина // Записки научных семинаров ПОМИ."
"Кузьмина, Г. В. Памяти Геннадия Михайловича Голузина (1906—1952) // зап. научных семинаров ПОМИ.","Кузьмина, Г. В. Памяти Геннадия Михайловича Голузина (1906—1952) // Записки научных семинаров ПОМИ."
"Городское поселение Оболенск — упразднённое муницип. образование бывшего Серпуховского муниципального района Московской области.","Городское поселение Оболенск — упразднённое муниципальное образование бывшего Серпуховского муниципального района Московской области."
"пл. территории 5,15 км² (515 га).","Площадь территории 5,15 км² (515 га)."
"В состав городского поселения входят пос. Оболенск, деревни Станки и Калугино упразднённого Калиновского сельского округа.","В состав городского поселения входят посёлок Оболенск, деревни Станки и Калугино упразднённого Калиновского сельского округа."
"пос. Оболенск — крупнейший населённый пункт в городском поселении, он был основан в 1975 г, назв. дали по средневековому городу Оболенску.","Посёлок Оболенск — крупнейший населённый пункт в городском поселении, он был основан в 1975 году, название дали по средневековому городу Оболенску."
"Законом Московской области № 220/2018-ОЗ от 14 дек. 2018 года, поселение было упразднено и вместе с другими поселениями Серпуховского муниципального района объединено с городским округом Серпухова в единое муницип. образование гор. округ Серпухов.","Законом Московской области № 220/2018-ОЗ от 14 декабря 2018 года, поселение было упразднено и вместе с другими поселениями Серпуховского муниципального района объединено с городским округом Серпухова в единое муниципальное образование городской округ Серпухов."
"Градообразующим предприятием является гос. науч. центр прикл. микробиологии и биотехнологии.","Градообразующим предприятием является Государственный научный центр прикладной микробиологии и биотехнологии."
"В соответствии со сметой доходов и расходов городского поселения Оболенск, доход в 2008 составляет 8769,2 тыс. руб., сумма расходов — аналогична.","В соответствии со сметой доходов и расходов городского поселения Оболенск, доход в 2008 составляет 8769,2 тыс. рублей, сумма расходов — аналогична."
"№ 397 «Оболенск — м.»","№ 397 «Оболенск — Москва»"
"изд-во «Малы́ш» — сов. и рос. изд-во, созд. в 1963 г из издательства «дет. мир».","Издательство «Малы́ш» — советское и российское издательство, созданное в 1963 году из издательства «Детский мир»."
"изд-во «Малыш» Государственного Комитета Совета Министров РСФСР по печати было создано постановлением Бюро ЦК КПСС по РСФСР и Совета министров РСФСР от 16 октября 1963 года в Москве из издательства «дет. мир», основанного по распоряжению Совета Министров РСФСР от 24 мая 1957 года на базе бывшего издательства Министерства местной промышленности «Росгизместпром».","Издательство «Малыш» Государственного Комитета Совета Министров РСФСР по печати было создано постановлением Бюро ЦК КПСС по РСФСР и Совета министров РСФСР от 16 октября 1963 года в Москве из издательства «Детский мир», основанного по распоряжению Совета Министров РСФСР от 24 мая 1957 года на базе бывшего издательства Министерства местной промышленности «Росгизместпром»."
