question,answer
"С 15 ноября 1955 по 9 августа 2006 года в наклонном ходе эксплуатировались эскалаторы типа ЭМ-5 с высотой подъёма ≈ 50 м.","С 15 ноября 1955 по 9 августа 2006 года в наклонном ходе эксплуатировались эскалаторы типа ЭМ-5 с высотой подъёма ≈ 50 метров."
"дл. перегона «Владимирская» — «пл. Восстания» — 848 м.","Длина перегона «Владимирская» — «Площадь Восстания» — 848 метров."
"Кутузово расположено примерно в 12 км на юго-восток от Домодедово, рядом с деревней протекает р. Гнилуша, выс. центра селения над уровнем моря — 149 м.","Кутузово расположено примерно в 12 километрах на юго-восток от Домодедово, рядом с деревней протекает река Гнилуша, высота центра селения над уровнем моря — 149 м."
"р. Тамбо берёт нач. в горах Боуэн, ниже горы Лейнстер в викторианских Альпах, части Большого водораздельного хребта, примерно в 20 км к востоку от Бенамбры.","Река Тамбо берёт начало в горах Боуэн, ниже горы Лейнстер в викторианских Альпах, части Большого водораздельного хребта, примерно в 20 километрах к востоку от Бенамбры."
"р. спускается 1060 м (3480 футов) по своему 186-километровому (116 миль) водотоку.","Река спускается 1060 метров (3480 футов) по своему 186-километровому (116 миль) водотоку."
"Вокруг Бинди речной канал составляет ок. 5 м (16 футов) в ширину.","Вокруг Бинди речной канал составляет около 5 метров (16 футов) в ширину."
"У Свифт Крик и области Энсэй р. имеет ширину до 12 м (39 футов), с глубокими бассейнами до 140 см (55 дюймов) с основой из щебня и гравия.","У Свифт Крик и области Энсэй река имеет ширину до 12 метров (39 футов), с глубокими бассейнами до 140 сантиметров (55 дюймов) с основой из щебня и гравия."
"В лесных участках между Энсэйем и Братэном шир. канала составляет до 20 м (66 футов), с дном из коренных пород, валунов, щебня, песка и грязи.","В лесных участках между Энсэйем и Братэном ширина канала составляет до 20 метров (66 футов), с дном из коренных пород, валунов, щебня, песка и грязи."
"Между Братэном и Тамбо Аппер есть обширная седиментация с шириной канала, превышающей 25 м (82 фута), но летняя глубина, как правило, менее 50 см (20 дюймов).","Между Братэном и Тамбо Аппер есть обширная седиментация с шириной канала, превышающей 25 метров (82 фута), но летняя глубина, как правило, менее 50 сантиметров (20 дюймов)."
"В центральной части реки Тамбо вокруг Энсэй и Свифтс Крик среднегодовое кол-во осадков составляет 500—700 мм (20-28 дюймов), а в нижней части бассейна ок. Братэна-700-1000 мм (28-39 дюймов).","В центральной части реки Тамбо вокруг Энсэй и Свифтс Крик среднегодовое количество осадков составляет 500—700 миллиметров (20-28 дюймов), а в нижней части бассейна около Братэна-700-1000 миллиметров (28-39 дюймов)."
"По словам Альфреда Ховитта, граница между этими двумя странами проходила вокруг Тонгио, примерно в 10 км к северу от современного Свифтс Крик.","По словам Альфреда Ховитта, граница между этими двумя странами проходила вокруг Тонгио, примерно в 10 километрах к северу от современного Свифтс Крик."
