question,answer
"д. находится в северо-восточной части области, в подзоне южной тайги, на левом берегу реки Касти, при автодороге 78Н-0224, на расстоянии примерно 22 км (по прямой) к юго-востоку от города Данилова, административного центра района.","Деревня находится в северо-восточной части области, в подзоне южной тайги, на левом берегу реки Касти, при автодороге 78Н-0224, на расстоянии примерно 22 километров (по прямой) к юго-востоку от города Данилова, административного центра района."
"Годовое кол-во атмосферных осадков составляет ок. 646 мм, из которых большая ч. (ок. 70 %) выпадает в тёплый период.","Годовое количество атмосферных осадков составляет около 646 миллиметров, из которых большая часть (около 70 %) выпадает в тёплый период."
"Морские рептилии были представлены плезиозаврами (в т. числе плиозавридами и эласмозавридами), морскими крокодилами (вкл. род Teleorhinus, представители которого достигали в длину семи м) и черепахами.","Морские рептилии были представлены плезиозаврами (в том числе плиозавридами и эласмозавридами), морскими крокодилами (включая род Teleorhinus, представители которого достигали в длину семи метров) и черепахами."
"Согласно данным бюро переписи США, пл. города составляет ок. 17,5 квадратных км, практически полностью занятых сушей.","Согласно данным бюро переписи США, площадь города составляет около 17,5 квадратных километров, практически полностью занятых сушей."
"Аэропорт находится примерно в 45 км к западу от Лампасаса.","Аэропорт находится примерно в 45 километрах к западу от Лампасаса."
"Перепад высот незначительны; средняя выс. округа — ок. 310 м над уровнем моря.","Перепад высот незначительны; средняя высота округа — около 310 метров над уровнем моря."
"Через территорию сельского округа с востока на з. проходит ок. 10 км автодороги областного значения — КС-4 «Жолымбет — Шортанды — Пригородное».","Через территорию сельского округа с востока на запад проходит около 10 километров автодороги областного значения — КС-4 «Жолымбет — Шортанды — Пригородное»."
"с. находится в восточной части Алтайского края, преимущественно на правом берегу реки Чумыш, на расстоянии примерно 7 км (по прямой) к юго-западу от села Ельцовка, административного центра района.","Село находится в восточной части Алтайского края, преимущественно на правом берегу реки Чумыш, на расстоянии примерно 7 километров (по прямой) к юго-западу от села Ельцовка, административного центра района."
"Абсолютная выс. — 207 м над уровнем моря.","Абсолютная высота — 207 метров над уровнем моря."
"Джон К Кёльш (англ. John Kelvin Koelsch, 22 дек. 1923, Лондон — 16 октября 1951, в корейском плену) — пилот вертолёта, лейтенант ВМС США.","Джон Кельвин Кёльш (англ. John Kelvin Koelsch, 22 декабря 1923, Лондон — 16 октября 1951, в корейском плену) — пилот вертолёта, лейтенант ВМС США."
"Часто он выставлял один и тот же кадр неск. раз, во многих случаях поворачивая камеру на 90 или 180 °.","Часто он выставлял один и тот же кадр несколько раз, во многих случаях поворачивая камеру на 90 или 180 градусов."
