question,answer
"По состоянию на 2022 год его состояние оценивается в 23,4 миллиарда $.","По состоянию на 2022 год его состояние оценивается в 23,4 миллиарда долларов."
"Работал преподавателем английского языка и международной торговли в Ханчжоуском институте электронной промышленности, зарабатывая по 12—15 $ в месяц.","Работал преподавателем английского языка и международной торговли в Ханчжоуском институте электронной промышленности, зарабатывая по 12—15 долларов в месяц."
"Поскольку попытки найти что-нибудь о Китае через поисковую систему Yahoo! показали, что нужная информация отсутствовала полностью, Ма, до этого совершенно не знакомый с компьютером, решил открыть свою интернет-компанию и при помощи жены и друга собрал необходимый стартовый капитал в две тысячи $.","Поскольку попытки найти что-нибудь о Китае через поисковую систему Yahoo! показали, что нужная информация отсутствовала полностью, Ма, до этого совершенно не знакомый с компьютером, решил открыть свою интернет-компанию и при помощи жены и друга собрал необходимый стартовый капитал в две тысячи долларов."
"Через три года выручка фирмы составила 5 млн ¥ (около 800 тысяч $).","Через три года выручка фирмы составила 5 млн юаней (около 800 тысяч долларов)."
"Для основания фирмы потребовалось 60 тысяч $.","Для основания фирмы потребовалось 60 тысяч долларов."
"В период с октября 1999 по январь 2000 года Alibaba получила венчурные инвестиции общей суммой 25 млн $, но продолжала нести убытки.","В период с октября 1999 по январь 2000 года Alibaba получила венчурные инвестиции общей суммой 25 млн долларов, но продолжала нести убытки."
"В 2002 году прибыль компании составила один $, после чего начала расти высокими темпами.","В 2002 году прибыль компании составила один доллар, после чего начала расти высокими темпами."
"Вместо этого Ма заручился поддержкой основателя Yahoo, Джерри Янга, который инвестировал в Alibaba 1 млрд $.","Вместо этого Ма заручился поддержкой основателя Yahoo, Джерри Янга, который инвестировал в Alibaba 1 млрд долларов."
"В ноябре 2012 года выручка «Alibaba» превысила 1 трлн ¥.","В ноябре 2012 года выручка «Alibaba» превысила 1 трлн юаней."
"В официальном пресс-релизе компании говорилось, что она планирует привлечь 1 млрд $, но реальные инвестиции значительно превысили эти ожидания: Alibaba привлекла 25 млрд $, став самым успешным IPO в истории.","В официальном пресс-релизе компании говорилось, что она планирует привлечь 1 млрд долларов, но реальные инвестиции значительно превысили эти ожидания: Alibaba привлекла 25 млрд долларов, став самым успешным IPO в истории."
"Фильм «Горец» не имел большого успеха при первом театральном релизе, собрав по всему миру более 12 миллионов $ при производственном бюджете в 19 миллионов $, и получил смешанные отзывы.","Фильм «Горец» не имел большого успеха при первом театральном релизе, собрав по всему миру более 12 миллионов долларов при производственном бюджете в 19 миллионов долларов, и получил смешанные отзывы."
"За оригинальный сценарий на тему о бессмертных воинах автору Грегори Вайдену было выплачено 200 тысяч $, Шону Коннери за одну неделю съёмок выплатили три с половиной миллиона, Курт Рассел и Микки Рурк, которых режиссёр видел в качестве кандидатов на главную роль, в свою очередь отказались от участия в съёмках из-за низкого бюджета.","За оригинальный сценарий на тему о бессмертных воинах автору Грегори Вайдену было выплачено 200 тысяч долларов, Шону Коннери за одну неделю съёмок выплатили три с половиной миллиона, Курт Рассел и Микки Рурк, которых режиссёр видел в качестве кандидатов на главную роль, в свою очередь отказались от участия в съёмках из-за низкого бюджета."
