question,answer
"Так, 9 ноября 1939 года Л. Корниец подписал постановление СНК № 1295 «Об ассигновании средств на проведение экскурсии делегации Западной Украины по областям УССР», согласно которой выделялось 170 тыс. ₽ Харьковскому, Днепропетровскому, Одесскому, Запорожскому облисполкомам и Киевскому горсовету для «надлежащего ознакомления западноукраинских делегатов с преимуществами советского образа жизни».","Так, 9 ноября 1939 года Л. Корниец подписал постановление СНК № 1295 «Об ассигновании средств на проведение экскурсии делегации Западной Украины по областям УССР», согласно которой выделялось 170 тыс. рублей Харьковскому, Днепропетровскому, Одесскому, Запорожскому облисполкомам и Киевскому горсовету для «надлежащего ознакомления западноукраинских делегатов с преимуществами советского образа жизни»."
"10 декабря того же года Управлению делами Совнаркома было ассигновано ещё 120 тыс. ₽ «на затраты по Западной Украине».","10 декабря того же года Управлению делами Совнаркома было ассигновано ещё 120 тыс. рублей «на затраты по Западной Украине»."
"Так, 19 декабря 1939 года правительственным решением выделялось 207 тыс. ₽ «в уплату стоимости литературы, портретов и брошюр, изготовленных Госполитиздатом при Совете Народных Комиссаров УССР и присланных на территорию бывшей Западной Украины».","Так, 19 декабря 1939 года правительственным решением выделялось 207 тыс. рублей «в уплату стоимости литературы, портретов и брошюр, изготовленных Госполитиздатом при Совете Народных Комиссаров УССР и присланных на территорию бывшей Западной Украины»."
"В тот же день постановлением СНК 10 тыс. ₽ направлялось на «оплату стоимости экспозиционных материалов, изготовленных для отдела Сталинской Конституции Центрального исторического музея и отправленных в г. Львов».","В тот же день постановлением СНК 10 тыс. рублей направлялось на «оплату стоимости экспозиционных материалов, изготовленных для отдела Сталинской Конституции Центрального исторического музея и отправленных в г. Львов»."
"регистрационный №;","регистрационный номер;"
"В рукописном варианте вертикальную черту изображали в виде хвостика у буквы C, как в одном из вариантов написания греческой буквы Σ — ↅ.","В рукописном варианте вертикальную черту изображали в виде хвостика у буквы C, как в одном из вариантов написания греческой буквы сигма — ↅ."
"Фильм Троя собрал более 497 миллионов $ по всему миру, став 60-м самым кассовым фильмом на момент выхода.","Фильм Троя собрал более 497 миллионов долларов по всему миру, став 60-м самым кассовым фильмом на момент выхода."
"Фильм был номинирован на премию «Оскар» на 77-й церемонии вручения за лучший дизайн костюмов, собрал около 500 миллионов $ в общемировом прокате, что сделало его восьмым самым кассовым фильмом 2004 года и 60-м за всю историю на тот момент.","Фильм был номинирован на премию «Оскар» на 77-й церемонии вручения за лучший дизайн костюмов, собрал около 500 миллионов долларов в общемировом прокате, что сделало его восьмым самым кассовым фильмом 2004 года и 60-м за всю историю на тот момент."
"Несмотря на то что фильм был выдвинут в 4 номинациях на премию «Золотая малина», он собрал 30 млн $, окупив 15-миллионный бюджет.","Несмотря на то что фильм был выдвинут в 4 номинациях на премию «Золотая малина», он собрал 30 млн долларов, окупив 15-миллионный бюджет."
"Саундтрек к фильму и все музыкальные № исполнил канадский гитарист и блюзмен Джефф Хили.","Саундтрек к фильму и все музыкальные номера исполнил канадский гитарист и блюзмен Джефф Хили."
"В июле 1894 года, по состоянию здоровья и в связи с принятием нового устава Академии художеств, вышел в отставку; с августа этого же года и до конца жизни Боку была назначена пенсия в размере 1800 ₽ в год.","В июле 1894 года, по состоянию здоровья и в связи с принятием нового устава Академии художеств, вышел в отставку; с августа этого же года и до конца жизни Боку была назначена пенсия в размере 1800 рублей в год."
"Основана 15 августа 1903 под названием Germania-Brauerei (пивоварня Германия) с оплаченным капиталом 400 000 мексиканских серебряных $, разделённый на 4000 акций по 100 $ каждая.","Основана 15 августа 1903 под названием Germania-Brauerei (пивоварня Германия) с оплаченным капиталом 400 000 мексиканских серебряных долларов, разделённый на 4000 акций по 100 долларов каждая."
"23 января 2009 Anheuser-Busch InBev огласила продажу 19,9 % акций компании Asahi Breweries за 667 миллионов $.","23 января 2009 Anheuser-Busch InBev огласила продажу 19,9 % акций компании Asahi Breweries за 667 миллионов долларов."
"9 мая 2009 Anheuser-Busch InBev продал их китайскому монополисту Ченю Фашу за 235 миллионов $.","9 мая 2009 Anheuser-Busch InBev продал их китайскому монополисту Ченю Фашу за 235 миллионов долларов."
"В её рамках готовится федеральная программа с выделением 90 млрд ₽.","В её рамках готовится федеральная программа с выделением 90 млрд рублей."
"По данным правительства РФ, объём рынка ИИ в 2022 году в РФ при росте 18 % составил 650 млрд ₽.","По данным правительства РФ, объём рынка ИИ в 2022 году в РФ при росте 18 % составил 650 млрд рублей."
"На разработки в области ИИ в 2024 году правительство РФ запланировало выделить около 5,2 млрд ₽.","На разработки в области ИИ в 2024 году правительство РФ запланировало выделить около 5,2 млрд рублей."
"По оценке вице-премьера РФ Дмитрия Чернышенко, к 2025 году внедрение технологий ИИ принесёт компаниям РФ около 1 трлн ₽, а дополнительный прирост ВВП при максимальных инвестициях в эту отрасль через пять лет может составить 11 трлн ₽.","По оценке вице-премьера РФ Дмитрия Чернышенко, к 2025 году внедрение технологий ИИ принесёт компаниям РФ около 1 трлн рублей, а дополнительный прирост ВВП при максимальных инвестициях в эту отрасль через пять лет может составить 11 трлн рублей."
"Т. 3. — М.: Канон +, 2020.","Т. 3. — М.: Канон плюс, 2020."
"Т. 3. — М.: Канон +, 2020.","Т. 3. — М.: Канон плюс, 2020."
"Мезотрон же получил название мю-мезон (от греческой буквы «μ»).","Мезотрон же получил название мю-мезон (от греческой буквы «мю»)."
"Вместе с электроном и тау-частицей мюон относится к семейству лептонов: его лептонное число = 1, а барионное — нулю.","Вместе с электроном и тау-частицей мюон относится к семейству лептонов: его лептонное число равно 1, а барионное — нулю."
"Такой распад является одной из форм β-распада.","Такой распад является одной из форм бета-распада."
"Нейтральные мезоны могут распадаться на пару мюон-антимюон, нередко с образованием γ-кванта или нейтрального пиона.","Нейтральные мезоны могут распадаться на пару мюон-антимюон, нередко с образованием гамма-кванта или нейтрального пиона."
"Главный - этой методики заключается в том, что получение контрастного изображения может потребовать много времени (дни или даже недели), потому что природный мюонный фон является невысоким.","Главный минус этой методики заключается в том, что получение контрастного изображения может потребовать много времени (дни или даже недели), потому что природный мюонный фон является невысоким."
