question,answer
"В 2006 году Ричардсон был переизбран на второй срок, набрав 69 % голосов.","В 2006 году Ричардсон был переизбран на второй срок, набрав 69 процентов голосов."
"Всего Ричардсон смог собрать 20 миллионов $ пожертвований.","Всего Ричардсон смог собрать 20 миллионов долларов пожертвований."
"Несмотря на его выход из кампании, выдвижение Ричардсона все = подняло вопрос о том, может ли стать президентом США человек, который родился в США, но детство провел за границей.","Несмотря на его выход из кампании, выдвижение Ричардсона все равно подняло вопрос о том, может ли стать президентом США человек, который родился в США, но детство провел за границей."
"Президент Сильвио Берлускони отдает футболиста в распоряжение Фабио Капелло; чистый годовой доход Лентини составляет 4 млрд ₺.","Президент Сильвио Берлускони отдает футболиста в распоряжение Фабио Капелло; чистый годовой доход Лентини составляет 4 млрд лир."
"В марте 2019 года Морс подписал четырёхлетний контракт с клубом «Баффало Биллс», годовая зарплата игрока составила 11 млн $.","В марте 2019 года Морс подписал четырёхлетний контракт с клубом «Баффало Биллс», годовая зарплата игрока составила 11 млн долларов."
"При общем бюджете фильма «Эбигейл» почти 155 млн ₽ (Минкульт инвестировал в съёмки фильма 40 млн ₽) картина собрала в российском прокате лишь 104,7 млн ₽ (посмотрели 479 тысяч человек).","При общем бюджете фильма «Эбигейл» почти 155 млн рублей (Минкульт инвестировал в съёмки фильма 40 млн рублей) картина собрала в российском прокате лишь 104,7 млн рублей (посмотрели 479 тысяч человек)."
"В январе 2020 года Фонд кино обратился в Арбитражный суд Москвы с иском на 45 млн ₽ против кинокомпании KD Studios, которая не вернула деньги, выделенные ей на съёмки фильма «Эбигейл».","В январе 2020 года Фонд кино обратился в Арбитражный суд Москвы с иском на 45 млн рублей против кинокомпании KD Studios, которая не вернула деньги, выделенные ей на съёмки фильма «Эбигейл»."
"Позже преступников задержали с поличным и приговорили их к длительному тюремному заключению, + суд обязал преступников выплатить компенсацию Лауре Сапате в размере 5 миллионов $.","Позже преступников задержали с поличным и приговорили их к длительному тюремному заключению, плюс суд обязал преступников выплатить компенсацию Лауре Сапате в размере 5 миллионов долларов."
"В тоарском веке ранней юры около 183 млн лет назад в результате извержений вулканов в атмосферу попало много углекислого газа, среднегодовая температура Земли выросла на 5 °, увеличилось количество осадков и смытых в океан минеральных веществ.","В тоарском веке ранней юры около 183 млн лет назад в результате извержений вулканов в атмосферу попало много углекислого газа, среднегодовая температура Земли выросла на 5 градусов, увеличилось количество осадков и смытых в океан минеральных веществ."
"Управляемый гонщиком элемент переднего антикрыла, угол атаки которого может изменяться на шесть °.","Управляемый гонщиком элемент переднего антикрыла, угол атаки которого может изменяться на шесть градусов."
