question,answer
"Дерезня-Загроды (пол. Dereźnia-Zagrody) — д. в Билгорайском повете Люблинского воеводства Польши.","Дерезня-Загроды (пол. Dereźnia-Zagrody) — деревня в Билгорайском повете Люблинского воеводства Польши."
"По данным переписи 2011 года, в деревне проживало 494 чел.","По данным переписи 2011 года, в деревне проживало 494 человека."
"Абсолютная выс. — 201 м над уровнем моря.","Абсолютная высота — 201 метр над уровнем моря."
"К востоку от населённого пункта проходит регион. автодорога 835, к северу — регион. автодорога 858.","К востоку от населённого пункта проходит региональная автодорога 835, к северу — региональная автодорога 858."
"Как отд. д., она функционирует с XIX вв.","Как отдельная деревня, она функционирует с XIX века."
"В период с 1975 по 1998 гг. Дерезня-Загроды входила в состав Замойского воеводства.","В период с 1975 по 1998 годы Дерезня-Загроды входила в состав Замойского воеводства."
"Никольское — с. в Неклиновском районе Ростовской области.","Никольское — село в Неклиновском районе Ростовской области."
"центр.","Центральная."
"Никольское (с.) (неопр.) (недоступная ссылка — история).","Никольское (село) (неопр.) (недоступная ссылка — история)."
"Це́рковь во и́мя святи́теля Никола́я (Нико́льская це́рковь) — православный храм Знаменского женского монастыря в городе Ельце Липецкой области, постр. в 2006 г.","Це́рковь во и́мя святи́теля Никола́я (Нико́льская це́рковь) — православный храм Знаменского женского монастыря в городе Ельце Липецкой области, построенный в 2006 году."
"В 1628—1629 гг, по благословению игумена Троицкого монастыря Моисея монахом Савватием на северной окраине города, на так называемой «Каменной горе», был основан иноческий скит с деревянной церковью во имя Пресвятой Богородицы и её честной Курской иконы «Знамения».","В 1628—1629 годах, по благословению игумена Троицкого монастыря Моисея монахом Савватием на северной окраине города, на так называемой «Каменной горе», был основан иноческий скит с деревянной церковью во имя Пресвятой Богородицы и её честной Курской иконы «Знамения»."
"В 1657 г инок Савватий выстроил в ските вторую деревянную церковь, во имя святителя Николая Чудотворца.","В 1657 году инок Савватий выстроил в ските вторую деревянную церковь, во имя святителя Николая Чудотворца."
"В 1683 г Богородицкий скит вместе с Никольской церковью был занят монахинями новоучреждённого женского монастыря.","В 1683 году Богородицкий скит вместе с Никольской церковью был занят монахинями новоучреждённого женского монастыря."
"В 1764 г, в связи с учреждением духовных штатов жен. мон. был упразднён, но инокини его не покинули, в храме Николая Чудотворца продолжились службы.","В 1764 году, в связи с учреждением духовных штатов женский монастырь был упразднён, но инокини его не покинули, в храме Николая Чудотворца продолжились службы."
"Во время большого пожара в Ельце 1769 года все монастырские постройки, в т. числе Никольская церковь, сгорели.","Во время большого пожара в Ельце 1769 года все монастырские постройки, в том числе Никольская церковь, сгорели."
"В 1770 г силами монахинь был построен новый дерев. храм, освящённый во имя иконы Божией Матери «Знамение» — в конце XVIII вв. на его месте начал строиться Знаменский собор, разрушенный в сов. время.","В 1770 году силами монахинь был построен новый деревянный храм, освящённый во имя иконы Божией Матери «Знамение» — в конце XVIII века на его месте начал строиться Знаменский собор, разрушенный в советское время."
