question,answer
"Халтуринский проезд проходит от Халтуринской улицы до Открытого шоссе, поворачивая на 90 ° (буквой «Г»); с запада к нему примыкает, заканчиваясь, Просторная улица.","Халтуринский проезд проходит от Халтуринской улицы до Открытого шоссе, поворачивая на 90 градусов (буквой «Г»); с запада к нему примыкает, заканчиваясь, Просторная улица."
"Сейчас бюджет избирательной кампании составляет 502 млн ₽.","Сейчас бюджет избирательной кампании составляет 502 млн рублей."
"По подсчетам Мособлизбиркома, отказ от видеокамер позволит сэкономить 115 млн ₽.","По подсчетам Мособлизбиркома, отказ от видеокамер позволит сэкономить 115 млн рублей."
"Планировалось, что участки будут обеспечены 3500 КОИБами на сумму 50 млн ₽, но оказалось, что их производство приостановлено и Мособлизбирком успел получить только 450 комплексов за 7 млн.","Планировалось, что участки будут обеспечены 3500 КОИБами на сумму 50 млн рублей, но оказалось, что их производство приостановлено и Мособлизбирком успел получить только 450 комплексов за 7 млн."
"Его отличает то, что он представляет собой чисто функциональный язык программирования, реализующий типизированное λ-исчисление, его синтаксис приближён к традиционной математической нотации.","Его отличает то, что он представляет собой чисто функциональный язык программирования, реализующий типизированное лямбда-исчисление, его синтаксис приближён к традиционной математической нотации."
"Исключения составляют пробка и натуральный паркет: с данными напольными покрытиями необходимо ограничивать нагрев полов до 28 °, либо использовать специальный инженерный паркет, который предназначен для работы с теплыми полами.","Исключения составляют пробка и натуральный паркет: с данными напольными покрытиями необходимо ограничивать нагрев полов до 28 градусов, либо использовать специальный инженерный паркет, который предназначен для работы с теплыми полами."
"К 12 ноября британский астроном Брайан Марсден на основании двухдневных наблюдений рассчитал параболическую орбиту, согласно которой комета должна была пройти перигелий 8 октября на расстоянии 2,05 а. е. от Солнца под углом в 20 ° °.","К 12 ноября британский астроном Брайан Марсден на основании двухдневных наблюдений рассчитал параболическую орбиту, согласно которой комета должна была пройти перигелий 8 октября на расстоянии 2,05 а. е. от Солнца под углом в 20 ° градусов."
"Мировые сборы семейного фильма по всему миру составили почти 150 млн $, а его продолжения — 118 млн.","Мировые сборы семейного фильма по всему миру составили почти 150 млн долларов, а его продолжения — 118 млн."
"В рамках развития портала MSDN корпорация Microsoft в конце 1990-х провела исследования, которые показали, что 96 % членов сообщества MSDN обладают доступом к Интернету со скоростью, соответствующей T1 или выше.","В рамках развития портала MSDN корпорация Microsoft в конце 1990-х провела исследования, которые показали, что 96 процентов членов сообщества MSDN обладают доступом к Интернету со скоростью, соответствующей T1 или выше."
"25 марта 2014 года было запущено закрытое β-тестирование для устройств iOS.","25 марта 2014 года было запущено закрытое бета-тестирование для устройств iOS."
"В 2017 году в Минске был запущен второй турнир, за победу в котором давались призы: 15 тысяч $ и внутриигровые предметы.","В 2017 году в Минске был запущен второй турнир, за победу в котором давались призы: 15 тысяч долларов и внутриигровые предметы."
