question,answer
"Потом уделом стала называться доля, по разделу доставшаяся каждому наследнику, всё =, состояла ли она из движимого или недвижимого имущества.","Потом уделом стала называться доля, по разделу доставшаяся каждому наследнику, всё равно, состояла ли она из движимого или недвижимого имущества."
"Годовой объём розничной торговли составляет около 15 миллионов ₽.","Годовой объём розничной торговли составляет около 15 миллионов рублей."
"В 2015 году для страховых компаний существенно подорожало перестрахование из-за девальвации ₽.","В 2015 году для страховых компаний существенно подорожало перестрахование из-за девальвации рубля."
"Причём в качестве одного из аргументов в пользу такого объединения Бурыкина на полном серьёзе говорила о снижении стоимости страхования для конечного покупателя из-за экономии на бланке полиса, притом, что себестоимость полиса ОСАГО составляет около 5 ₽.","Причём в качестве одного из аргументов в пользу такого объединения Бурыкина на полном серьёзе говорила о снижении стоимости страхования для конечного покупателя из-за экономии на бланке полиса, притом, что себестоимость полиса ОСАГО составляет около 5 рублей."
"Когда самец и самка выполняют эту роль совместно, их называют α-парой.","Когда самец и самка выполняют эту роль совместно, их называют альфа-парой."
"У некоторых видов размножаются только альфы или α-пары.","У некоторых видов размножаются только альфы или альфа-пары."
"Перемена α-статуса иногда происходит в результате драки между доминирующим и подчинённым животным.","Перемена альфа-статуса иногда происходит в результате драки между доминирующим и подчинённым животным."
"В исследованиях по этологии социальным животным в иерархическом сообществе иногда присваиваются и другие градации, такие как β, γ и ω.","В исследованиях по этологии социальным животным в иерархическом сообществе иногда присваиваются и другие градации, такие как бета, гамма и омега."
"Бета-особи часто выступают в качестве заместителя альфы, и, если α умирает или иным образом теряет свой статус, на их место становятся беты.","Бета-особи часто выступают в качестве заместителя альфы, и, если альфа умирает или иным образом теряет свой статус, на их место становятся беты."
"У некоторых видов птиц самцы спариваются по двое: β-самец помогает α-самцу.","У некоторых видов птиц самцы спариваются по двое: бета-самец помогает альфа-самцу."
"Обычные шимпанзе демонстрируют уважение к α-сообществу посредством ритуальных поз и жестов, таких как демонстрация спины, приседания, поклоны или покачивания . Шимпанзе более низкого ранга, чем самец α, предложат свою руку, хрюкнув самцу α в знак подчинения.","Обычные шимпанзе демонстрируют уважение к альфа-сообществу посредством ритуальных поз и жестов, таких как демонстрация спины, приседания, поклоны или покачивания . Шимпанзе более низкого ранга, чем самец альфа, предложат свою руку, хрюкнув самцу альфа в знак подчинения."
"Если самец-бонобо хочет достичь α-статуса, он должен быть принят альфа-самкой.","Если самец-бонобо хочет достичь альфа-статуса, он должен быть принят альфа-самкой."
"Исследование также пришло к выводу, что доступ к спариванию снижается у горилл менее резко, чем у других видов приматов: α, β и γ демонстрируют более схожий успех в спариваниях, чем предполагалось ранее.","Исследование также пришло к выводу, что доступ к спариванию снижается у горилл менее резко, чем у других видов приматов: альфа, бета и гамма демонстрируют более схожий успех в спариваниях, чем предполагалось ранее."
"В прошлом преобладающая точка зрения на стаи серых волков состояла в том, что в них происходит постоянная борьба за доминирование, при этом доминирующие особи упоминались как «α» самец и самка, а подчинённые — как «β» и «ω».","В прошлом преобладающая точка зрения на стаи серых волков состояла в том, что в них происходит постоянная борьба за доминирование, при этом доминирующие особи упоминались как «альфа» самец и самка, а подчинённые — как «бета» и «омега»."
"Дэвид Мех писал, что в такой стае использование термина «α» для описания родительской пары «не более уместно, чем называть альфой человека-родителя».","Дэвид Мех писал, что в такой стае использование термина «альфа» для описания родительской пары «не более уместно, чем называть альфой человека-родителя»."
"На первой странице — фотография владельца; название вуза, № студенческого билета; фамилия, имя, отчество владельца; факультет владельца; форма обучения; дата выдачи студенческого билета; подпись ректора (декана).","На первой странице — фотография владельца; название вуза, номер студенческого билета; фамилия, имя, отчество владельца; факультет владельца; форма обучения; дата выдачи студенческого билета; подпись ректора (декана)."
"13 июля 2010 года Аджинса вместе с Тайсоном Чендлером был обменян в «Даллас Маверикс» на Эрика Дампьера, Кэрролл, Мэтт и Нахера, Эдуардо, + доплата.","13 июля 2010 года Аджинса вместе с Тайсоном Чендлером был обменян в «Даллас Маверикс» на Эрика Дампьера, Кэрролл, Мэтт и Нахера, Эдуардо, плюс доплата."
"Сирийская свободная армия в сентябре объявила награду в размере 25 млн $ тому, кто сдаст президента Башара Асада живым или мёртвым.","Сирийская свободная армия в сентябре объявила награду в размере 25 млн долларов тому, кто сдаст президента Башара Асада живым или мёртвым."
"Отмечалось, что официально заявленное число проголосовавших за Асада при переводе в проценты очень близко к округлённому до десятых долей %, что может свидетельствовать о фальсификации.","Отмечалось, что официально заявленное число проголосовавших за Асада при переводе в проценты очень близко к округлённому до десятых долей процента, что может свидетельствовать о фальсификации."
"Румынский фронт насчитывал 1007 тыс., а с тыловыми частями — 1500 тыс. солдат и офицеров, 30 % которых составляли украинцы.","Румынский фронт насчитывал 1007 тыс., а с тыловыми частями — 1500 тыс. солдат и офицеров, 30 процентов которых составляли украинцы."
"Наравне с самим сообщением, также охраняются сведения о сообщении; для телефонных переговоров это № вызывающего и вызываемого абонента, время звонка и его продолжительность.","Наравне с самим сообщением, также охраняются сведения о сообщении; для телефонных переговоров это номера вызывающего и вызываемого абонента, время звонка и его продолжительность."
"1 июля правительство Пуэрто Рико, несмотря на пакет спасения, не смогло расплатиться по обязательствам на 779 миллионов $; тем самым государство допустило дефолт.","1 июля правительство Пуэрто Рико, несмотря на пакет спасения, не смогло расплатиться по обязательствам на 779 миллионов долларов; тем самым государство допустило дефолт."
"Фактически Танкред был единственным из лидеров 1-го крестового похода, кто не давал клятву возвратить завоёванные земли Византии (хотя никто из поклявшихся все = не сдержал слово).","Фактически Танкред был единственным из лидеров 1-го крестового похода, кто не давал клятву возвратить завоёванные земли Византии (хотя никто из поклявшихся все равно не сдержал слово)."
"Княжество Антиохия — = как и графство Триполи — не принимало участия в 3-м крестовом походе и соприкоснулось с ним лишь косвенно, когда в 1190 году в город пришли остатки армии Фридриха Барбароссы, чтобы похоронить тело великого короля.","Княжество Антиохия — равно как и графство Триполи — не принимало участия в 3-м крестовом походе и соприкоснулось с ним лишь косвенно, когда в 1190 году в город пришли остатки армии Фридриха Барбароссы, чтобы похоронить тело великого короля."
"В 1998 году за 1,3 млрд $ была куплена нидерландская компания Royal Gist-brocades, производитель антибиотиков и пищевых добавок.","В 1998 году за 1,3 млрд долларов была куплена нидерландская компания Royal Gist-brocades, производитель антибиотиков и пищевых добавок."
"В 2000 году за 800 тыс. $ была куплена калифорнийская компания Catalytica Pharmaceuticals.","В 2000 году за 800 тыс. долларов была куплена калифорнийская компания Catalytica Pharmaceuticals."
"В 2002 году за 2 млрд $ было продано подразделение нефтехимической продукции, покупателем стала компания из Саудовской Аравии SABIC.","В 2002 году за 2 млрд долларов было продано подразделение нефтехимической продукции, покупателем стала компания из Саудовской Аравии SABIC."
"В отличие от других представителей рода, вода для жестколистного апоногетона должна быть нейтральной или слабощелочной (pH 7—7,2) и довольно жёсткой (7—12 немецких °).","В отличие от других представителей рода, вода для жестколистного апоногетона должна быть нейтральной или слабощелочной (pH 7—7,2) и довольно жёсткой (7—12 немецких градусов)."
"ГКС, тормозит высвобождение интерлейкина1, интерлейкина2, интерферона γ из лимфоцитов и макрофагов.","ГКС, тормозит высвобождение интерлейкина1, интерлейкина2, интерферона гамма из лимфоцитов и макрофагов."
"Снижает гиперреактивность бронхов, восстанавливает чувствительность рецепторов к β-адреностимуляторам; стабилизирует мембраны тучных клеток, уменьшает количество тучных клеток, макрофагов, T-лимфоцитов и эозинофилов в эпителии и подслизистом слое бронхов.","Снижает гиперреактивность бронхов, восстанавливает чувствительность рецепторов к бета-адреностимуляторам; стабилизирует мембраны тучных клеток, уменьшает количество тучных клеток, макрофагов, T-лимфоцитов и эозинофилов в эпителии и подслизистом слое бронхов."
"Арбитражный суд города Москвы иск на более чем 7,5 млрд ₽ удовлетворил и запретил издательству «Астрель» «распространять незаконно изданные экземпляры произведений А. Беляева».","Арбитражный суд города Москвы иск на более чем 7,5 млрд рублей удовлетворил и запретил издательству «Астрель» «распространять незаконно изданные экземпляры произведений А. Беляева»."
"Бюджет картины составил 90 миллионов $.","Бюджет картины составил 90 миллионов долларов."
"Наблюдавшие за появлением Зла боевые корабли Земли не могут получить данные, включая температуру поверхности: один датчик показывает температуру + миллион °, другой — - пять тысяч °.","Наблюдавшие за появлением Зла боевые корабли Земли не могут получить данные, включая температуру поверхности: один датчик показывает температуру плюс миллион градусов, другой — минус пять тысяч градусов."
"Хотя съёмочная группа впечатлила кинокомпании своими эскизами, им с трудом удалось найти желающих взять на себя бюджет, приближающийся к 100 млн $.","Хотя съёмочная группа впечатлила кинокомпании своими эскизами, им с трудом удалось найти желающих взять на себя бюджет, приближающийся к 100 млн долларов."
"Упоминалось, что советская военно-авиационная промышленность сэкономила около 48,6 миллионов ₽ (по тому курсу около 65 млн $).","Упоминалось, что советская военно-авиационная промышленность сэкономила около 48,6 миллионов рублей (по тому курсу около 65 млн долларов)."
"Тогда же он втайне от семьи купил за 1500 ₽ дом (т. н. «мазанку»), располагавшийся по адресу Межевой переулок, 26, и использовал его для встреч с проститутками.","Тогда же он втайне от семьи купил за 1500 рублей дом (т. н. «мазанку»), располагавшийся по адресу Межевой переулок, 26, и использовал его для встреч с проститутками."
"Розыск убийцы обошёлся государству примерно в 10 миллионов ₽ в ценах 1990 года.","Розыск убийцы обошёлся государству примерно в 10 миллионов рублей в ценах 1990 года."
"Летом 1990 года принял участие в ограблении вьетнамских челноков на 10 тысяч $, за что получил 2 года условно.","Летом 1990 года принял участие в ограблении вьетнамских челноков на 10 тысяч долларов, за что получил 2 года условно."
"В 1998 году, через четыре месяца после освобождения за рецидив преступления (ограбление знакомой — сервиз стоимостью 850 ₽, магнитола стоимостью 500 ₽ и палас; кража бутылки водки, бутылки вина и сигарет на общую сумму 112 ₽), был приговорён к шести годам колонии строгого режима.","В 1998 году, через четыре месяца после освобождения за рецидив преступления (ограбление знакомой — сервиз стоимостью 850 рублей, магнитола стоимостью 500 рублей и палас; кража бутылки водки, бутылки вина и сигарет на общую сумму 112 рублей), был приговорён к шести годам колонии строгого режима."
"После того, как прямое правление было восстановлено в 1874 году, Конгресс принял в 1901 году закон о признании преступлений по гражданскому праву с наказанием в виде тюремного заключения сроком до пяти лет и/или штрафа в размере 1 000 $.","После того, как прямое правление было восстановлено в 1874 году, Конгресс принял в 1901 году закон о признании преступлений по гражданскому праву с наказанием в виде тюремного заключения сроком до пяти лет и/или штрафа в размере 1 000 долларов."
"В 1948 году Конгресс принял закон, предусматривающий «лечение сексуальных психопатов и в других целях», криминализирующий гомосексуализм или гетеросексуальность за содомию с лишением свободы на срок до 10 лет или штрафом в размере 1 000 $.","В 1948 году Конгресс принял закон, предусматривающий «лечение сексуальных психопатов и в других целях», криминализирующий гомосексуализм или гетеросексуальность за содомию с лишением свободы на срок до 10 лет или штрафом в размере 1 000 долларов."
"Фильмы этой серии являются одними из самых успешных кинопроектов в истории российского кинематографа, а в общей сложности пенталогия собрала более 67 миллионов $.","Фильмы этой серии являются одними из самых успешных кинопроектов в истории российского кинематографа, а в общей сложности пенталогия собрала более 67 миллионов долларов."
"Инвестиции в основной капитал (за 2008 год) — 11 500 млн ₽; оборот розничной торговли (за 2008 год) —19 560 млн ₽; средняя заработная плата работающего (на 1.01.2009 г.) — 12 648,4 руб.; уровень безработицы (в % к экономически активному населению) за 2011 год — 6,0 %; уровень регистрируемой безработицы за 2011 год — 1,29 %.","Инвестиции в основной капитал (за 2008 год) — 11 500 млн рублей; оборот розничной торговли (за 2008 год) —19 560 млн рублей; средняя заработная плата работающего (на 1.01.2009 г.) — 12 648,4 руб.; уровень безработицы (в % к экономически активному населению) за 2011 год — 6,0 %; уровень регистрируемой безработицы за 2011 год — 1,29 %."
"Доходы бюджета в 2023 году составили 6 453 млн ₽, из них 4 262 млн ₽ (то есть 2/3 доходов) — это безвозмездные перечисления из вышестоящих бюджетов.","Доходы бюджета в 2023 году составили 6 453 млн рублей, из них 4 262 млн рублей (то есть 2/3 доходов) — это безвозмездные перечисления из вышестоящих бюджетов."
"Расходы составили 6 500 млн ₽.","Расходы составили 6 500 млн рублей."
"Доходы городского бюджета Йошкар-Олы в 2008 году составили 2080,3 млн ₽ (что на 334 млн руб. больше запланированного показателя за соответствующий период); расходы составили 2101,4 млн ₽.","Доходы городского бюджета Йошкар-Олы в 2008 году составили 2080,3 млн рублей (что на 334 млн руб. больше запланированного показателя за соответствующий период); расходы составили 2101,4 млн рублей."
"Сейчас телефонную связь в Йошкар-Оле обеспечивает филиал ОАО «Ростелеком», на ГТС Йошкар-Олы работают 12 АТС (электронного типа) общей ёмкостью 113 753 №.","Сейчас телефонную связь в Йошкар-Оле обеспечивает филиал ОАО «Ростелеком», на ГТС Йошкар-Олы работают 12 АТС (электронного типа) общей ёмкостью 113 753 номера."
"Стоимость проезда составляет 19 ₽.","Стоимость проезда составляет 19 рублей."
"С 1 января 2024 года стоимость проезда в троллейбусе и автобусе составляет 26 ₽ безналичным способом оплаты, 29 ₽ - наличными.","С 1 января 2024 года стоимость проезда в троллейбусе и автобусе составляет 26 рублей безналичным способом оплаты, 29 рублей - наличными."
"Сейчас в Йошкар-Оле 8 автобусных маршрутов, общая протяжённость линий — 151,1 км, стоимость проезда с 1 февраля 2017 года — 20 ₽.","Сейчас в Йошкар-Оле 8 автобусных маршрутов, общая протяжённость линий — 151,1 км, стоимость проезда с 1 февраля 2017 года — 20 рублей."
"Всего насчитывается 13 маршрутов, стоимость проезда с 1 июля 2018 года — 23 ₽.","Всего насчитывается 13 маршрутов, стоимость проезда с 1 июля 2018 года — 23 рубля."
"C 10 апреля 2023 — 28 ₽.","C 10 апреля 2023 — 28 рублей."
"После восьми α-релизов, первая β-версия Maven 3.0 была опубликована в октябре 2010 года.","После восьми альфа-релизов, первая бета-версия Maven 3.0 была опубликована в октябре 2010 года."
"«Торонто» забил в общей сложности девять шайб, но все = проиграл игру со счётом 10-9.","«Торонто» забил в общей сложности девять шайб, но все равно проиграл игру со счётом 10-9."
"«Сенаторз» запросили двоих игроков и 35 тысяч $ за своего игрока — огромные деньги для начала 30-х годов.","«Сенаторз» запросили двоих игроков и 35 тысяч долларов за своего игрока — огромные деньги для начала 30-х годов."
"За четыре неполных сезона, что Бурк руководил «листьями», на позиции первого № команды побывало четыре вратаря: Веса Тоскала, Жан-Себастьян Жигер, Юнас Густавссон и Джеймс Раймер.","За четыре неполных сезона, что Бурк руководил «листьями», на позиции первого номера команды побывало четыре вратаря: Веса Тоскала, Жан-Себастьян Жигер, Юнас Густавссон и Джеймс Раймер."
