abbreviation,encounters
г,146
к-рый,31
чел.,24
яз.,20
т.,18
неск.,14
гг,12
вв.,11
ок.,11
дек.,10
род.,9
офиц.,9
гос.,9
пос.,9
д.,9
гг.,8
назв.,8
р-н,7
бронз.,7
изв.,6
м.,6
рус.,6
ун-т,5
ум.,5
зол.,5
быв.,5
адм.,5
юж.,5
рос.,5
мир.,5
мат-лы,5
серебр.,5
гл.,4
пл.,4
нас.,4
центр.,4
вест.,4
нац.,4
предс.,4
чл.,4
комис.,4
шир.,4
сов.,4
уч-ще,4
стр-во,3
кол-во,3
ч.,3
историч.,3
муницип.,3
науч.,3
технич.,3
вопр.,3
ш.,3
им.,3
през.,3
нар.,3
гор.,3
руб.,3
произ-во,3
впосл.,3
междунар.,3
функц.,3
кн.,3
лекц.,3
орг-ция,3
амер.,3
наиб.,3
брит.,2
религ.,2
рук.,2
полит.,2
р.,2
др.,2
отд.,2
краеведч.,2
сб.,2
ин-т,2
бульв.,2
откр.,2
посв.,2
моск.,2
ю.,2
япон.,2
след.,2
созд.,2
образоват.,2
совр.,2
мн.,2
докл.,2
об-во,2
пр-во,2
напр.,2
св.,2
кап.,2
располож.,1
театр.,1
дет.,1
худ.,1
дл.,1
австрал.,1
букв.,1
вост.,1
кон.,1
вел.,1
изд-во,1
район.,1
газ.,1
сотр.,1
зав.,1
зам.,1
б.,1
уник.,1
о-в,1
действит.,1
нач.,1
подмоск.,1
письм.,1
террит.,1
евр.,1
ред.,1
архит.,1
артистич.,1
собств.,1
вып.,1
графич.,1
академич.,1
публ.,1
янв.,1
ф-т,1
муз.,1
связ.,1
зап.,1
гос-ва,1
рев.,1
терр.,1
англ,1
тип.,1
пр.,1
хут.,1
пост.,1
польск.,1
мл.,1
мин-во,1
высш.,1
гражд.,1
обществ.,1
сокр.,1
экз.,1
ниж.,1
верх.,1
классич.,1
внутр.,1
выс.,1
дерев.,1
кит.,1
нояб.,1
посл.,1
ж.-д.,1
объед.,1
рис.,1
наст.,1
долл.,1
пам.,1
самостоят.,1
пластич.,1
рук-во,1
исп.,1
с.,1
единств.,1
