abbreviation,encounters
г,9152
к-рый,2385
чел.,1599
т.,1180
ок.,886
дек.,850
гг,840
ч.,784
неск.,758
д.,729
вв.,727
гг.,716
м.,630
род.,625
им.,602
с.,600
сов.,598
назв.,549
рос.,540
офиц.,433
нас.,427
чл.,426
кол-во,420
напр.,415
наиб.,404
гос.,389
мир.,381
р-н,377
гл.,371
рус.,371
ум.,358
б.,348
реж.,334
амер.,330
пл.,321
ин-т,316
впосл.,316
тыс.,305
мн.,299
яз.,295
нац.,294
кн.,286
др.,258
вкл.,249
отд.,239
засл.,235
долл.,231
гос-ва,228
изв.,227
моск.,226
ун-т,210
зам.,209
нач.,203
междунар.,198
ж.,195
р.,190
дир.,188
зол.,184
млн,184
пос.,183
посл.,182
през.,181
худ.,180
нем.,179
дл.,175
науч.,173
единств.,166
выс.,165
мон.,164
ред.,163
франц.,161
в.,160
стр-во,159
нар.,159
адм.,158
пам.,157
сб.,155
пр-во,153
об-во,153
произ-во,152
быв.,150
рук.,149
вел.,148
терр.,147
историч.,144
гр.,144
изд.,143
орг-ция,139
полит.,135
муз.,134
уч-ще,133
брит.,132
след.,128
сев.,128
предс.,127
центр.,126
ф-т,126
совр.,119
изд-во,119
укр.,118
вып.,114
оз.,113
англ,112
бронз.,111
гор.,110
серебр.,110
юж.,109
зап.,108
располож.,108
газ.,106
мат-лы,105
ю.,105
секр.,103
руб.,99
о-в,99
художеств.,98
рук-во,98
мл.,97
иск-во,95
вопр.,90
вост.,86
муницип.,86
респ.,86
св.,84
дет.,84
б-ка,84
жен.,84
окт.,83
биогр.,83
кон.,81
созд.,80
итал.,80
акад.,80
откр.,79
гос-во,76
исп.,75
обществ.,74
гражд.,74
з.,73
кит.,71
польск.,71
собств.,70
имп.,70
лит.,69
жел.,69
ж.-д.,68
дерев.,67
экз.,67
япон.,67
ш.,65
информ.,65
вест.,65
авг.,63
собр.,63
кам.,63
иссл.,62
зав.,62
мин-во,61
творч.,60
пост.,58
обр.,58
архит.,58
янв.,57
хут.,56
европ.,55
сотр.,54
театр.,54
белорус.,53
швед.,53
технич.,52
л.,51
постр.,50
террит.,49
болг.,49
рим.,48
сообщ.,48
высш.,48
ниж.,47
греч.,47
монг.,47
шир.,46
апр.,46
пом.,46
документ.,46
лит-ра,45
рец.,45
муж.,44
мемор.,44
доп.,44
древн.,42
февр.,42
бр.,41
соц.,41
внутр.,40
нояб.,40
рис.,40
наст.,40
комис.,40
ленингр.,40
сотр-во,39
пед.,38
коммерч.,37
сент.,36
дополнит.,36
традиц.,35
первонач.,35
пер.,34
произв.,34
рев.,34
верх.,33
пр.,32
с.-петерб.,32
австр.,32
сиб.,32
связ.,31
сокр.,31
опред.,31
просп.,30
район.,30
драм.,30
классич.,29
фин.,29
венгер.,29
регион.,29
действит.,29
посв.,29
зал.,28
гал.,28
б-ца,28
колл.,28
религ.,28
слав.,28
дол.,27
п-ов,27
бульв.,27
букв.,26
бар.,26
опубл.,25
организац.,25
клб,25
чл.-корр.,25
азерб.,25
док-т,24
врем.,24
географич.,24
татар.,24
анс.,24
социалистич.,23
авт.,23
общ.,23
груз.,23
письм.,22
иностр.,22
уч.,22
исслед.,22
уник.,22
образоват.,22
индивид.,22
церк.,21
внеш.,21
км,21
илл.,21
публ.,21
философ.,21
петерб.,21
звук.,21
летоп.,21
одноим.,21
стан.,21
визант.,20
млрд,20
перc.,20
евр.,20
эмоц.,20
издат.,19
комм.,19
академич.,19
арх-ра,19
докл.,19
соч.,19
демокр.,19
австрал.,18
прилож.,18
тип.,18
строит.,17
эксперимент.,17
объед.,17
конф.,17
архитект.,16
периодич.,16
всерос.,16
революц.,16
дис.,16
христ.,16
хоз.,16
археологич.,15
голл.,15
кавказ.,15
бельг.,15
торжеств.,15
предисл.,15
эт.,15
самостоят.,15
благотворит.,15
норв.,15
араб.,15
республ.,15
нидерл.,15
ср.-век.,14
сохр.,14
урал.,13
декор.,13
корр.,13
метал.,13
универс.,13
сост.,13
пгр.,13
полиграф.,12
яросл.,12
пожизн.,12
публич.,12
прикл.,12
изобразит.,12
филологич.,12
наб.,12
крест.,11
экологич.,11
персон.,11
м,11
псевд.,11
вспомогат.,11
печ.,11
башк.,11
фактич.,11
правительств.,11
мрам.,11
кап.,10
т-во,10
тов.,10
четв.,10
просв.,10
редакц.,10
дипломатич.,10
производств.,10
переим.,10
кирп.,10
фотогр.,9
иллюстрир.,9
цв.,9
органич.,9
этнич.,8
всесоюз.,8
альм.,8
прим.,8
скульпт.,8
послед.,8
преп.,8
краеведч.,8
искусств.,7
экспедиц.,7
специализир.,7
чечен.,7
чуваш.,7
аналитич.,7
азиат.,7
якут.,7
старослав.,7
потомств.,6
систематич.,6
библ.,6
заключ.,6
учрежд.,6
бюлл.,6
справоч.,6
будд.,6
централиз.,6
наим.,5
заруб.,5
методич.,5
графич.,5
др.-рус.,5
количеств.,5
мифол.,5
социологич.,4
ведомств.,4
теоретич.,4
аристократич.,4
купеч.,4
бум.,4
губ.,4
фундамент.,4
ингуш.,4
уезд.,4
конфиск.,4
фольк.,3
многочисл.,3
высококачеств.,3
разл.,3
стекл.,3
синтетич.,3
княж.,3
идеологич.,3
отт.,3
этнографич.,3
тематич.,3
кириллич.,3
осет.,3
размещ.,3
нумизматич.,3
наруж.,3
сканд.,3
драг.,2
качеств.,2
позд.,2
старообрядч.,2
эволюц.,2
языч.,2
черкес.,2
послесл.,2
стихотв.,2
монумент.,2
испр.,2
гуманистич.,2
орнамент.,1
типологич.,1
загран.,1
флам.,1
хронолоrич.,1
зап.-сиб.,1
реставрац.,1
провинц.,1
методологич.,1
лекц.,1
классификац.,1
систематизир.,1
епарх.,1
эксп.,1
см.,1
коллекц.,1
специфич.,1
археогр.,1
квалифицир.,1
эстетич.,1
см,1
реорганиз.,1
