abbreviation,encounters
г,1011
к-рый,266
чел.,210
т.,147
ок.,126
вв.,107
д.,105
м.,101
дек.,96
неск.,93
гг,93
с.,81
им.,78
пр-во,78
ч.,77
нас.,75
гг.,75
род.,66
назв.,65
сов.,63
кн.,58
рос.,56
нац.,56
гос.,54
нач.,53
ун-т,49
тыс.,49
ин-т,48
чл.,48
наиб.,46
р-н,45
офиц.,44
врем.,44
кол-во,42
гос-ва,39
ум.,39
нар.,39
о-в,39
рус.,38
напр.,36
мн.,36
през.,35
б.,34
гл.,34
впосл.,34
гр.,33
пл.,33
др.,32
центр.,31
мин-во,30
полит.,30
реж.,30
укр.,27
зам.,27
дл.,26
руб.,26
вкл.,26
междунар.,26
изв.,26
гор.,26
р.,25
быв.,25
отд.,25
собр.,25
посл.,24
млн,23
амер.,23
предс.,23
стр-во,23
б-ка,22
л.,22
произ-во,22
моск.,21
терр.,20
дет.,20
единств.,20
сев.,20
историч.,20
адм.,19
мир.,19
пам.,19
засл.,19
выс.,18
худ.,18
пос.,18
биогр.,17
муницип.,17
след.,17
ф-т,17
яз.,17
нем.,16
орг-ция,16
художеств.,16
комис.,16
долл.,16
газ.,16
в.,16
ж.,16
вопр.,15
окт.,15
секр.,15
рук-во,15
науч.,15
дир.,15
польск.,14
демокр.,14
республ.,14
мат-лы,13
документ.,13
сообщ.,13
вест.,13
пом.,13
изд.,12
груз.,12
совр.,12
англ,12
созд.,11
кон.,11
располож.,11
франц.,11
св.,11
обществ.,11
откр.,11
зап.,11
итал.,11
исп.,10
мл.,10
юж.,10
имп.,10
ленингр.,10
иск-во,10
сб.,10
вост.,10
ю.,9
регион.,9
зол.,9
изд-во,9
наст.,9
ред.,9
бронз.,9
вып.,9
европ.,9
оз.,9
об-во,8
гос-во,8
муз.,8
мон.,8
собств.,8
одноим.,8
печ.,8
гражд.,8
произв.,8
ж.-д.,8
рук.,8
соц.,7
серебр.,7
лит-ра,7
докл.,7
рец.,7
технич.,7
швед.,7
высш.,7
террит.,7
бульв.,7
уч-ще,7
лит.,7
социалистич.,7
внутр.,6
звук.,6
театр.,6
творч.,6
респ.,6
шир.,6
акад.,6
экз.,6
ш.,6
гал.,6
февр.,5
обр.,5
пр.,5
вел.,5
авт.,5
верх.,5
рим.,5
посв.,5
пгр.,5
информ.,5
кит.,5
колл.,5
всерос.,5
фактич.,5
фин.,5
древн.,5
зав.,5
сохр.,5
искусств.,5
просп.,5
жен.,5
п-ов,5
урал.,5
перc.,5
доп.,4
иссл.,4
з.,4
бр.,4
авг.,4
мемор.,4
постр.,4
археологич.,4
тов.,4
правительств.,4
географич.,4
религ.,4
архит.,4
жел.,4
петерб.,4
сотр.,4
христ.,4
стан.,4
янв.,4
пер.,4
пост.,3
док-т,3
теоретич.,3
псевд.,3
брит.,3
связ.,3
сент.,3
клб,3
австр.,3
хут.,3
уник.,3
рев.,3
б-ца,3
визант.,3
с.-петерб.,3
эксперимент.,3
бар.,3
ниж.,3
разл.,3
исслед.,3
драм.,3
уч.,3
традиц.,3
соч.,3
чл.-корр.,3
заруб.,3
пед.,3
конф.,3
потомств.,3
самостоят.,3
специализир.,3
наб.,3
азерб.,3
дипломатич.,3
тип.,2
букв.,2
сокр.,2
преим.,2
коммерч.,2
бюлл.,2
иллюстрир.,2
нояб.,2
япон.,2
революц.,2
район.,2
централиз.,2
пластич.,2
венгер.,2
анс.,2
нидерл.,2
км,2
академич.,2
синтетич.,2
сотр-во,2
публ.,2
эмоц.,2
иностр.,2
благотворит.,2
белорус.,2
образоват.,2
млрд,2
хоз.,2
комм.,2
опред.,2
рис.,2
организац.,2
прилож.,2
слав.,2
филологич.,2
опубл.,2
араб.,2
предисл.,2
уезд.,2
строит.,2
илл.,2
археогр.,2
апр.,2
м,2
см,2
краеведч.,1
дополнит.,1
общ.,1
публич.,1
корр.,1
философ.,1
просв.,1
голл.,1
кам.,1
внеш.,1
кавказ.,1
дол.,1
азиат.,1
позд.,1
евр.,1
письм.,1
фольк.,1
издат.,1
арх-ра,1
стекл.,1
муж.,1
прижизн.,1
церк.,1
первонач.,1
загран.,1
татар.,1
трлн,1
цв.,1
сканд.,1
эт.,1
органич.,1
дерев.,1
послед.,1
наруж.,1
действит.,1
ср.-век.,1
бельг.,1
др.-христ.,1
производств.,1
ингуш.,1
чечен.,1
классич.,1
греч.,1
драг.,1
экологич.,1
полиграф.,1
зап.-европ.,1
декор.,1
библ.,1
справоч.,1
торжеств.,1
болг.,1
универс.,1
наим.,1
многочисл.,1
функц.,1
дис.,1
прикл.,1
кирп.,1
словесн.,1
прим.,1
епарх.,1
