abbreviation,encounters
г,53499
к-рый,14280
чел.,9142
т.,6656
дек.,5591
гг,5001
ок.,4945
ч.,4544
неск.,4230
гг.,4217
вв.,4150
род.,3614
д.,3339
м.,3193
с.,3158
назв.,3087
им.,3012
сов.,2988
напр.,2597
нас.,2496
рос.,2440
кол-во,2379
офиц.,2377
р-н,2217
наиб.,2195
рус.,2012
б.,1987
чл.,1956
гос.,1931
тыс.,1924
ум.,1900
кн.,1897
гл.,1858
мн.,1843
пл.,1835
мир.,1714
впосл.,1630
нац.,1612
ин-т,1586
вкл.,1544
амер.,1508
яз.,1497
реж.,1440
др.,1407
отд.,1372
изв.,1356
моск.,1334
долл.,1323
гос-ва,1269
млн,1229
худ.,1168
пос.,1159
през.,1136
нач.,1130
ж.,1113
ун-т,1100
засл.,1074
предс.,1053
посл.,1053
пам.,1046
науч.,1027
быв.,1027
стр-во,1015
дл.,1011
междунар.,1007
пр-во,999
нар.,994
р.,981
в.,938
зол.,936
выс.,933
франц.,930
сев.,915
руб.,903
гор.,886
адм.,884
дир.,884
единств.,861
гр.,859
вел.,852
произ-во,845
изд.,845
след.,826
о-в,819
зам.,810
полит.,805
уч-ще,798
нем.,777
центр.,777
муз.,768
историч.,725
зап.,696
сб.,691
изд-во,690
газ.,686
орг-ция,680
юж.,673
художеств.,673
об-во,673
терр.,667
совр.,659
ред.,656
вып.,654
брит.,646
укр.,643
англ,633
рук.,629
мат-лы,621
ф-т,613
б-ка,602
серебр.,588
секр.,575
рук-во,572
располож.,566
вопр.,557
мл.,550
иск-во,538
кон.,533
респ.,523
дет.,511
оз.,503
биогр.,493
мон.,481
ж.-д.,479
гос-во,477
св.,474
вост.,470
жен.,465
откр.,459
муницип.,456
обществ.,455
имп.,454
собр.,450
бронз.,448
ю.,446
созд.,443
итал.,442
сотр.,440
экз.,437
собств.,404
сообщ.,389
окт.,386
архит.,384
творч.,381
лит.,369
иссл.,367
авг.,367
акад.,363
высш.,362
з.,357
комис.,355
пост.,353
лит-ра,351
мин-во,350
хут.,344
польск.,343
жел.,343
зав.,338
вест.,332
технич.,323
япон.,320
бр.,320
документ.,312
обр.,312
л.,307
исп.,303
ш.,298
европ.,298
наст.,297
просп.,292
кит.,291
рим.,289
ниж.,289
сент.,286
дополнит.,279
посв.,278
театр.,278
муж.,277
шир.,275
террит.,274
бар.,274
постр.,270
дерев.,269
доп.,263
греч.,262
евр.,258
гражд.,256
апр.,255
белорус.,253
янв.,251
пом.,249
кам.,246
февр.,242
швед.,241
мемор.,240
древн.,240
гал.,239
врем.,239
рис.,225
австр.,225
традиц.,224
колл.,221
нояб.,220
соц.,219
произв.,212
внутр.,203
летоп.,202
рец.,195
рев.,195
ленингр.,194
млрд,193
пер.,193
первонач.,190
зал.,187
сотр-во,187
драм.,186
конф.,184
пед.,183
букв.,180
анс.,178
связ.,177
пр.,174
докл.,174
классич.,170
авт.,167
груз.,165
чл.-корр.,162
сокр.,161
регион.,158
венгер.,158
верх.,158
религ.,155
одноим.,155
действит.,154
самостоят.,152
демокр.,151
информ.,150
социалистич.,149
клб,148
австрал.,146
тип.,146
коммерч.,146
внеш.,145
район.,145
краеведч.,144
сиб.,144
церк.,143
опред.,142
арх-ра,142
б-ца,140
уч.,139
