question,answer,count_simple,count_simple_translated,count_simple_long,count_simple_long_translated,count_cases_translated,count_cases_long
"∃ множество математических и физических объектов, названных в честь Леонарда Эйлера, что породило шуточное фольклорное правило: «В математике принято называть открытие именем второго человека, который его сделал — иначе пришлось бы всё называть именем Эйлера».","Существует множество математических и физических объектов, названных в честь Леонарда Эйлера, что породило шуточное фольклорное правило: «В математике принято называть открытие именем второго человека, который его сделал — иначе пришлось бы всё называть именем Эйлера».",0,1,0,0,0,0
"Вишнёвый слоник (лат. Epirhynchites (Rhynchites) auratus) — жук золотисто-малинового цвета, длиной от 5 до 9 мм, ∈ к семейству букарок.","Вишнёвый слоник (лат. Epirhynchites (Rhynchites) auratus) — жук золотисто-малинового цвета, длиной от 5 до 9 мм, принадлежит к семейству букарок.",0,1,0,0,0,0
"Город Питтсбург, присутствующий в игре, на которой основан сериал, был заменён на Канзас-Сити, поскольку Мейзин решил, что места съёмок в Калгари > напоминают Канзас-Сити.","Город Питтсбург, присутствующий в игре, на которой основан сериал, был заменён на Канзас-Сити, поскольку Мейзин решил, что места съёмок в Калгари больше напоминают Канзас-Сити.",0,1,0,0,0,0
"Материнская звезда ∈ к спектральному классу M3, и имеет оценочный возраст не более 130 млн лет и массу в 0,35M⊙.","Материнская звезда принадлежит к спектральному классу M3, и имеет оценочный возраст не более 130 млн лет и массу в 0,35M⊙.",0,1,0,0,0,0
"Ввиду изначально запланированных наблюдений инструментами обсерватории затмений источников Луной для их наилучшей локализации была выбрана высокоапогейная орбита с большим наклонением (практически ⊥ плоскости орбиты Луны).","Ввиду изначально запланированных наблюдений инструментами обсерватории затмений источников Луной для их наилучшей локализации была выбрана высокоапогейная орбита с большим наклонением (практически перпендикулярно плоскости орбиты Луны).",0,1,0,0,0,0
"(744) Агунтина (лат. Aguntina) — астероид внешней части главного пояса, который ∈ к тёмному спектральному классу F. Он был открыт 26 февраля 1913 года немецким астрономом Йозефом Реденом в Венской обсерватории и назван в честь древнеримского города Агунтум.","(744) Агунтина (лат. Aguntina) — астероид внешней части главного пояса, который принадлежит к тёмному спектральному классу F. Он был открыт 26 февраля 1913 года немецким астрономом Йозефом Реденом в Венской обсерватории и назван в честь древнеримского города Агунтум.",0,1,0,0,0,0
"Критик Владимир Стасов отмечал, что произведение Сурикова «хотя и далеко не равняется его великолепной картине „Боярыня Морозова“, но, наверное, ∈ к замечательнейшим картинам русской школы».","Критик Владимир Стасов отмечал, что произведение Сурикова «хотя и далеко не равняется его великолепной картине „Боярыня Морозова“, но, наверное, принадлежит к замечательнейшим картинам русской школы».",0,1,0,0,0,0
"В вопросе о том, являются ли мукатта’а отдельными аятами или нет, ∃ мнения куфийской и басрийской школ.","В вопросе о том, являются ли мукатта’а отдельными аятами или нет, существует мнения куфийской и басрийской школ.",0,1,0,0,0,0
"В мире ∃ несколько единиц измерения под названием «лошадиная сила».","В мире существует несколько единиц измерения под названием «лошадиная сила».",0,1,0,0,0,0
"Литература на языке хинди ∈ к самым богатым и замечательным новоиндийским литературам.","Литература на языке хинди принадлежит к самым богатым и замечательным новоиндийским литературам.",0,1,0,0,0,0
"Америка́нский национа́льный институ́т станда́ртов (англ. American national standards institute, ANSI) — ∪ американских промышленных и деловых групп, разрабатывающее торговые и коммуникационные стандарты.","Америка́нский национа́льный институ́т станда́ртов (англ. American national standards institute, ANSI) — объединение американских промышленных и деловых групп, разрабатывающее торговые и коммуникационные стандарты.",0,1,0,0,0,0
"> всего страдают посевы второго и третьего годов.","Больше всего страдают посевы второго и третьего годов.",0,1,0,0,0,0
"Традиционно ∈ к группе народов пуэбло.","Традиционно принадлежит к группе народов пуэбло.",0,1,0,0,0,0
"λ Возничего (λ Возничего, Lambda Aurigae, сокращ. lam Aur, λ Aur) — звезда в северном созвездии Возничий.","Лямбда Возничего (λ Возничего, Lambda Aurigae, сокращ. lam Aur, λ Aur) — звезда в северном созвездии Возничий.",0,1,0,0,0,0
