question,answer
"Каждой статье присваивается уникальный идентификационный № PMID (англ. PubMed Identifier — идентификатор PubMed).","Каждой статье присваивается уникальный идентификационный номер PMID (англ. PubMed Identifier — идентификатор PubMed)."
"Пользователям доступны название статьи, список авторов, источник информации (например, название журнала, за которым следует дата публикации, том, выпуск, страницы) и уникальный № записи PubMed или идентификатор PubMed (PMID).","Пользователям доступны название статьи, список авторов, источник информации (например, название журнала, за которым следует дата публикации, том, выпуск, страницы) и уникальный номер записи PubMed или идентификатор PubMed (PMID)."
"PubMed Identifier или PMID представляет собой инвентарный № от 1 до 8 цифр для управления записями в PubMed.","PubMed Identifier или PMID представляет собой инвентарный номер от 1 до 8 цифр для управления записями в PubMed."
"После завершения карьеры в 1990 году его игровой № «Бакс» закрепили за Монрифом.","После завершения карьеры в 1990 году его игровой номер «Бакс» закрепили за Монрифом."
"19 января 2008 года вновь подтвердили изъятие № во время матча с «Голден Стэйт Уорриорз» на стадионе Брэдли-центр.","19 января 2008 года вновь подтвердили изъятие номера во время матча с «Голден Стэйт Уорриорз» на стадионе Брэдли-центр."
"Разовый билет: для взрослых и детей с 12 лет — 100 ₽, с 7 до 11 лет (включительно) — 50 ₽, дети до 7 лет — бесплатно","Разовый билет: для взрослых и детей с 12 лет — 100 рублей, с 7 до 11 лет (включительно) — 50 рублей, дети до 7 лет — бесплатно"
"на 10 поездок — 980 ₽","на 10 поездок — 980 рублей"
"на 20 поездок — 1900 ₽","на 20 поездок — 1900 рублей"
"на 30 поездок — 2760 ₽","на 30 поездок — 2760 рублей"
"на 48 поездок — 4200 ₽","на 48 поездок — 4200 рублей"
"на 10 поездок — 500 ₽","на 10 поездок — 500 рублей"
"на 20 поездок — 1000 ₽","на 20 поездок — 1000 рублей"
"на 30 поездок — 1500 ₽","на 30 поездок — 1500 рублей"
"на 48 поездок — 2400 ₽","на 48 поездок — 2400 рублей"
"При открытии дороги стоимость проезда в одну сторону составляла 50 ₽, что дороже, чем на автобусе, но дешевле, чем на речном такси.","При открытии дороги стоимость проезда в одну сторону составляла 50 рублей, что дороже, чем на автобусе, но дешевле, чем на речном такси."
"Сейчас стоимость одноразового проезда составляет 100 ₽ за человека.","Сейчас стоимость одноразового проезда составляет 100 рублей за человека."
"Первоначально стоимость проекта оценивалась в 550 млн ₽, 302,5 млн планировалось выделить из областного бюджета, к 2011 году стоимость возросла до 850 млн ₽.","Первоначально стоимость проекта оценивалась в 550 млн рублей, 302,5 млн планировалось выделить из областного бюджета, к 2011 году стоимость возросла до 850 млн рублей."
"Общая сумма вложений составила 950 млн ₽, половина из них — кредитные средства.","Общая сумма вложений составила 950 млн рублей, половина из них — кредитные средства."
"На конец 2015 года кредиторская задолженность составляла 348 млн ₽.","На конец 2015 года кредиторская задолженность составляла 348 млн рублей."
"К концу 2016 году кредиторская задолженность снизилась до 6,6 млн ₽, на 31 декабря 2017 года она увеличилась на 9,3 % и составила 7,2 млн ₽.","К концу 2016 году кредиторская задолженность снизилась до 6,6 млн рублей, на 31 декабря 2017 года она увеличилась на 9,3 % и составила 7,2 млн рублей."
"16 декабря 1773 года группа заговорщиков из общества «Сыны свободы», переодевшись индейцами, забралась на корабли и сбросила в воду 342 ящика с чаем, примерно 10 000 фунтов, стоимостью около 1 миллиона $ (по курсу 2003 года).","16 декабря 1773 года группа заговорщиков из общества «Сыны свободы», переодевшись индейцами, забралась на корабли и сбросила в воду 342 ящика с чаем, примерно 10 000 фунтов, стоимостью около 1 миллиона долларов (по курсу 2003 года)."
"Наконец, 15 июня Конгресс постановил превратить массачусетских ополченцев под Бостоном в Континентальную армию со сроком службы в один год, и учредил должность главнокомандующего с жалованьем 500 $ в месяц.","Наконец, 15 июня Конгресс постановил превратить массачусетских ополченцев под Бостоном в Континентальную армию со сроком службы в один год, и учредил должность главнокомандующего с жалованьем 500 долларов в месяц."
"Всю зиму и весну 1777 года Вашингтон пытался увеличить численность Континентальной армии, но всё = к 20 мая в его распоряжении было только 8378 человек пехоты, из которых 2 000 были больны и не пригодны к службе.","Всю зиму и весну 1777 года Вашингтон пытался увеличить численность Континентальной армии, но всё равно к 20 мая в его распоряжении было только 8378 человек пехоты, из которых 2 000 были больны и не пригодны к службе."
"Но всё = из-за смертности и дезертирства армия Вашингтона сократилась до пяти или шести тысяч человек, из которых лишь половина была пригодна к полевой службе.","Но всё равно из-за смертности и дезертирства армия Вашингтона сократилась до пяти или шести тысяч человек, из которых лишь половина была пригодна к полевой службе."
"Доллар продолжал обесцениваться: к началу 1781 года за 1 серебряный $ давали 75 бумажных.","Доллар продолжал обесцениваться: к началу 1781 года за 1 серебряный доллар давали 75 бумажных."
"В следующем году ему пожалованы польский знак «Virtuti Militari» 2-й степени и ежегодная пенсия в 1200 ₽, от которой он, будучи человеком состоятельным и «до денег без пристрастия», отказался.","В следующем году ему пожалованы польский знак «Virtuti Militari» 2-й степени и ежегодная пенсия в 1200 рублей, от которой он, будучи человеком состоятельным и «до денег без пристрастия», отказался."
"За короткий период времени[уточнить] при помощи краудфандинга на изготовление Кубка было собрано более 42 тысяч ₽.","За короткий период времени[уточнить] при помощи краудфандинга на изготовление Кубка было собрано более 42 тысяч рублей."
"Различие состоит в вычитании единицы в знаменателе, в то время как в формуле Ферми-Дирака на этом месте стоит знак +.","Различие состоит в вычитании единицы в знаменателе, в то время как в формуле Ферми-Дирака на этом месте стоит знак плюс."
"— так называемая квантовая концентрация, при которой среднее расстояние между частицами = средней волне де Бройля для идеального газа при заданной температуре.","— так называемая квантовая концентрация, при которой среднее расстояние между частицами равно средней волне де Бройля для идеального газа при заданной температуре."
"Кроме того, по теореме Паули для бозонов волновые функции симметричны, то есть умножение на - единицу координат также не меняет волновую функцию.","Кроме того, по теореме Паули для бозонов волновые функции симметричны, то есть умножение на минус единицу координат также не меняет волновую функцию."
"Но в условиях холодного бункера (температура там в летние месяцы около 10 °) яйцекладка будет всё = невозможна.","Но в условиях холодного бункера (температура там в летние месяцы около 10 градусов) яйцекладка будет всё равно невозможна."
"Сумма по дискретному или ∫ по непрерывному спектру даст полное число частиц в газе:","Сумма по дискретному или интеграл по непрерывному спектру даст полное число частиц в газе:"
"Концерт проводился ежегодно в течение четырёх лет, с его помощью было собрано более миллиона $, и в нём принимали участие многие канадские звёзды, такие например как Rush и Сара Маклахан.","Концерт проводился ежегодно в течение четырёх лет, с его помощью было собрано более миллиона долларов, и в нём принимали участие многие канадские звёзды, такие например как Rush и Сара Маклахан."
"В 2010 году товарооборот между странами составил сумму 2,711 млн $ США.","В 2010 году товарооборот между странами составил сумму 2,711 млн долларов США."
"Бенджамин Валлентина «Бен» Уорли (англ. Benjamin Vallentina "Ben" Warley; 4 сентября 1936, Вашингтон, Округ Колумбия, США — 5 апреля 2002, Филадельфия, штат Пенсильвания, США) — американский профессиональный баскетболист, который отыграл пять сезонов в Национальной баскетбольной ассоциации, + ещё три сезона в Американской баскетбольной ассоциации.","Бенджамин Валлентина «Бен» Уорли (англ. Benjamin Vallentina "Ben" Warley; 4 сентября 1936, Вашингтон, Округ Колумбия, США — 5 апреля 2002, Филадельфия, штат Пенсильвания, США) — американский профессиональный баскетболист, который отыграл пять сезонов в Национальной баскетбольной ассоциации, плюс ещё три сезона в Американской баскетбольной ассоциации."
