question,answer
"Кудрин подписал соглашения о предоставлении компании государственных кредитов на несколько миллионов $.","Кудрин подписал соглашения о предоставлении компании государственных кредитов на несколько миллионов долларов."
"В 2020 году Кудрин назвал масштабы воровства из федерального бюджета: «по уголовным делам — это от силы до двух-трёх миллиардов ₽ в год», при этом «за 2019 год мы (Счётная палата) выявили таких нарушений (финансовых, которые выявляют аудиторы) примерно на 804 миллиарда ₽».","В 2020 году Кудрин назвал масштабы воровства из федерального бюджета: «по уголовным делам — это от силы до двух-трёх миллиардов рублей в год», при этом «за 2019 год мы (Счётная палата) выявили таких нарушений (финансовых, которые выявляют аудиторы) примерно на 804 миллиарда рублей»."
"5 сентября 1992 года Ту-154 авиакомпании Air Ukraine (бортовой № CCCP-85269) со 147 людьми на борту осуществил аварийную посадку «на живот» в Международном аэропорту «Борисполь», причиной которой было не выпущенное (из-за технической неисправности) шасси.","5 сентября 1992 года Ту-154 авиакомпании Air Ukraine (бортовой номер CCCP-85269) со 147 людьми на борту осуществил аварийную посадку «на живот» в Международном аэропорту «Борисполь», причиной которой было не выпущенное (из-за технической неисправности) шасси."
"27 октября 1993 года лёгкий пассажирский самолёт Л-410 (бортовой № UR-67536) во время рулежки в аэропорту Тюмени из-за ошибки пилота въехал в зону ремонтных работ и был повреждён.","27 октября 1993 года лёгкий пассажирский самолёт Л-410 (бортовой номер UR-67536) во время рулежки в аэропорту Тюмени из-за ошибки пилота въехал в зону ремонтных работ и был повреждён."
"4 апреля 1995 года Ан-26 (бортовой № UR-26049), проскочил мимо взлётно-посадочной полосы аэропорта «Палана».","4 апреля 1995 года Ан-26 (бортовой номер UR-26049), проскочил мимо взлётно-посадочной полосы аэропорта «Палана»."
"На возобновление монастыря Императрица Анна Иоанновна пожаловала в 1738 году 1050 ₽, а в 1742 году монастырь посетила императрица Елизавета Петровна и пожаловала 2000 ₽ на постройку новой каменной церкви.","На возобновление монастыря Императрица Анна Иоанновна пожаловала в 1738 году 1050 рублей, а в 1742 году монастырь посетила императрица Елизавета Петровна и пожаловала 2000 рублей на постройку новой каменной церкви."
"В 1756 году Лаврентий испрашивал 1500 ₽ на окончание работ по возобновлению монастыря; архитектор, осматривавший постройки по поручению синодальной канцелярии, нашел, что сумма потребуется в 3000 ₽; тогда синодальная канцелярия решила: «хотя из Златоустова монастыря не бывает платежа денег, но по вниманию к отлично-усердной службе настоятеля Лаврентия, который уже довольно обновил и украсил эту обитель и ревностно печется о ней, дать ему на постройку церкви и прочих зданий 1500 руб., какую сумму он и просил сначала, а касательно остальных денег предложить ему, яко всеприлежному в созидании той обители святой рачителю, искусными и благопристойными мерами искать себе вспомоществования от доброхотных и благочестивых дателей».","В 1756 году Лаврентий испрашивал 1500 рублей на окончание работ по возобновлению монастыря; архитектор, осматривавший постройки по поручению синодальной канцелярии, нашел, что сумма потребуется в 3000 рублей; тогда синодальная канцелярия решила: «хотя из Златоустова монастыря не бывает платежа денег, но по вниманию к отлично-усердной службе настоятеля Лаврентия, который уже довольно обновил и украсил эту обитель и ревностно печется о ней, дать ему на постройку церкви и прочих зданий 1500 руб., какую сумму он и просил сначала, а касательно остальных денег предложить ему, яко всеприлежному в созидании той обители святой рачителю, искусными и благопристойными мерами искать себе вспомоществования от доброхотных и благочестивых дателей»."
"В 1976 году она пожертвовала 10 000 $ на восстановление городского фонтана в Мэдисоне, городе её детства.","В 1976 году она пожертвовала 10 000 долларов на восстановление городского фонтана в Мэдисоне, городе её детства."
"В России ситуация иная: по состоянию на 2018 год там было 69 % директоров-женщин, хотя доля женщин среди учителей всё = выше: 85 %.","В России ситуация иная: по состоянию на 2018 год там было 69 % директоров-женщин, хотя доля женщин среди учителей всё равно выше: 85 %."
"Соглашение было подписано 1 сентября, оно рассчитано на год, максимальные расходы по контракту ограничены 70 000 000 $.","Соглашение было подписано 1 сентября, оно рассчитано на год, максимальные расходы по контракту ограничены 70 000 000 долларов."
