question,answer
"Находится на правобережье Вятки на расстоянии примерно 2 км на с. по прямой от поселка Мурыгино.","Находится на правобережье Вятки на расстоянии примерно 2 километра на север по прямой от поселка Мурыгино."
"24 июля 2008 года Уайлд победила Вэлвит Скай за 5 с, Скай потребовала начать матч сначала и Уайлд победила её ещё раз, на этот раз за 20 с.","24 июля 2008 года Уайлд победила Вэлвит Скай за 5 секунд, Скай потребовала начать матч сначала и Уайлд победила её ещё раз, на этот раз за 20 секунд."
"д. находилась в северо-восточной части области, в подзоне южной тайги,на берегу реки Сивоза, в 20 км к северу от города Любима, административного центра района.","Деревня находилась в северо-восточной части области, в подзоне южной тайги,на берегу реки Сивоза, в 20 километрах к северу от города Любима, административного центра района."
"В 1851 г. Нойбург унаследовала связ. со Шлоссерами семья Бернус: Фридрих Александр фон Бернус (1838—1908), а затем и его приёмный сын Александр фон Бернус (1880—1965), вплоть до 1926 г. продолжавшие традиции салона, посетителями которого в разное время были Карл Мария фон Вб, Йозеф Гёррес, бар. фом Штайн, Иоганн Брамс, Йозеф фон Эйхендорф, Клеменс Брентано, Рудольф Штайнер, Герман Гессе, Штефан Георге, Райнер Мария Рильке и Клаус Манн.","В 1851 г. Нойбург унаследовала связанная со Шлоссерами семья Бернус: Фридрих Александр фон Бернус (1838—1908), а затем и его приёмный сын Александр фон Бернус (1880—1965), вплоть до 1926 г. продолжавшие традиции салона, посетителями которого в разное время были Карл Мария фон Вебер, Йозеф Гёррес, барон фом Штайн, Иоганн Брамс, Йозеф фон Эйхендорф, Клеменс Брентано, Рудольф Штайнер, Герман Гессе, Штефан Георге, Райнер Мария Рильке и Клаус Манн."
"Впервые заявил о себе на международном уровне в сезоне 2010 года, когда вошёл в состав китайской сборной и выступил на юниорском азиатском первенстве в Ханое, где в зачёте ходьбы на 10 000 м превзошёл всех соперников и завоевал золотую медаль.","Впервые заявил о себе на международном уровне в сезоне 2010 года, когда вошёл в состав китайской сборной и выступил на юниорском азиатском первенстве в Ханое, где в зачёте ходьбы на 10 000 метров превзошёл всех соперников и завоевал золотую медаль."
"с. находится в центральной части Кировской области, в подзоне южной тайги, к югу от реки Суводи, на расстоянии приблизительно 15 км (по прямой) к юго-востоку от посёлка городского типа Верхошижемье, административного центра района.","Село находится в центральной части Кировской области, в подзоне южной тайги, к югу от реки Суводи, на расстоянии приблизительно 15 километров (по прямой) к юго-востоку от посёлка городского типа Верхошижемье, административного центра района."
"Абсолютная выс. — 219 м над уровнем моря.","Абсолютная высота — 219 метров над уровнем моря."
"Самборская икона Божьей Матери или Мать Русского края — чудотворная коронованная икона Богородицы, одигитрия, находится в церкви Рождества Пречистой Девы Марии в г. Самборе, была нарисована масляными красками на кипарисовой доске толщиной в полтора см, имеет вверху надпись латинскими буквами лат.","Самборская икона Божьей Матери или Мать Русского края — чудотворная коронованная икона Богородицы, одигитрия, находится в церкви Рождества Пречистой Девы Марии в г. Самборе, была нарисована масляными красками на кипарисовой доске толщиной в полтора сантиметра, имеет вверху надпись латинскими буквами лат."
"Лабиринты окопов и траншей с каждым днём всё увеличивались, десятки км железных дорог — обычных и узкоколейных на паровозной и конной тяге — были построены у Сморгони с обеих сторон фронта, в т. числе 19-километровая ветка от станции Пруды к посту «648-я верста» дороги Молодечно — Лида.","Лабиринты окопов и траншей с каждым днём всё увеличивались, десятки километров железных дорог — обычных и узкоколейных на паровозной и конной тяге — были построены у Сморгони с обеих сторон фронта, в том числе 19-километровая ветка от станции Пруды к посту «648-я верста» дороги Молодечно — Лида."
"Также были наведены многочисленные мосты и паромные переправы через Вилию, проложены десятки км гатей в болотах на с. от Сморгони до озера Вишневское.","Также были наведены многочисленные мосты и паромные переправы через Вилию, проложены десятки километров гатей в болотах на север от Сморгони до озера Вишневское."
