question,answer
"В 2018 году Группа «Атомэнергопрома» получила совокупную прибыль в 228,5 млрд ₽ (на 116,4 млрд ₽ больше, чем в 2017 году) по международным стандартам отчётности.","В 2018 году Группа «Атомэнергопрома» получила совокупную прибыль в 228,5 млрд рублей (на 116,4 млрд рублей больше, чем в 2017 году) по международным стандартам отчётности."
"Консолидированная выручка «Атомэнергопрома» составила 769,5 млрд ₽ (+3 % за 2018 год).","Консолидированная выручка «Атомэнергопрома» составила 769,5 млрд рублей (+3 % за 2018 год)."
"Общий ущерб, нанесённый пожаром, составил свыше 5 млн ₽ золотом.","Общий ущерб, нанесённый пожаром, составил свыше 5 млн рублей золотом."
"В городе имеются: частная и железнодорожная пристани с ледником для масла на 820 тонн, 8 религиозных учреждений (5 православных, 1 католическая, 1 старообрядческая церкви, 1 еврейская молельня), более 40 учебных заведений (в том числе реальное училище, женская гимназия, четырёхклассное городское, двуклассное железнодорожное и начальные училища), типография, 4 библиотеки, 4 больницы, амбулатории, казначейство, отделения 6 банков и 2 агентства земельных банков (обороты банков около 250 млн ₽), биржа, заводы (Военно-сухарный, чугунолитейные «Т-ва Труд» и «Верман и Петерс», кожевенные, мыловаренные, лесопильные и др.).","В городе имеются: частная и железнодорожная пристани с ледником для масла на 820 тонн, 8 религиозных учреждений (5 православных, 1 католическая, 1 старообрядческая церкви, 1 еврейская молельня), более 40 учебных заведений (в том числе реальное училище, женская гимназия, четырёхклассное городское, двуклассное железнодорожное и начальные училища), типография, 4 библиотеки, 4 больницы, амбулатории, казначейство, отделения 6 банков и 2 агентства земельных банков (обороты банков около 250 млн рублей), биржа, заводы (Военно-сухарный, чугунолитейные «Т-ва Труд» и «Верман и Петерс», кожевенные, мыловаренные, лесопильные и др.)."
"Географические координаты города: 55 ° северной широты, 83 ° восточной долготы.","Географические координаты города: 55 градусов северной широты, 83 градуса восточной долготы."
"Летом вода прогревается до 20-23 °.","Летом вода прогревается до 20-23 градусов."
"Согласно исследованиям компании, валовой продукт Новосибирска составил 15 млрд $ (15 тыс. $ на одного жителя).","Согласно исследованиям компании, валовой продукт Новосибирска составил 15 млрд долларов (15 тыс. долларов на одного жителя)."
"Согласно исследованию фонда «Институт экономики города», в 2015 году валовой городской продукт Новосибирской агломерации составил 50,8 млрд международных $ (третье место по стране) или 21,6 тыс. международных $ в пересчёте на одного жителя агломерации.","Согласно исследованию фонда «Институт экономики города», в 2015 году валовой городской продукт Новосибирской агломерации составил 50,8 млрд международных долларов (третье место по стране) или 21,6 тыс. международных долларов в пересчёте на одного жителя агломерации."
"Валовой городской продукт (ВГП) города составил 748 млрд ₽.","Валовой городской продукт (ВГП) города составил 748 млрд рублей."
"В расчёте на душу населения ВГП составил 483,2 тыс. ₽ (36 место).","В расчёте на душу населения ВГП составил 483,2 тыс. рублей (36 место)."
"Институт территориального планирования «Урбаника» в 2013 году оценил общий объём промышленного производства города в 158,3 млрд ₽, поместив Новосибирск на 43 место в рейтинге промышленных городов России.","Институт территориального планирования «Урбаника» в 2013 году оценил общий объём промышленного производства города в 158,3 млрд рублей, поместив Новосибирск на 43 место в рейтинге промышленных городов России."
"Оборот розничной торговли за 2016 год составил 278 365,3 млн ₽.","Оборот розничной торговли за 2016 год составил 278 365,3 млн рублей."
"Восточная техника, Мясотрейдинг, компания «Капитал», Посуда-Центр, топливная компания «Нафтатранс +», Геба, УралСибТрейд Сибирский регион, Металлсервис-Сибирь, ГК «Обувь России», ТД «Минский тракторный завод-Сибирь», компания «Колорлон», Сибпромснаб, Рич Фэмили, ДМС, СНС Новосибирск, Новосибирская аптечная сеть, Парфюм Новосибирск, компания «Электрокомплектсервис», ДНС Дельта-Новосибирск, Альфа Ритейл Компани, Сибметснаб, Новосибирская Топливная Корпорация, Агротрак, Химметалл, МСВ-Новосибирск, Новый Мир, МегаТорг (Быстроном), Газпромнефть-Терминал, АС-Система Комплекс, Лаки Стар, Сибтракскан, Приосколье-Сибирь, Сармат.","Восточная техника, Мясотрейдинг, компания «Капитал», Посуда-Центр, топливная компания «Нафтатранс плюс», Геба, УралСибТрейд Сибирский регион, Металлсервис-Сибирь, ГК «Обувь России», ТД «Минский тракторный завод-Сибирь», компания «Колорлон», Сибпромснаб, Рич Фэмили, ДМС, СНС Новосибирск, Новосибирская аптечная сеть, Парфюм Новосибирск, компания «Электрокомплектсервис», ДНС Дельта-Новосибирск, Альфа Ритейл Компани, Сибметснаб, Новосибирская Топливная Корпорация, Агротрак, Химметалл, МСВ-Новосибирск, Новый Мир, МегаТорг (Быстроном), Газпромнефть-Терминал, АС-Система Комплекс, Лаки Стар, Сибтракскан, Приосколье-Сибирь, Сармат."
"В 2018 году общая стоимость проекта оценивалась приблизительно в 600 млн ₽.","В 2018 году общая стоимость проекта оценивалась приблизительно в 600 млн рублей."
"Движение поездов городской электрички было открыто 8 июля 2021 года, первое и единственное направление соединило станцию «Новосибирск-Восточный» с «Пригородным простором» — новой остановочной платформой, расположенной рядом с микрорайоном Чистая Слобода и селом Толмачёво, стоимость поездки составила 26 ₽.","Движение поездов городской электрички было открыто 8 июля 2021 года, первое и единственное направление соединило станцию «Новосибирск-Восточный» с «Пригородным простором» — новой остановочной платформой, расположенной рядом с микрорайоном Чистая Слобода и селом Толмачёво, стоимость поездки составила 26 рублей."
"На разработку игры было затрачено около 40 миллионов $ США.","На разработку игры было затрачено около 40 миллионов долларов США."
"В 2009 году перешёл в южнокорейский клуб K-League «Инчхон Юнайтед» за 2 миллиона $.","В 2009 году перешёл в южнокорейский клуб K-League «Инчхон Юнайтед» за 2 миллиона долларов."
"Предпоследняя книга в этой серии воссоединяет сирот Бодлер с множеством персонажей из предыдущих приключений, когда они собираются в отеле «Развязка», № в котором организованы в соответствии с десятичной системой Дьюи.","Предпоследняя книга в этой серии воссоединяет сирот Бодлер с множеством персонажей из предыдущих приключений, когда они собираются в отеле «Развязка», номера в котором организованы в соответствии с десятичной системой Дьюи."
"В 1946 году в Саратове у Мстислава и Вальтера состоялся дебют на сцене, но в 1947 году во время гастролей по Дальнему Востоку их № решили расформировать.","В 1946 году в Саратове у Мстислава и Вальтера состоялся дебют на сцене, но в 1947 году во время гастролей по Дальнему Востоку их номер решили расформировать."
"Однако после выступления перед комиссией в Московском цирке № братьев решили оставить.","Однако после выступления перед комиссией в Московском цирке номер братьев решили оставить."
"В 1954 году братья создали № «Акробаты-вольтижёры», в котором выполняли уникальные трюки, которые не повторил пока[когда?] никто.","В 1954 году братья создали номер «Акробаты-вольтижёры», в котором выполняли уникальные трюки, которые не повторил пока[когда?] никто."
"За этот № на VI Всемирном фестивале молодежи и студентов в Москве братьям вручили четыре золотые медали.","За этот номер на VI Всемирном фестивале молодежи и студентов в Москве братьям вручили четыре золотые медали."
"В 1964 году сделал новый № «Акробаты-вольтижёры на лошадях», в котором акробаты-вольтижёры выполняли трюки на лошадях.","В 1964 году сделал новый номер «Акробаты-вольтижёры на лошадях», в котором акробаты-вольтижёры выполняли трюки на лошадях."
"Этот №, по сути, создавший новый жанр в цирке, во время гастролей во Франции и Японии был удостоен высших мировых призов.","Этот номер, по сути, создавший новый жанр в цирке, во время гастролей во Франции и Японии был удостоен высших мировых призов."
"В клубе Рибери получил 7-й № и дебютировал 30 июля 2005 года в матче против «Бордо», проигранном со счётом 0:2, в котором получил жёлтую карточку.","В клубе Рибери получил 7-й номер и дебютировал 30 июля 2005 года в матче против «Бордо», проигранном со счётом 0:2, в котором получил жёлтую карточку."
"В новой команде Рибери получил № 7, который освободился после того, как в конце прошедшего сезона завершил карьеру Мехмет Шолль.","В новой команде Рибери получил номер 7, который освободился после того, как в конце прошедшего сезона завершил карьеру Мехмет Шолль."
"Найти наименьший №","Найти наименьший номер"
"По мнению историков И. Г. Спасского и В. Л. Янина, наиболее важное значение имело превращение ₽ из слитка серебра в единую счётную денежную единицу на территории всей Руси.","По мнению историков И. Г. Спасского и В. Л. Янина, наиболее важное значение имело превращение рубля из слитка серебра в единую счётную денежную единицу на территории всей Руси."
"В этот период истории материального воплощения ₽ не существовало.","В этот период истории материального воплощения рубля не существовало."
"В 1698 году счетный рубль, официально составлявший 100 копеек, или, по распространенному в народе счету 200 денег, был в очередной раз девальвирован, составляя около 70% от счетного ₽ царевны Софьи или всего 41% от счетного ₽ времен Елены Глинской.","В 1698 году счетный рубль, официально составлявший 100 копеек, или, по распространенному в народе счету 200 денег, был в очередной раз девальвирован, составляя около 70% от счетного рубля царевны Софьи или всего 41% от счетного рубля времен Елены Глинской."
