question,answer
"М. В. Ломоносов, хорошо знавший телескопы Исаака Н и Джеймса Грегори, предложил свою конструкцию.","М. В. Ломоносов, хорошо знавший телескопы Исаака Ньютона и Джеймса Грегори, предложил свою конструкцию."
"Он пишет в конце весны — начале лета 1762 года: «Я всегда лелеял желание, чтобы эти превосходные небесные орудия, коих изобретение составляет славу Н и Грегори, не по размерам только, как это обычно происходило, возрастали, но получили и иные, почерпнутые из сокровищ оптики усовершенствования».","Он пишет в конце весны — начале лета 1762 года: «Я всегда лелеял желание, чтобы эти превосходные небесные орудия, коих изобретение составляет славу Ньютона и Грегори, не по размерам только, как это обычно происходило, возрастали, но получили и иные, почерпнутые из сокровищ оптики усовершенствования»."
"Бронза, выс. 2 м, изображает юного учёного, в его руке — уменьшенная копия главного здания МГУ.","Бронза, высота 2 метра, изображает юного учёного, в его руке — уменьшенная копия главного здания МГУ."
"д. находится в северо-западной части Брянской области, в зоне хвойно-широколиственных лесов, в пределах северо-восточной части Приднепровской низменности, на берегах реки Аленки, при автодороге 15Н-1105, на расстоянии примерно 12 км (по прямой) к юго-юго-западу от посёлка городского типа Клетня, административного центра района.","Деревня находится в северо-западной части Брянской области, в зоне хвойно-широколиственных лесов, в пределах северо-восточной части Приднепровской низменности, на берегах реки Аленки, при автодороге 15Н-1105, на расстоянии примерно 12 километров (по прямой) к юго-юго-западу от посёлка городского типа Клетня, административного центра района."
"Абсолютная выс. — 186 м над уровнем моря.","Абсолютная высота — 186 метров над уровнем моря."
"пл. острова 2,43 квадратных км.","Площадь острова 2,43 квадратных километра."
"На острове организован заказник «Каф-оф-Идей» площадью 2,38 квадратных км.","На острове организован заказник «Каф-оф-Идей» площадью 2,38 квадратных километра."
"Являлся Rothschild Distinguished Visiting Professor в кембриджском Институте Исаака Н.","Являлся Rothschild Distinguished Visiting Professor в кембриджском Институте Исаака Ньютона."
"Урочище находится в северо-восточной части области, в подзоне средней тайги, на правом берегу реки Павложьей, при автодороге 19К-006, на расстоянии примерно 9 км (по прямой) к востоко-юго-востоку от города вел. Устюг, административного центра района.","Урочище находится в северо-восточной части области, в подзоне средней тайги, на правом берегу реки Павложьей, при автодороге 19К-006, на расстоянии примерно 9 километров (по прямой) к востоко-юго-востоку от города Великий Устюг, административного центра района."
"Средние высоты на территории посёлка составляют ок. 280 м над уровнем моря.","Средние высоты на территории посёлка составляют около 280 метров над уровнем моря."
"В 1962 г стал чемпионом Франции в беге на 400 м.","В 1962 году стал чемпионом Франции в беге на 400 метров."
"В эстафете 4х400 м сборная Франции, за которую также выступали Мишель Ибло, Бернар Мартен и Жан-Пьер Боккардо, заняла 3-е место в полуфинале с результатом 3 минуты 7,5 с и последнее, 8-е место в финале (3.07,4).","В эстафете 4х400 метров сборная Франции, за которую также выступали Мишель Ибло, Бернар Мартен и Жан-Пьер Боккардо, заняла 3-е место в полуфинале с результатом 3 минуты 7,5 секунды и последнее, 8-е место в финале (3.07,4)."
"Бег на 400 м — 47,1 (1962)","Бег на 400 метров — 47,1 (1962)"
"Обессиленные путники уже падали через каждые пятьдесят м.","Обессиленные путники уже падали через каждые пятьдесят метров."
"д. находится в северной части Новгородской области, в подзоне южной тайги, на правом берегу реки Мсты, к северу от автодороги М11, на расстоянии примерно 32 км (по прямой) к юго-востоку от города м. Вишера, административного центра района.","Деревня находится в северной части Новгородской области, в подзоне южной тайги, на правом берегу реки Мсты, к северу от автодороги М11, на расстоянии примерно 32 километров (по прямой) к юго-востоку от города Малая Вишера, административного центра района."
"Абсолютная выс. — 66 м над уровнем моря.","Абсолютная высота — 66 метров над уровнем моря."
"д. находится в центральной части Тамбовской области, в лесостепной зоне, на берегах реки Сухая Липовица, на расстоянии примерно 30 км (по прямой) к юго-западу от города Тамбова, административного центра области и района.","Деревня находится в центральной части Тамбовской области, в лесостепной зоне, на берегах реки Сухая Липовица, на расстоянии примерно 30 километров (по прямой) к юго-западу от города Тамбова, административного центра области и района."
"Абсолютная выс. — 138 м над уровнем моря.","Абсолютная высота — 138 метров над уровнем моря."
"Объект находится приблизительно в км к югу от «Строгино», рядом с одноимённым селом и усадьбой.","Объект находится приблизительно в километре к югу от «Строгино», рядом с одноимённым селом и усадьбой."
