question,answer
"В период «бесфаворитья» 1779—1780 гг. наряду с Левашовым, Стахиевым и Страховым считался любимцем императрицы, от которой получил (по данным, приводимым у К. Валишевского) в общей сложности 300000 ₽.","В период «бесфаворитья» 1779—1780 гг. наряду с Левашовым, Стахиевым и Страховым считался любимцем императрицы, от которой получил (по данным, приводимым у К. Валишевского) в общей сложности 300000 рублей."
"Средний годовой доход домохозяйства составлял 32 083 $, а средний годовой доход семьи — 39 286 $.","Средний годовой доход домохозяйства составлял 32 083 доллара, а средний годовой доход семьи — 39 286 долларов."
"Средний доход мужчин — 25 278 $, в то время как у женщин — 20 982.","Средний доход мужчин — 25 278 долларов, в то время как у женщин — 20 982."
"Доход на душу населения составил 16 960 $.","Доход на душу населения составил 16 960 долларов."
"Но город купил у Лонг-Айлендской железной дороги этот участок за 8 миллионов $ и потратил ещё 47,5 миллионов на перестройку линии под стандарты метрополитена, что планировалось сделать ещё в конце 1920-х.","Но город купил у Лонг-Айлендской железной дороги этот участок за 8 миллионов долларов и потратил ещё 47,5 миллионов на перестройку линии под стандарты метрополитена, что планировалось сделать ещё в конце 1920-х."
"23 сентября 1858 года был подписан контракт с купцом 1-й гильдии С. Г. Кудрявцевым (до этого уже построившим для флота фрегат «Аскольд»), который взялся построить корпус нового фрегата за 170 000 ₽ серебром.","23 сентября 1858 года был подписан контракт с купцом 1-й гильдии С. Г. Кудрявцевым (до этого уже построившим для флота фрегат «Аскольд»), который взялся построить корпус нового фрегата за 170 000 рублей серебром."
"Однако в дальнейшем их переадресовали на броненосный фрегат «Севастополь», а механизмы «Севастополя» стоимостью 400 000 ₽ производства Механического и литейного завода Берда передали на «Александр Невский».","Однако в дальнейшем их переадресовали на броненосный фрегат «Севастополь», а механизмы «Севастополя» стоимостью 400 000 рублей производства Механического и литейного завода Берда передали на «Александр Невский»."
"В 1869 году остатки фрегата продали на слом за 16 108 ₽, но к работам по утилизации судна новые владельцы по каким-то причинам приступили только в 1900 году.","В 1869 году остатки фрегата продали на слом за 16 108 рублей, но к работам по утилизации судна новые владельцы по каким-то причинам приступили только в 1900 году."
"Пентагон уже оплатил 399 миллионов $ американской фирме General Atomics для запуска производства.","Пентагон уже оплатил 399 миллионов долларов американской фирме General Atomics для запуска производства."
"в начале 2003 года стоимость одного БПЛА составляла 3,2 млн $ США","в начале 2003 года стоимость одного БПЛА составляла 3,2 млн долларов США"
"в 2011 году стоимость одного БПЛА составляла 4,03 млн $ США, а стоимость одного часа полёта — 3234 $ США.","в 2011 году стоимость одного БПЛА составляла 4,03 млн долларов США, а стоимость одного часа полёта — 3234 доллара США."
