question,answer
"В январе 2023 года произошла новая утечка исходных кодов сервисов Яндекса размером ок. 45 ГБ в сжатом виде.","В январе 2023 года произошла новая утечка исходных кодов сервисов Яндекса размером около 45 гигабайт в сжатом виде."
"При этом крупные установки достигают нескольких м в длину.","При этом крупные установки достигают нескольких метров в длину."
"Во время набора высоты в 15:59 на высоте 5 м самолёт задел левым крылом здание радиомаяка, врезался в берег реки Туношонки, разрушился и сгорел.","Во время набора высоты в 15:59 на высоте 5 метров самолёт задел левым крылом здание радиомаяка, врезался в берег реки Туношонки, разрушился и сгорел."
"В 15:58:36 MSK в простых метеоусловиях самолёт начал разбег по взлётной полосе ярославского аэропорта Туношна, во время разбега выкатился за пределы ВПП и произвёл взлёт с грунта в 400 м за её торцом.","В 15:58:36 MSK в простых метеоусловиях самолёт начал разбег по взлётной полосе ярославского аэропорта Туношна, во время разбега выкатился за пределы ВПП и произвёл взлёт с грунта в 400 метрах за её торцом."
"Полёт длился неск. с — в 15:59 лайнер набрал высоту не более 5-6 м, затем левым крылом столкнулся с радиомаяком, врезался в землю на берегу реки Туношонка (недалеко от её впадения в Волгу), разрушился и сгорел.","Полёт длился несколько секунд — в 15:59 лайнер набрал высоту не более 5-6 метров, затем левым крылом столкнулся с радиомаяком, врезался в землю на берегу реки Туношонка (недалеко от её впадения в Волгу), разрушился и сгорел."
"Взлёт выполнялся с магнитным курсом 233° в простых метеоусловиях (ветер сев. 360°, 3 м/сек, видимость 10 км, облачность значительная слоисто-кучевая с высотой нижней границы 1000 м, температура воздуха +18 °C).","Взлёт выполнялся с магнитным курсом 233° в простых метеоусловиях (ветер северный 360°, 3 м/сек, видимость 10 километров, облачность значительная слоисто-кучевая с высотой нижней границы 1000 метров, температура воздуха +18 °C)."
"фактич. отрыв самолёта произошёл с поверхности грунта на удалении 400 м от торца ВПП, за её пределами; максимальная выс., которую набрал самолёт — 5–6 м.","Фактический отрыв самолёта произошёл с поверхности грунта на удалении 400 метров от торца ВПП, за её пределами; максимальная высота, которую набрал самолёт — 5–6 метров."
"В 15:59:54, через 1 минуту и 18 с с начала разгона по ВПП, лайнер задел левым крылом радиомаяк антенной системы курсового радиомаяка (КРМ), расположенной в 435 м от торца ВПП и имеющей высоту ок. 3 м, с контейнером КРМ, затем с интенсивным креном влево столкнулся с основанием огней подхода (светосигнальная система аэродрома) и деревьями и врезался в землю примерно в 600 м от торца ВПП, полностью разрушился и сгорел.","В 15:59:54, через 1 минуту и 18 секунд с начала разгона по ВПП, лайнер задел левым крылом радиомаяк антенной системы курсового радиомаяка (КРМ), расположенной в 435 метрах от торца ВПП и имеющей высоту около 3 метров, с контейнером КРМ, затем с интенсивным креном влево столкнулся с основанием огней подхода (светосигнальная система аэродрома) и деревьями и врезался в землю примерно в 600 метрах от торца ВПП, полностью разрушился и сгорел."
"Основная ч. фрагментов самолёта была разбросана на расстоянии 800—900 м от торца взлётной полосы, другая ч. обломков (вкл. относительно уцелевшую хвостовую ч. лайнера) упала в реку Туношонка.","Основная часть фрагментов самолёта была разбросана на расстоянии 800—900 метров от торца взлётной полосы, другая часть обломков (включая относительно уцелевшую хвостовую часть лайнера) упала в реку Туношонка."
"Через 6 с двигателям был установлен взлётный режим работы.","Через 6 секунд двигателям был установлен взлётный режим работы."
"В результате самолёт выкатился за пределы ВПП на 450 м и оторвался от земли только после того, как угол отклонения руля высоты составил ок. 13° (в два раза больше, чем при штатном взлёте), а стабилизатор был переведён в положение 10°.","В результате самолёт выкатился за пределы ВПП на 450 метров и оторвался от земли только после того, как угол отклонения руля высоты составил около 13° (в два раза больше, чем при штатном взлёте), а стабилизатор был переведён в положение 10°."
"После отрыва от земли пикирующий момент исчез, самолёт вышел на закритические углы атаки (увеличение угла тангажа с 7° до 19° за 2 с), поднялся на высоту 5—6 м и начал сваливаться влево.","После отрыва от земли пикирующий момент исчез, самолёт вышел на закритические углы атаки (увеличение угла тангажа с 7° до 19° за 2 секунды), поднялся на высоту 5—6 метров и начал сваливаться влево."
"Столкновение с землёй произошло через 120 м практически по продолженной оси ВПП.","Столкновение с землёй произошло через 120 метров практически по продолженной оси ВПП."
"В момент схода самолёта с ВПП и перекладки стабилизатора в положение ~10 ° КВС, вероятно, попытался прекратить взлёт, отклонив колонку штурвала «от себя», но после фразы второго пилота: «Чё ты делаешь-то?!» вернул штурвал в прежнее положение.","В момент схода самолёта с ВПП и перекладки стабилизатора в положение ~10 градусов КВС, вероятно, попытался прекратить взлёт, отклонив колонку штурвала «от себя», но после фразы второго пилота: «Чё ты делаешь-то?!» вернул штурвал в прежнее положение."
"Однако из-за приёмистости двигателей взлётные обороты восстановились только через 6 с.","Однако из-за приёмистости двигателей взлётные обороты восстановились только через 6 секунд."
"Более того, в прессе даже появились фотографии тормозного следа длиной всего 100 м.","Более того, в прессе даже появились фотографии тормозного следа длиной всего 100 метров."
"По его словам: «некая тормозящая сила при положении штурвала „на себя“ в положении 10 ° не давала увеличить угол атаки, к-рый должен был составлять ок. 10-12 ° для нормального взлёта.","По его словам: «некая тормозящая сила при положении штурвала „на себя“ в положении 10 градусов не давала увеличить угол атаки, который должен был составлять около 10-12 градусов для нормального взлёта."
"В ходе эксперимента было установлено, что для удержания руля высоты в положении 13° требуется усилие в 64 кг.","В ходе эксперимента было установлено, что для удержания руля высоты в положении 13° требуется усилие в 64 килограмма."
"д. расположена в южной части Архангельской области, в таёжной зоне, в пределах северной части Русской равнины, в 36 км на с. от города Шенкурска, на левом берегу реки Ледь, притока Ваги.","Деревня расположена в южной части Архангельской области, в таёжной зоне, в пределах северной части Русской равнины, в 36 километрах на север от города Шенкурска, на левом берегу реки Ледь, притока Ваги."
"Деревья образуют навесы высотой от 8 до 20 м.","Деревья образуют навесы высотой от 8 до 20 метров."
"Полулиственные леса встречаются выше уровня паводка и образуют полог высотой от 12 до 15 м.","Полулиственные леса встречаются выше уровня паводка и образуют полог высотой от 12 до 15 метров."
"«Matorrales» — это листопадные и полулиственные кустарники высотой от 5 до 8 м, которые покрывают большие площади в центральных венесуэльских льяанос и могут быть формой вторичной растительности на территориях, которые раньше были сухими лиственными лесами.","«Matorrales» — это листопадные и полулиственные кустарники высотой от 5 до 8 метров, которые покрывают большие площади в центральных венесуэльских льяанос и могут быть формой вторичной растительности на территориях, которые раньше были сухими лиственными лесами."
"Поскольку улицы Шмидта расположены в нескольких городах на разных берегах Таганрогского залива, журналисты говорят о неформальной «самой широкой улице в мире» (десятки км) (официальным рекордсменом — 110 м — является улица 9 июля в Буэнос-Айресе, Аргентина).","Поскольку улицы Шмидта расположены в нескольких городах на разных берегах Таганрогского залива, журналисты говорят о неформальной «самой широкой улице в мире» (десятки километров) (официальным рекордсменом — 110 метров — является улица 9 июля в Буэнос-Айресе, Аргентина)."
"д. находится в центральной части Новгородской области, в зоне хвойно-широколиственных лесов, при автодороге А122 и железнодорожной линии Санкт-Петербург — Бологое, на расстоянии примерно 2 км (по прямой) к западу от Окуловки, административного центра района.","Деревня находится в центральной части Новгородской области, в зоне хвойно-широколиственных лесов, при автодороге А122 и железнодорожной линии Санкт-Петербург — Бологое, на расстоянии примерно 2 километров (по прямой) к западу от Окуловки, административного центра района."
"Абсолютная выс. — 159 м над уровнем моря.","Абсолютная высота — 159 метров над уровнем моря."
"Алгоритмические системы при перестановке заявок могут выставлять по неск. заявок в с по одному инструменту.","Алгоритмические системы при перестановке заявок могут выставлять по несколько заявок в секунду по одному инструменту."
"В словацких Татрах обнаружен на высоте 1700—1900 м над уровнем моря на гравилате горном (Geum montanum).","В словацких Татрах обнаружен на высоте 1700—1900 метров над уровнем моря на гравилате горном (Geum montanum)."
