question,answer
"Находится на расстоянии 33 км от города Челябинска, областного центра Челябинской области.","Находится на расстоянии 33 километрах от города Челябинска, областного центра Челябинской области."
"д. находится на западе центральной части Кировской области, в подзоне южной тайги, вблизи истока реки Берёзовки, на расстоянии приблизительно 32 км (по прямой) к северо-северо-востоку от города Орлова, административного центра района.","Деревня находится на западе центральной части Кировской области, в подзоне южной тайги, вблизи истока реки Берёзовки, на расстоянии приблизительно 32 километров (по прямой) к северо-северо-востоку от города Орлова, административного центра района."
"Абсолютная выс. — 172 м над уровнем моря.","Абсолютная высота — 172 метра над уровнем моря."
"форсированный (за время, меньшее 10 с) боевой разворот;","форсированный (за время, меньшее 10 секунд) боевой разворот;"
"После появления знаменитой академии наук Багдада под названием "Б аль-Хикма", из территории Центральной Азии начали выходить множество великих ученых математиков, физиков, химиков, астрономов, философов, а также поэтов и мыслителей.","После появления знаменитой академии наук Багдада под названием "Байт аль-Хикма", из территории Центральной Азии начали выходить множество великих ученых математиков, физиков, химиков, астрономов, философов, а также поэтов и мыслителей."
"В Уганде эта редкая птица встречается на высоте от 2100 до 2200 м в лесу Бвинди.","В Уганде эта редкая птица встречается на высоте от 2100 до 2200 метров в лесу Бвинди."
"Вертикальное строение главного нефа высотой 80 футов (24 м) трёхъярусное: нижняя аркада, трифорий и верх. ярус с окнами.","Вертикальное строение главного нефа высотой 80 футов (24 метра) трёхъярусное: нижняя аркада, трифорий и верхний ярус с окнами."
"Собор длиной 122 м и высотой 35 м на 8 м превосходил самый высокий на тот момент Ланский собор.","Собор длиной 122 метра и высотой 35 метров на 8 метров превосходил самый высокий на тот момент Ланский собор."
"дл. хоров довольно велика по отношению к общей длине собора и составляет 28 м, шир. — 12 м.","Длина хоров довольно велика по отношению к общей длине собора и составляет 28 метров, ширина — 12 метров."
"В 1210-х гг строили зап. фасад, во второй четверти XIII вв. — башни (69 м), во второй половине того же вв. — трансепт в нынешнем виде.","В 1210-х годах строили западный фасад, во второй четверти XIII века — башни (69 метров), во второй половине того же века — трансепт в нынешнем виде."
"Специализируется в беге на 100, 200 и 400 м.","Специализируется в беге на 100, 200 и 400 метров."
"Действующая мировая рекордсменка в эстафетной дистанции 4×200 м (вместе с Екатериной Кондратьевой, Ириной Хабаровой и Юлией Печёнкиной).","Действующая мировая рекордсменка в эстафетной дистанции 4×200 метров (вместе с Екатериной Кондратьевой, Ириной Хабаровой и Юлией Печёнкиной)."
"12 сентября 2010 года Юлия вышла замуж за экс-бегуна на 400 м Ивана Бузолина.","12 сентября 2010 года Юлия вышла замуж за экс-бегуна на 400 метров Ивана Бузолина."
"Карнин борется в полулегкой весовой категории до 66 кг с 2015 года.","Карнин борется в полулегкой весовой категории до 66 килограммов с 2015 года."
"д. находится на северо-западе Нижегородской области, в зоне хвойно-широколиственных лесов, на левом берегу реки Хохломки, к югу от автодороги 22Н-2305, на расстоянии приблизительно 18 км (по прямой) к юго-юго-востоку (SSE) от Ковернина, административного центра округа.","Деревня находится на северо-западе Нижегородской области, в зоне хвойно-широколиственных лесов, на левом берегу реки Хохломки, к югу от автодороги 22Н-2305, на расстоянии приблизительно 18 километров (по прямой) к юго-юго-востоку (SSE) от Ковернина, административного центра округа."
"Абсолютная выс. — 102 м над уровнем моря.","Абсолютная высота — 102 метра над уровнем моря."
"д. расположена в 77 км на ю. от города Кодинск.","Деревня расположена в 77 километрах на юг от города Кодинск."
"Джеймс Максвелл назвал Ампера «Н электричества».","Джеймс Максвелл назвал Ампера «Ньютоном электричества»."
"А создал первую теорию, к-рый выражала связь электрических и магнитных явлений, ввёл в физику понятие электрического тока и проницательно предположил, что магнетизм вызван электрическими токами «на молекулярном уровне».","Ампер создал первую теорию, которая выражала связь электрических и магнитных явлений, ввёл в физику понятие электрического тока и проницательно предположил, что магнетизм вызван электрическими токами «на молекулярном уровне»."
"Андре-Мари А род. в Лионе, в приходе Сент-Низье в семье крупного коммерсанта и уважаемого гражданина Жан-Жака Ампера и Жанны-Антуанетты Сарсей-де-Сатьер.","Андре-Мари Ампер родился в Лионе, в приходе Сент-Низье в семье крупного коммерсанта и уважаемого гражданина Жан-Жака Ампера и Жанны-Антуанетты Сарсей-де-Сатьер."
"В раннем детстве юный А быстро освоил чтение и начал букв. «глотать» все книги вокруг без разбора: стихи, романы, философские сочинения, исторические труды и т. п.","В раннем детстве юный Ампер быстро освоил чтение и начал буквально «глотать» все книги вокруг без разбора: стихи, романы, философские сочинения, исторические труды и т. п."
"В 1799 г А женится и становится репетитором в Политехнической школе в Париже, затем, с 1801 года, занимает кафедру физики в Бурке, где он проявил себя и на литературном поприще, впервые выступив с сочинением «Considerations sur la thèorie mathematique du jeu» («Рассуждения о математической теории игр», Лион, 1802); благодаря этому сочинению А в 1805 г получает предложение занять место на кафедре математики в парижской Политехнической школе.","В 1799 году Ампер женится и становится репетитором в Политехнической школе в Париже, затем, с 1801 года, занимает кафедру физики в Бурке, где он проявил себя и на литературном поприще, впервые выступив с сочинением «Considerations sur la thèorie mathematique du jeu» («Рассуждения о математической теории игр», Лион, 1802); благодаря этому сочинению Ампер в 1805 году получает предложение занять место на кафедре математики в парижской Политехнической школе."
"В этот период А публикует ряд математических исследований, посвящённых математическому анализу и теоретической физике, что принесло ему авторитет в научном мире.","В этот период Ампер публикует ряд математических исследований, посвящённых математическому анализу и теоретической физике, что принесло ему авторитет в научном мире."
"А ум. от пневмонии 10 июня 1836 года в Марселе.","Ампер умер от пневмонии 10 июня 1836 года в Марселе."
"Сын Андре Мари, Жан-Жак А (1800—1864), был известным филологом.","Сын Андре Мари, Жан-Жак Ампер (1800—1864), был известным филологом."
"В 1829 г А изобрёл такие устройства как коммутатор и электромагнитный телеграф.","В 1829 году Ампер изобрёл такие устройства как коммутатор и электромагнитный телеграф."
"А А. М. Электродинамика.","Ампер А. М. Электродинамика."
"Белькинд Л. Д. Андре-Мари А. М.: Наука, 1968.","Белькинд Л. Д. Андре-Мари Ампер. М.: Наука, 1968."
"Храмов Ю. А. А Андре Мари // Физики : биогр. справочник / Под ред. А. И. Ахиезера.","Храмов Ю. А. Ампер Андре Мари // Физики : Биографический справочник / Под ред. А. И. Ахиезера."
"А, Андре Мари // Энциклопедический словарь Брокгауза и Ефрона : в 86 т. (82 т. и 4 доп.).","Ампер, Андре Мари // Энциклопедический словарь Брокгауза и Ефрона : в 86 т. (82 т. и 4 доп.)."
"Для аккредитованных журналистов компания «Чумак» на мангале длиной более 30 м приготовила 150 кг шашлыка.","Для аккредитованных журналистов компания «Чумак» на мангале длиной более 30 метров приготовила 150 кг шашлыка."
"23 августа 2013 года началась сборка деревянного моста через ров крепости, дл. 55 м шир. 8 м.","23 августа 2013 года началась сборка деревянного моста через ров крепости, длина 55 метров ширина 8 метров."
