question,answer
"В итоге суд приговорил летчиков к одному году тюрьмы условно и штрафу в размере 3 млн сомалилендских шиллингов (около 600 $) каждого, а также конфисковать всё оружие, находившееся на борту самолета, где были также обнаружены военное снаряжение и мины.","В итоге суд приговорил летчиков к одному году тюрьмы условно и штрафу в размере 3 млн сомалилендских шиллингов (около 600 долларов) каждого, а также конфисковать всё оружие, находившееся на борту самолета, где были также обнаружены военное снаряжение и мины."
"В ходе визита российского дипломата обсуждались возможности строительства российской военно-морской базы недалеко от города Сайла, отправки российских военных советников для обучения сомалилендской армии, а также инвестиции в размере 250 млрд $ в нефтегазовую отрасль экономики и получения с неё российской стороной 35% прибыли.","В ходе визита российского дипломата обсуждались возможности строительства российской военно-морской базы недалеко от города Сайла, отправки российских военных советников для обучения сомалилендской армии, а также инвестиции в размере 250 млрд долларов в нефтегазовую отрасль экономики и получения с неё российской стороной 35% прибыли."
"А жалованья определяется ему с 1742 года, января с 1 числа, по 360 ₽ на год, счисляя в то число квартиру, дрова и свечи.","А жалованья определяется ему с 1742 года, января с 1 числа, по 360 рублей на год, счисляя в то число квартиру, дрова и свечи."
"Часть из них явилось транскрипцией и транслитерацией устоявшихся или только ещё вводимых в научную лексику терминов: атмосфера, микроскоп, -, полюс, формула, периферия, горизонт, диаметр, радиус, пропорция, барометр, манометр, эклиптика, метеорология, оптика, вязкость, кристаллизация, материя, эфир, селитра, сулема, поташ… и тому подобных.","Часть из них явилось транскрипцией и транслитерацией устоявшихся или только ещё вводимых в научную лексику терминов: атмосфера, микроскоп, минус, полюс, формула, периферия, горизонт, диаметр, радиус, пропорция, барометр, манометр, эклиптика, метеорология, оптика, вязкость, кристаллизация, материя, эфир, селитра, сулема, поташ… и тому подобных."
"В 1761 году Сенат поручил ему исполнение этого прекрасного, по словам того же Я. Штелина, проекта, уплатив несколько тысяч ₽ «заранее или на подряд».","В 1761 году Сенат поручил ему исполнение этого прекрасного, по словам того же Я. Штелина, проекта, уплатив несколько тысяч рублей «заранее или на подряд»."
"В 1748 году написал оду в честь очередной годовщины со дня восшествия императрицы Елизаветы Петровны на престол, за что был награждён двумя тысячами ₽.","В 1748 году написал оду в честь очередной годовщины со дня восшествия императрицы Елизаветы Петровны на престол, за что был награждён двумя тысячами рублей."
"Поскольку в 1748 году ещё не было бумажных денег, золото в обращении практически отсутствовало, а серебра же не хватало, М. В. Ломоносов премию в 2000 ₽ получил только медными монетами и был вынужден привезти её на нескольких подводах, так как она весила 3,2 тонны.","Поскольку в 1748 году ещё не было бумажных денег, золото в обращении практически отсутствовало, а серебра же не хватало, М. В. Ломоносов премию в 2000 рублей получил только медными монетами и был вынужден привезти её на нескольких подводах, так как она весила 3,2 тонны."
"В 1990-х годах создал техническую компанию, её оборот достигал порядка 100 тысяч $ в год.","В 1990-х годах создал техническую компанию, её оборот достигал порядка 100 тысяч долларов в год."
"Номинал марки 50 ₽, размер 32,5×32,5 мм, тираж — 126 тыс. экземпляров.","Номинал марки 50 рублей, размер 32,5×32,5 мм, тираж — 126 тыс. экземпляров."
"Задумавшись, кому он оставит наследство в два миллиона $ после своей смерти, актёр в 1986 году усыновил 16-летнего местного подростка по имени Хуан, который к тому времени уже два года жил в доме Роуза, окружённый его заботой.","Задумавшись, кому он оставит наследство в два миллиона долларов после своей смерти, актёр в 1986 году усыновил 16-летнего местного подростка по имени Хуан, который к тому времени уже два года жил в доме Роуза, окружённый его заботой."
