question,answer
"В бассейне размером 25 на 45 м расположены водные кольца, увенчанные 3.000 распылителей и управляемые 49 насосами, общая дл. труб составляет ок. 2-х км.","В бассейне размером 25 на 45 метров расположены водные кольца, увенчанные 3.000 распылителей и управляемые 49 насосами, общая длина труб составляет около 2-х километров."
"д. находится в восточной части Костромской области, в пределах Ветлужско-Унженской низменности, в подзоне южной тайги, при автодороге 34К-215, на расстоянии приблизительно 11 км (по прямой) к северо-востоку от Поназырева, административного центра района.","Деревня находится в восточной части Костромской области, в пределах Ветлужско-Унженской низменности, в подзоне южной тайги, при автодороге 34К-215, на расстоянии приблизительно 11 километров (по прямой) к северо-востоку от Поназырева, административного центра района."
"Абсолютная выс. — 150 м над уровнем моря.","Абсолютная высота — 150 метров над уровнем моря."
"д. находится примерно в девяти км на северо-запад от Будишина.","Деревня находится примерно в девяти километрах на северо-запад от Будишина."
"Во времена ГДР были проведены мелиоративные работы и русло реки было сдвинуто на двести м от деревни.","Во времена ГДР были проведены мелиоративные работы и русло реки было сдвинуто на двести метров от деревни."
"пос. расположен в южной части Архангельской области, в таёжной зоне, в пределах северной части Русской равнины, в 60 км на северо-запад от города Вельска, на правом берегу реки Вели.","Посёлок расположен в южной части Архангельской области, в таёжной зоне, в пределах северной части Русской равнины, в 60 километрах на северо-запад от города Вельска, на правом берегу реки Вели."
"д. находится в восточной части Псковской области, в зоне хвойно-широколиственных лесов, на левом берегу реки Городянки, на расстоянии примерно 17 км (по прямой) к юго-востоку от посёлка городского типа Дедовичи, административного центра района.","Деревня находится в восточной части Псковской области, в зоне хвойно-широколиственных лесов, на левом берегу реки Городянки, на расстоянии примерно 17 километров (по прямой) к юго-востоку от посёлка городского типа Дедовичи, административного центра района."
"Абсолютная выс. — 95 м над уровнем моря.","Абсолютная высота — 95 метров над уровнем моря."
"д. находится в северо-восточной части области, в подзоне южной тайги, на правом берегу реки Лукинки, на расстоянии примерно 16 км (по прямой) к юго-западу от города Любима, административного центра района.","Деревня находится в северо-восточной части области, в подзоне южной тайги, на правом берегу реки Лукинки, на расстоянии примерно 16 километров (по прямой) к юго-западу от города Любима, административного центра района."
"Абсолютная выс. — 125 м над уровнем моря.","Абсолютная высота — 125 метров над уровнем моря."
"Оно находится в крайне труднодоступном месте, на высоте 2100 м над уровнем моря.","Оно находится в крайне труднодоступном месте, на высоте 2100 метров над уровнем моря."
"В селе до сих пор действует Джума-мечеть, постр. в XI веке, и арочный мост на высоте 20 м.","В селе до сих пор действует Джума-мечеть, построенная в XI веке, и арочный мост на высоте 20 метров."
"В этом матче он провёл на площадке 2 минуты 18 с, но результативными действиями не отметился.","В этом матче он провёл на площадке 2 минуты 18 секунд, но результативными действиями не отметился."
"центр. ч. населённого пункта расположена на высоте 554 м над уровнем моря.","Центральная часть населённого пункта расположена на высоте 554 метров над уровнем моря."
"д. расположена в северной части Ивановской области, в зоне хвойно-широколиственных лесов, в пределах Галичско-Чухломской возвышенности, на левом берегу реки Колдомы, на расстоянии примерно 26 км (по прямой) к северо-западу от города Заволжска, административного центра района.","Деревня расположена в северной части Ивановской области, в зоне хвойно-широколиственных лесов, в пределах Галичско-Чухломской возвышенности, на левом берегу реки Колдомы, на расстоянии примерно 26 километров (по прямой) к северо-западу от города Заволжска, административного центра района."
"Абсолютная выс. — 142 м над уровнем моря.","Абсолютная высота — 142 метра над уровнем моря."
"Первые предположения о возможности исследования объектов на атомном уровне можно встретить в книге «Opticks» Исаака Н, вышедшей в 1704 г.","Первые предположения о возможности исследования объектов на атомном уровне можно встретить в книге «Opticks» Исаака Ньютона, вышедшей в 1704 году."
"В книге Н выражает надежду, что микроскопы будущего когда-нибудь смогут исследовать «тайны корпускул».","В книге Ньютон выражает надежду, что микроскопы будущего когда-нибудь смогут исследовать «тайны корпускул»."
"Он назвал этим термином произ-во изделий размером неск. нм.","Он назвал этим термином производство изделий размером несколько нанометров."
"центр. место в его исследованиях играли математические расчёты, с помощью которых можно было проанализировать работу устройства размерами в неск. нм.","Центральное место в его исследованиях играли математические расчёты, с помощью которых можно было проанализировать работу устройства размерами в несколько нанометров."
"Частицы размерами от 1 до 100 нм обычно называют «наночастицами».","Частицы размерами от 1 до 100 нанометров обычно называют «наночастицами»."
"ПАОП представляют собой квазиупорядоченные мезопористые структуры с порами, расположенными нормально к поверхности обр. и имеющими диаметр от единиц до сотен нм и длину от долей до сотен мкм.","ПАОП представляют собой квазиупорядоченные мезопористые структуры с порами, расположенными нормально к поверхности образца и имеющими диаметр от единиц до сотен нанометров и длину от долей до сотен микрометров."
"Частицы размерами порядка нм или наночастицы, как их называют в научных кругах, имеют одно свойство, к-рый очень мешает их использованию.","Частицы размерами порядка нанометров или наночастицы, как их называют в научных кругах, имеют одно свойство, которое очень мешает их использованию."
"Это устройство насчитывает 5000 млн атомов и способно осциллировать с частотой 1,49 ГГц, что позволяет передавать с её помощью огромные объёмы информации.","Это устройство насчитывает 5000 миллионов атомов и способно осциллировать с частотой 1,49 гигагерц, что позволяет передавать с её помощью огромные объёмы информации."
"с. находится в центральной части Калужской области, в зоне хвойно-широколиственных лесов, в пределах северо-западного склона Среднерусской возвышенности, возле южного обхода Калуги, на расстоянии примерно 13 км (по прямой) к югу от города Калуги, административного центра области и округа.","Село находится в центральной части Калужской области, в зоне хвойно-широколиственных лесов, в пределах северо-западного склона Среднерусской возвышенности, возле южного обхода Калуги, на расстоянии примерно 13 километра (по прямой) к югу от города Калуги, административного центра области и округа."
"Э́мшер (нем. Emscher) — правый приток Рейна в Рурской области, длиной в 83,1 км.","Э́мшер (нем. Emscher) — правый приток Рейна в Рурской области, длиной в 83,1 километра."
"дл. реки составляет ок. 83,1 км, перепад высот — 129 м, средний уклон — 1,6 ‰.","Длина реки составляет около 83,1 км, перепад высот — 129 метров, средний уклон — 1,6 ‰."
"Первоначально Эмшер был рекой, сильно меандрирующей в среднем течении, общая её дл. составляла 109 км.","Первоначально Эмшер был рекой, сильно меандрирующей в среднем течении, общая её длина составляла 109 километров."
"Под эгидой Emschergenossenschaft русло Эмшера было углублено примерно на три м, и большая его ч. была укреплена и выпрямлена.","Под эгидой Emschergenossenschaft русло Эмшера было углублено примерно на три метра, и большая его часть была укреплена и выпрямлена."
"Оседание, вызванное горными работами, было компенсировано все более высокими дамбами, так что сегодня Эмшер в некоторых местах даже на неск. м выше уровня окружающей местности.","Оседание, вызванное горными работами, было компенсировано все более высокими дамбами, так что сегодня Эмшер в некоторых местах даже на несколько метров выше уровня окружающей местности."
"напр., на станции в Менгеде был измерен уровень воды более 520 см, при обычном уровне ок. 100 см.","Например, на станции в Менгеде был измерен уровень воды более 520 сантиметров, при обычном уровне около 100 сантиметров."
"Первых серьёзных успехов на международном уровне добилась в сезоне 2004 года, когда в составе российской сборной одержала победу в беге на 400 м с барьерами в юношеской матчевой встрече со сборными Украины и Белоруссии в Киеве, а также в матчевой встрече со сборными Германии, Испании и Польши в Быдгоще.","Первых серьёзных успехов на международном уровне добилась в сезоне 2004 года, когда в составе российской сборной одержала победу в беге на 400 метров с барьерами в юношеской матчевой встрече со сборными Украины и Белоруссии в Киеве, а также в матчевой встрече со сборными Германии, Испании и Польши в Быдгоще."
"На чемпионате России 2015 года в Чебоксарах с личным рекордом 55,69 превзошла всех соперниц в финале бега на 400 м с барьерами и завоевала золотую награду.","На чемпионате России 2015 года в Чебоксарах с личным рекордом 55,69 превзошла всех соперниц в финале бега на 400 метров с барьерами и завоевала золотую награду."
"Также в вместе с московской командой стала победительницей в программе эстафеты 4 × 400 м.","Также в вместе с московской командой стала победительницей в программе эстафеты 4 × 400 метров."
"Конструкция станции — колонная трёхпролётная мелкого заложения (глубина заложения восемь м).","Конструкция станции — колонная трёхпролётная мелкого заложения (глубина заложения восемь метров)."
"Шаг колонн четыре м.","Шаг колонн четыре метра."
"Расстояние между осями рядов колонн 5,9 м.","Расстояние между осями рядов колонн 5,9 метра."
"д. находится в юго-восточной части Тверской области, в зоне хвойно-широколиственных лесов, в пределах Верхневолжской низины (низменной равнины), к западу от автодороги 28К-0510, на расстоянии примерно 8 км (по прямой) к югу от Твери, административного центра области и района.","Деревня находится в юго-восточной части Тверской области, в зоне хвойно-широколиственных лесов, в пределах Верхневолжской низины (низменной равнины), к западу от автодороги 28К-0510, на расстоянии примерно 8 километров (по прямой) к югу от Твери, административного центра области и района."
"Абсолютная выс. — 170 м над уровнем моря.","Абсолютная высота — 170 метров над уровнем моря."
"В 1997 г участвовал в юниорской гонке на чемпионате мира по кроссу в Турине, побывал на юниорском европейском первенстве в Любляне, откуда привёз награду серебряного достоинства, выигранную в беге на 3000 м с препятствиями.","В 1997 году участвовал в юниорской гонке на чемпионате мира по кроссу в Турине, побывал на юниорском европейском первенстве в Любляне, откуда привёз награду серебряного достоинства, выигранную в беге на 3000 метров с препятствиями."
"В 2002 г превзошёл всех соперников на зимнем чемпионате России в Волгограде, показал третий результат на Кубке Европы в Анси, выиграл серебряную и золотую медали на летнем чемпионате России в Чебоксарах — в дисциплинах 5000 м и 3000 м с препятствиями соответственно.","В 2002 году превзошёл всех соперников на зимнем чемпионате России в Волгограде, показал третий результат на Кубке Европы в Анси, выиграл серебряную и золотую медали на летнем чемпионате России в Чебоксарах — в дисциплинах 5000 метров и 3000 метров с препятствиями соответственно."
