question,answer
"Па Бюссьер — Элеонор Волан","Паскаль Бюссьер — Элеонор Волан"
"Па Монпти — Жанна Летелье","Паскаль Монпти — Жанна Летелье"
"Они трудились в условиях жесточайшей дисциплины за 700 г хлеба в день — такова цена девиза «Полк в сутки», с которым Новосибирск вошёл в историю Второй мир. войны.","Они трудились в условиях жесточайшей дисциплины за 700 граммов хлеба в день — такова цена девиза «Полк в сутки», с которым Новосибирск вошёл в историю Второй мировой войны."
"Географические координаты города: 55 ° северной широты, 83 ° восточной долготы.","Географические координаты города: 55 градусов северной широты, 83 градуса восточной долготы."
"С севера на ю., от Заельцовского парка до Морского проспекта, город растянулся на 43 км, с запада на в. его протяжённость равняется 25 км.","С севера на юг, от Заельцовского парка до Морского проспекта, город растянулся на 43 километра, с запада на восток его протяжённость равняется 25 километрам."
"В городе 1941 улица, при этом 493 улицы носят названия, которые встречаются только в Новосибирске, общая дл. которых — 1400 км.","В городе 1941 улица, при этом 493 улицы носят названия, которые встречаются только в Новосибирске, общая длина которых — 1400 километров."
"Ниже плотины новосибирской ГЭС зимой наблюдается полынья длиной 20-30 км.","Ниже плотины новосибирской ГЭС зимой наблюдается полынья длиной 20-30 километров."
"Каменка, протяжённостью 24 км, берёт нач. в районе посёлка Ленинский на территории Новосибирского района; впадает в Обь в районе старого железнодорожного моста.","Каменка, протяжённостью 24 километра, берёт начало в районе посёлка Ленинский на территории Новосибирского района; впадает в Обь в районе старого железнодорожного моста."
"Летом вода прогревается до 20-23 °.","Летом вода прогревается до 20-23 градусов."
"Новосибирск является одним из крупнейших в стране центров оптовой торговли, с развитой логистической инфраструктурой: в 12 км от города создан промышленно-логистический парк общей площадью 2000 га.","Новосибирск является одним из крупнейших в стране центров оптовой торговли, с развитой логистической инфраструктурой: в 12 километрах от города создан промышленно-логистический парк общей площадью 2000 га."
"Также в Новосибирске находится крупнейший торгово-развлекательный центр за Уралом ТРЦ «Аура», к-рый относится к суперрегиональным торговым центрам; он был построен 18 марта 2011, его общая пл. составляет более 150 тыс. квадратных м, общая сумма инвестиций превышает 150 млн евро; ТРЦ построила турецкая компания «Ренейссанс Девелопмент».","Также в Новосибирске находится крупнейший торгово-развлекательный центр за Уралом ТРЦ «Аура», который относится к суперрегиональным торговым центрам; он был построен 18 марта 2011, его общая площадь составляет более 150 тысяч квадратных метров, общая сумма инвестиций превышает 150 млн евро; ТРЦ построила турецкая компания «Ренейссанс Девелопмент»."
"В наст. момент новосибирская автобусная система включает 52 маршрута, обслуживаемых автобусами длиной более 10 м (№ 3, 4, 5, 6, 7, 8, 11, 13, 14, 16, 18, 18к, 20, 21, 23, 28, 29, 30, 31, 32, 34, 35, 36, 37, 39, 41, 42, 44, 45, 46, 50, 51, 53, 54, 55, 57, 59, 60, 61, 64, 65, 68, 69, 73, 77, 79, 88, 91, 95, 96, 97, 98), и 17 маршрутов, обслуживаемых автобусами меньшего размера (№ 1, 9, 10, 15, 19, 24, 27, 40, 43, 48, 49, 52, 52к, 58, 67, 72, 74).","В настоящий момент новосибирская автобусная система включает 52 маршрута, обслуживаемых автобусами длиной более 10 метров (№ 3, 4, 5, 6, 7, 8, 11, 13, 14, 16, 18, 18к, 20, 21, 23, 28, 29, 30, 31, 32, 34, 35, 36, 37, 39, 41, 42, 44, 45, 46, 50, 51, 53, 54, 55, 57, 59, 60, 61, 64, 65, 68, 69, 73, 77, 79, 88, 91, 95, 96, 97, 98), и 17 маршрутов, обслуживаемых автобусами меньшего размера (№ 1, 9, 10, 15, 19, 24, 27, 40, 43, 48, 49, 52, 52к, 58, 67, 72, 74)."
"Частью новосибирского метрополитена является крытый Новосибирский метромост через Обь, дл. которого вместе с береговыми эстакадами превышает 2 км, что является мировым рекордом.","Частью новосибирского метрополитена является крытый Новосибирский метромост через Обь, длина которого вместе с береговыми эстакадами превышает 2 километра, что является мировым рекордом."
"Общая протяжённость выставочных площадок составляет ок. трёх км.","Общая протяжённость выставочных площадок составляет около трёх километров."
"В этом городе расположена Цитадель, сооружение высотой в неск. км, служащее штаб-квартирой Альянса на Земле.","В этом городе расположена Цитадель, сооружение высотой в несколько километров, служащее штаб-квартирой Альянса на Земле."
"д. находится в северной части Курской области, в пределах северо-западной части Тимско-Щигровской гряды, в лесостепной зоне, на правом берегу реки Штевец, на расстоянии примерно 17 км (по прямой) к востоку-юго-востоку (ESE) от Золотухина, административного центра района.","Деревня находится в северной части Курской области, в пределах северо-западной части Тимско-Щигровской гряды, в лесостепной зоне, на правом берегу реки Штевец, на расстоянии примерно 17 километров (по прямой) к востоку-юго-востоку (ESE) от Золотухина, административного центра района."
"Абсолютная выс. — 224 м над уровнем моря.","Абсолютная высота — 224 метра над уровнем моря."
"Общая выс. горы — 2507 м над уровнем моря, исток расположен двумястами м ниже (на высоте 2300 м).","Общая высота горы — 2507 метров над уровнем моря, исток расположен двумястами метрами ниже (на высоте 2300 метров)."
"азиат. находится в 14 км к западу от города Кушвы (по автодороге — в 15 км), при железнодорожной станции Азиатской и на автодороге местного значения Кушва — Качканар — Чусовой.","Азиатская находится в 14 километрах к западу от города Кушвы (по автодороге — в 15 километрах), при железнодорожной станции Азиатской и на автодороге местного значения Кушва — Качканар — Чусовой."
