question,answer
"д. находится в западной части Орловской области, в лесостепной зоне, в пределах центральной части Среднерусской возвышенности, на левом берегу реки Водочи, на расстоянии примерно 7 км (по прямой) к юго-западу от посёлка городского типа Шаблыкино, административного центра района.","Деревня находится в западной части Орловской области, в лесостепной зоне, в пределах центральной части Среднерусской возвышенности, на левом берегу реки Водочи, на расстоянии примерно 7 километров (по прямой) к юго-западу от посёлка городского типа Шаблыкино, административного центра района."
"Абсолютная выс. — 183 м над уровнем моря.","Абсолютная высота — 183 метра над уровнем моря."
"Умбракл занимает территорию длиной в 320 м и шириной в 60, располагаясь на южной стороне комплекса Город искусств и наук.","Умбракл занимает территорию длиной в 320 метров и шириной в 60, располагаясь на южной стороне комплекса Город искусств и наук."
"Его конструкция состоит из 55 закреплённых и 54 парящих арок, достигающих в высоту 18 м.","Его конструкция состоит из 55 закреплённых и 54 парящих арок, достигающих в высоту 18 метров."
"Джон Н Митчелл (англ. John Newton Mitchell; 15 сентября 1913, Детройт, Мичиган — 9 ноября 1988, Вашингтон) — амер. юрист, 67-й генеральный прокурор США при президенте Ричарде Никсоне.","Джон Ньютон Митчелл (англ. John Newton Mitchell; 15 сентября 1913, Детройт, Мичиган — 9 ноября 1988, Вашингтон) — американский юрист, 67-й генеральный прокурор США при президенте Ричарде Никсоне."
"Из-за маловодности Чурюк-Су и быстрого роста населения во второй половине XX вв., реальный объём воды в водохранилище в летнее время составлял лишь 23-25 % от максимального, и это при т. что, начиная с мая, ежесуточно пять насосных станций закачивали в него 12 тыс. кубометров днепровской воды из участка Северо-Крымского канала, расположенного на расстоянии 32 км.","Из-за маловодности Чурюк-Су и быстрого роста населения во второй половине XX века, реальный объём воды в водохранилище в летнее время составлял лишь 23-25 % от максимального, и это при том что, начиная с мая, ежесуточно пять насосных станций закачивали в него 12 тыс. кубометров днепровской воды из участка Северо-Крымского канала, расположенного на расстоянии 32 километров."
"Основное преимущество данного радиоканала заключается в б. дальности связи, способной достигать нескольких сотен м.","Основное преимущество данного радиоканала заключается в большой дальности связи, способной достигать нескольких сотен метров."
"Автономные системы дешевле, проще в эксплуатации, не требуют прокладки сотен м кабеля, использования устройств сопряжения с компьютером, самого компьютера.","Автономные системы дешевле, проще в эксплуатации, не требуют прокладки сотен метров кабеля, использования устройств сопряжения с компьютером, самого компьютера."
"На соревнованиях по плаванию на Летних Олимпийских играх в Стокгольме Розенберг в команде с Валли Дрессель, Хермине Штиндт и Луизой Отто завоевала серебряную медаль в эстафете 4×100 м (англ) с результатом 6 мин 4,6 с.","На соревнованиях по плаванию на Летних Олимпийских играх в Стокгольме Розенберг в команде с Валли Дрессель, Хермине Штиндт и Луизой Отто завоевала серебряную медаль в эстафете 4×100 метров (англ) с результатом 6 мин 4,6 с."
"Нападающий сборной США Клинт Демпси забил самый быстрый гол на турнире, отличившись на 29-й с встречи, этот гол стал 5-м по быстроте в истории чемпионатов мира.","Нападающий сборной США Клинт Демпси забил самый быстрый гол на турнире, отличившись на 29-й секунде встречи, этот гол стал 5-м по быстроте в истории чемпионатов мира."
"Располагается вдоль Юрловского проезда от улицы Мусоргского до проезда Дежнёва в долине реки Чермянки — на территории парка проходит её участок длиной чуть более км.","Располагается вдоль Юрловского проезда от улицы Мусоргского до проезда Дежнёва в долине реки Чермянки — на территории парка проходит её участок длиной чуть более километра."
"Перепады высот колеблются в пределах 5-10 м.","Перепады высот колеблются в пределах 5-10 метров."
"Их выс. колеблется от 4 до 6 м, а самые длинные из них — в центральной и южной (в месте впадения Чермянки в Яузу) частях парка — протянулись на 54 и 20 м.","Их высота колеблется от 4 до 6 метров, а самые длинные из них — в центральной и южной (в месте впадения Чермянки в Яузу) частях парка — протянулись на 54 и 20 метров."
"Располагается на высоте 191,5 м над уровнем моря.","Располагается на высоте 191,5 метров над уровнем моря."
"Форма озера лопастная, продолговатая: оно почти на четыре км вытянуто с северо-запада на юго-восток.","Форма озера лопастная, продолговатая: оно почти на четыре километра вытянуто с северо-запада на юго-восток."
"с. находится на севере Курганской области, в пределах юго-западной части Западно-Сибирской равнины, в подтаёжно-лесостепной зоне, на левом берегу реки Исети, на расстоянии примерно 25 км (по прямой) к юго-востоку от села Шатрова, административного центра района.","Село находится на севере Курганской области, в пределах юго-западной части Западно-Сибирской равнины, в подтаёжно-лесостепной зоне, на левом берегу реки Исети, на расстоянии примерно 25 километров (по прямой) к юго-востоку от села Шатрова, административного центра района."
"Абсолютная выс. — 72 м над уровнем моря.","Абсолютная высота — 72 метра над уровнем моря."
