question,answer
"д. находится в северной части области, на левом берегу реки Яи, на расстоянии примерно 34 км (по прямой) к северо-западу от районного центра посёлка городского типа Яя.","Деревня находится в северной части области, на левом берегу реки Яи, на расстоянии примерно 34 километров (по прямой) к северо-западу от районного центра посёлка городского типа Яя."
"Абсолютная выс. — 128 м над уровнем моря.","Абсолютная высота — 128 метров над уровнем моря."
"д. находится в юго-восточной части Псковской области, в зоне хвойно-широколиственных лесов, к западу от реки Ловати, на расстоянии примерно 28 км (по прямой) к северо-востоку от посёлка городского типа Локни, административного центра района.","Деревня находится в юго-восточной части Псковской области, в зоне хвойно-широколиственных лесов, к западу от реки Ловати, на расстоянии примерно 28 километров (по прямой) к северо-востоку от посёлка городского типа Локни, административного центра района."
"Абсолютная выс. — 82 м над уровнем моря.","Абсолютная высота — 82 метра над уровнем моря."
"Абсолютная выс. 147 м над уровнем моря.","Абсолютная высота 147 метров над уровнем моря."
"Однако в Коста-Рике места обитания золотоклювого аремона наблюдаются на высоте 1200 м над уровнем моря.","Однако в Коста-Рике места обитания золотоклювого аремона наблюдаются на высоте 1200 метров над уровнем моря."
"Взрослые особи достигают длины от 14,5 до 16,5 см.","Взрослые особи достигают длины от 14,5 до 16,5 сантиметров."
"Развязка наступает в последних с видеоклипа.","Развязка наступает в последних секундах видеоклипа."
"Первого серьёзного успеха добилась в 2011 г, получив две золотые медали на юниорском чемпионате мира в Германии — в программе байдарок-двоек на дистанциях 200 и 500 м.","Первого серьёзного успеха добилась в 2011 году, получив две золотые медали на юниорском чемпионате мира в Германии — в программе байдарок-двоек на дистанциях 200 и 500 метров."
"Будучи студенткой Московской государственной академии коммунального хозяйства и строительства, в 2013 г приняла участие в зачёте летней Универсиады в Казани, в четвёрках завоевала серебряную медаль на дистанции 500 м.","Будучи студенткой Московской государственной академии коммунального хозяйства и строительства, в 2013 году приняла участие в зачёте летней Универсиады в Казани, в четвёрках завоевала серебряную медаль на дистанции 500 метров."
"Выполняя боевые задания, обнаружил и сфотографировал 108 аэродромов, 193 железнодорожных узлов и больших станций, 1315 танков, 1840 квадратных км оборонительных рубежей, 2890 вагонов, 6230 автомашин, 56 батальонов пехоты и много других военных объектов.","Выполняя боевые задания, обнаружил и сфотографировал 108 аэродромов, 193 железнодорожных узлов и больших станций, 1315 танков, 1840 квадратных километров оборонительных рубежей, 2890 вагонов, 6230 автомашин, 56 батальонов пехоты и много других военных объектов."
"По итогам войны с. осталось под контролем Азербайджана и располагалось в км от линии соприкосновения вооружённых формирований непризнанной Нагорно-Карабахской Республики и Азербайджанских войск.","По итогам войны село осталось под контролем Азербайджана и располагалось в километре от линии соприкосновения вооружённых формирований непризнанной Нагорно-Карабахской Республики и Азербайджанских войск."
"Одолев спортсмена из Японии Хиросе Харуку иппоном за 27 с, Керим вышел в полуфинал, где победил Карлоса Кортаду из Кубы также иппоном менее чем за минуту.","Одолев спортсмена из Японии Хиросе Харуку иппоном за 27 секунд, Керим вышел в полуфинал, где победил Карлоса Кортаду из Кубы также иппоном менее чем за минуту."
"Победив сначала француза Жульена Туринеса иппоном всего за пять с, Ильхам вышел в полуфинал, где одолел Парка Джунг-мина из Республики Корея броском осаекоми-иппон.","Победив сначала француза Жульена Туринеса иппоном всего за пять секунд, Ильхам вышел в полуфинал, где одолел Парка Джунг-мина из Республики Корея броском осаекоми-иппон."
"В первой он показал 10,69 м, а во второй — 12,80 м.","В первой он показал 10,69 метров, а во второй — 12,80 м."
"В беге на 200 м Эльчин Мурадов не смог пройти квалификацию.","В беге на 200 метров Эльчин Мурадов не смог пройти квалификацию."
"Показав время в 23,38 с он оказался третьим, уступив немцу Маттиасу Шродеру и венесуэльцу Рикардо Сантане.","Показав время в 23,38 секунды он оказался третьим, уступив немцу Маттиасу Шродеру и венесуэльцу Рикардо Сантане."
"15 сентября Вюгар Мехдиев, выступая в беге на 200 м, в предварительном забеге с временем 22,19 с занял третье место.","15 сентября Вюгар Мехдиев, выступая в беге на 200 м, в предварительном забеге с временем 22,19 секунды занял третье место."
"16 сентября в финале он, уступив ирландцу Джейсону Смиту и Алексею Лабзину из России, прибежал за 22 с и занял третье место.","16 сентября в финале он, уступив ирландцу Джейсону Смиту и Алексею Лабзину из России, прибежал за 22 секунд и занял третье место."
"Золото досталость Джейсону Смиту, прибежавшему за 21,43 с.","Золото досталость Джейсону Смиту, прибежавшему за 21,43 секунды."
"В предварительном забеге он стал третьим, преодолев дистанцию за 11,14 с.","В предварительном забеге он стал третьим, преодолев дистанцию за 11,14 секунды."
"В финале Мехтиеву не хватило двух сотых с, чтобы стать третьим.","В финале Мехтиеву не хватило двух сотых секунды, чтобы стать третьим."
"Он пробежал 100 м за 11,01 с.","Он пробежал 100 м за 11,01 секунды."
"В результате Рза Османов прибежал к финишу первым с показателем 51,03 с.","В результате Рза Османов прибежал к финишу первым с показателем 51,03 секунды."
"Вторым прибежал Роберт Романовски с отставанием на 0,63 с.","Вторым прибежал Роберт Романовски с отставанием на 0,63 секунды."
