question,answer
"Выступал за сборную Ирландии по лёгкой атлетике в 1990-х и 2000-х гг, многократный чемпион Ирландии, действующий рекордсмен страны на дистанциях 110, 60 и 50 м с барьерами, участник летних Олимпийских игр в Сиднее.","Выступал за сборную Ирландии по лёгкой атлетике в 1990-х и 2000-х годах, многократный чемпион Ирландии, действующий рекордсмен страны на дистанциях 110, 60 и 50 метров с барьерами, участник летних Олимпийских игр в Сиднее."
"В 1996 г впервые стал чемпионом Ирландии в беге на 110 м с барьерами, с этого момента в течение многих последующих лет входил в число сильнейших барьеристов страны, в составе ирландской сборной регулярно выступал на крупных международных стартах.","В 1996 году впервые стал чемпионом Ирландии в беге на 110 метров с барьерами, с этого момента в течение многих последующих лет входил в число сильнейших барьеристов страны, в составе ирландской сборной регулярно выступал на крупных международных стартах."
"В 1998 г среди прочего бежал 110 м с барьерами на чемпионате Европы в Будапеште, не смог пройти дальше предварительного квалификационного этапа.","В 1998 году среди прочего бежал 110 метров с барьерами на чемпионате Европы в Будапеште, не смог пройти дальше предварительного квалификационного этапа."
"В 1999 г установил ныне действующие национальные рекорды Ирландии в беге на 60 и 110 м с барьерами — 7,57 и 13,30 соответственно.","В 1999 году установил ныне действующие национальные рекорды Ирландии в беге на 60 и 110 метров с барьерами — 7,57 и 13,30 соответственно."
"Благодаря череде успешных выступлений в 2000 г удостоился права защищать честь страны на летних Олимпийских играх в Сиднее — в программе бега на 110 м с барьерами остановился на стадии четвертьфиналов.","Благодаря череде успешных выступлений в 2000 году удостоился права защищать честь страны на летних Олимпийских играх в Сиднее — в программе бега на 110 метров с барьерами остановился на стадии четвертьфиналов."
"В 2001 г на соревнованиях в немецком Зиндельфингене установил ныне действующий нац. рекорд Ирландии в беге на 50 м с барьерами — 6,56.","В 2001 году на соревнованиях в немецком Зиндельфингене установил ныне действующий национальный рекорд Ирландии в беге на 50 метров с барьерами — 6,56."
"В 2005 г бежал 60 м с барьерами на чемпионате Европы в помещении в Мадриде и 110 м с барьерами на чемпионате мира в Хельсинки.","В 2005 году бежал 60 метров с барьерами на чемпионате Европы в помещении в Мадриде и 110 метров с барьерами на чемпионате мира в Хельсинки."
"Васат лежит почти на эклиптике (отступая от неё только на две десятых ° к югу) — большом круге небесной сферы, по которому происходит видимое годичное движение Солнца.","Васат лежит почти на эклиптике (отступая от неё только на две десятых градуса к югу) — большом круге небесной сферы, по которому происходит видимое годичное движение Солнца."
"Поскольку Антарес находится в 5 градусах к северу от эклиптики, то Плутон находится существенно выше (более 10 °) плоскости Солнечной системы, что свидетельствует о необычно большом наклоне орбиты карликовой планеты, Васат, таким образом, маркирует то место, где Плутон пересекает эклиптику в своём пути на с. (восходящий узел орбиты небесного тела).","Поскольку Антарес находится в 5 градусах к северу от эклиптики, то Плутон находится существенно выше (более 10 градусов) плоскости Солнечной системы, что свидетельствует о необычно большом наклоне орбиты карликовой планеты, Васат, таким образом, маркирует то место, где Плутон пересекает эклиптику в своём пути на север (восходящий узел орбиты небесного тела)."
"Сама звезда является субгигантом спектрального класса F с температурой поверхности 6700 K, что всего на 1000 ° горячее, чем температура Солнца.","Сама звезда является субгигантом спектрального класса F с температурой поверхности 6700 K, что всего на 1000 градусов горячее, чем температура Солнца."
"В марте 1901 года выехал в Ревель и в апреле поступил токарем на завод «В».","В марте 1901 года выехал в Ревель и в апреле поступил токарем на завод «Вольта»."
"Там он вновь устроился на «В», быстро восстановил связи с редакцией «Искры», петербургской искровской группой, получил от них новые мат-лы и инструкции.","Там он вновь устроился на «Вольту», быстро восстановил связи с редакцией «Искры», петербургской искровской группой, получил от них новые материалы и инструкции."
"Из них можно выделить просп. Калинина в Барнауле длиной в 5 км и Калининский просп. в Москве (Новый Арбат).","Из них можно выделить проспект Калинина в Барнауле длиной в 5 километров и Калининский проспект в Москве (Новый Арбат)."
"Урочище находится в северо-западной части Оренбургской области, на левом берегу реки Кормежки (приток реки б. Кинель), на расстоянии примерно 12 км (по прямой) к юго-западу от села Матвеевки, административного центра района.","Урочище находится в северо-западной части Оренбургской области, на левом берегу реки Кормежки (приток реки Большой Кинель), на расстоянии примерно 12 километров (по прямой) к юго-западу от села Матвеевки, административного центра района."
"Абсолютная выс. — 255 м над уровнем моря.","Абсолютная высота — 255 метров над уровнем моря."
