question,answer
"ВМС США также решили использовать неописуемый № для почтовых операций.","ВМС США также решили использовать неописуемый номер для почтовых операций."
"По данным футбольного историка Антонио Джирелли, полуфинальные матчи посетили около 50 зрителей, а финал — около ста (прибыль составила 197 ₺).","По данным футбольного историка Антонио Джирелли, полуфинальные матчи посетили около 50 зрителей, а финал — около ста (прибыль составила 197 лир)."
"Стоимость проезда — 32 ₽ (проект «Городская электричка»)","Стоимость проезда — 32 рубля (проект «Городская электричка»)"
"В 1978 году один Ми-2 в сельскохозяйственном варианте оказался даже в США, получив регистрационный № N51946.","В 1978 году один Ми-2 в сельскохозяйственном варианте оказался даже в США, получив регистрационный номер N51946."
"В «Аэрофлоте» Ми-2 стали получать регистрационные № в сериях 14, 15, 20 и 23 (например, СССР-14089, −15207, −20320 и −23309), но были и вертолёты с номерами в серии 81500.","В «Аэрофлоте» Ми-2 стали получать регистрационные номера в сериях 14, 15, 20 и 23 (например, СССР-14089, −15207, −20320 и −23309), но были и вертолёты с номерами в серии 81500."
"бусинками цвета 1) =","бусинками цвета 1) равно"
"Общее число различных орбит (или ожерелий) =","Общее число различных орбит (или ожерелий) равно"
"В 2006 году, Луандину Виейра был удостоен премии Камоэнса, хотя он отказался от неё, а также от приза в размере 128 000 $ США по «По личным причинам».","В 2006 году, Луандину Виейра был удостоен премии Камоэнса, хотя он отказался от неё, а также от приза в размере 128 000 долларов США по «По личным причинам»."
"Полная плата в 1912 году составляла 75 ₽ в год.","Полная плата в 1912 году составляла 75 рублей в год."
"После окончания этих работ Робиду продаёт земельные участки по цене от 100 до 150 $.","После окончания этих работ Робиду продаёт земельные участки по цене от 100 до 150 долларов."
"Годовой доход на душу населения составляет 17 445 $.","Годовой доход на душу населения составляет 17 445 долларов."
"По определению Всемирного банка под средним классом понимается население, ежедневные расходы которого составляет от 10 до 50 $ США в день, по состоянию на 2017 год почти 40 % населения Китая считалось средним классом.","По определению Всемирного банка под средним классом понимается население, ежедневные расходы которого составляет от 10 до 50 долларов США в день, по состоянию на 2017 год почти 40 % населения Китая считалось средним классом."
"Однако, по расчётам того же Всемирного банка среднемесячный доход представителя среднего класса мирового уровня начинается с 3500 $ и к данному классу можно отнести всего не более 8 % от всего населения мира.","Однако, по расчётам того же Всемирного банка среднемесячный доход представителя среднего класса мирового уровня начинается с 3500 долларов и к данному классу можно отнести всего не более 8 % от всего населения мира."
"Критерии для данной оценки приняты как совокупность постоянного месячного дохода на каждого члена семьи в эквиваленте 2—2,5 тысячи $, не менее 40 квадратных метров общей площади на каждого члена семьи и 2—3 легковые машины на семью.","Критерии для данной оценки приняты как совокупность постоянного месячного дохода на каждого члена семьи в эквиваленте 2—2,5 тысячи долларов, не менее 40 квадратных метров общей площади на каждого члена семьи и 2—3 легковые машины на семью."
"При МРОТ в России установленный Федеральным законом минимальный размер оплаты труда с 1 января 2020 года в сумме 12 130 ₽ в месяц следует, средний класс — люди, которые получают от примерно 18 200 руб. (233$).","При МРОТ в России установленный Федеральным законом минимальный размер оплаты труда с 1 января 2020 года в сумме 12 130 рублей в месяц следует, средний класс — люди, которые получают от примерно 18 200 руб. (233$)."
"По оценке Института современного развития, в 2008 году к классическому Среднему классу, соответствующему одновременно всем международным критериям, имеющим стабильный доход от 3 500$ в месяц или в среднем 92 000 ₽(1$=26.30) возможно было отнести только 7 % Россиян.","По оценке Института современного развития, в 2008 году к классическому Среднему классу, соответствующему одновременно всем международным критериям, имеющим стабильный доход от 3 500$ в месяц или в среднем 92 000 рублей(1$=26.30) возможно было отнести только 7 % Россиян."
"Для справки: в 2008 году курс $ США был минимум 23.10 руб., а максимум 29.40 ₽ за 1$ США.","Для справки: в 2008 году курс доллара США был минимум 23.10 руб., а максимум 29.40 рублей за 1$ США."
"Если по официальной статистике средняя зарплата в России на октябрь 2020 года составляет 49 539 ₽, то при индексе Кейтца 40—50 % МРОТ составлял бы 18 669—23 337 ₽, что выше прожиточного минимума для города Москвы (19 797 рубль).","Если по официальной статистике средняя зарплата в России на октябрь 2020 года составляет 49 539 рублей, то при индексе Кейтца 40—50 % МРОТ составлял бы 18 669—23 337 рублей, что выше прожиточного минимума для города Москвы (19 797 рубль)."
"С 1 января 2020 года МРОТ составляет 12 130 ₽ в месяц или около 154 $ США (138 евро), что ниже, чем в большинстве стран Латинской Америки и ниже некоторых стран Африки Южнее Сахары, таких как, например, Габон (270 $), ЮАР (242,35 $) и Экваториальная Гвинея (224 $), не говоря уже об арабских странах Северной Африки Ливии (325 $) и Марокко (от 265 до 310 $).","С 1 января 2020 года МРОТ составляет 12 130 рублей в месяц или около 154 долларов США (138 евро), что ниже, чем в большинстве стран Латинской Америки и ниже некоторых стран Африки Южнее Сахары, таких как, например, Габон (270 долларов), ЮАР (242,35 доллара) и Экваториальная Гвинея (224 доллара), не говоря уже об арабских странах Северной Африки Ливии (325 долларов) и Марокко (от 265 до 310 долларов)."
"Верхушка (1 %) имеет годовой доход превышающий 250 000 $, остальные 4 % — 140 000 $.","Верхушка (1 %) имеет годовой доход превышающий 250 000 долларов, остальные 4 % — 140 000 долларов."
"Обычно домохозяйство этих людей зарабатывает сумму, превышающую 100 000 $ в год, иногда меньше.","Обычно домохозяйство этих людей зарабатывает сумму, превышающую 100 000 долларов в год, иногда меньше."
"Годовой доход домохозяйства этого уровня — от 30 000 до 75 000 $.","Годовой доход домохозяйства этого уровня — от 30 000 до 75 000 долларов."
"Домохозяйства зарабатывают от 16 000 до 30 000 $ в год.","Домохозяйства зарабатывают от 16 000 до 30 000 долларов в год."
"Олег Стецюра так же считал, что годовой оборот отечественного антикварного рынка составлял около 1,5 млрд $.","Олег Стецюра так же считал, что годовой оборот отечественного антикварного рынка составлял около 1,5 млрд долларов."
"Оборот «черного рынка» подсчитать трудно, но по некоторым оценкам на 2004 год он составляет 300 миллионов $, по другим — полтора миллиарда, то есть как минимум в два, а то и в десять раз превышает оборот «белого рынка», который, как писали «Известия», равен приблизительно 150 миллионам (включая опять же зарубежные покупки наших коллекционеров).","Оборот «черного рынка» подсчитать трудно, но по некоторым оценкам на 2004 год он составляет 300 миллионов долларов, по другим — полтора миллиарда, то есть как минимум в два, а то и в десять раз превышает оборот «белого рынка», который, как писали «Известия», равен приблизительно 150 миллионам (включая опять же зарубежные покупки наших коллекционеров)."
"Суммарно количество колец = 68.","Суммарно количество колец равно 68."
"В испанском прокате кассовые сборы фильма составили более 2,5 миллионов $.","В испанском прокате кассовые сборы фильма составили более 2,5 миллионов долларов."
"Последовавшие затем годы Птолемей использовал, чтобы создать для себя опорные пункты на южном и западном побережьях Малой Азии, = как и в Греции.","Последовавшие затем годы Птолемей использовал, чтобы создать для себя опорные пункты на южном и западном побережьях Малой Азии, равно как и в Греции."
"Для господства над большей частью Греции его сил всё = не хватало, поскольку они были необходимы в других местах.","Для господства над большей частью Греции его сил всё равно не хватало, поскольку они были необходимы в других местах."
"В случае если участник соревнований не смог завершить гонку ему начислялось количество очков, равное количеству участников + один.","В случае если участник соревнований не смог завершить гонку ему начислялось количество очков, равное количеству участников плюс один."
"По его предложению в Новогеоргиевске Херсонской губернии была устроена больница для бедных по подписке, доставившей 20 тысяч ₽.","По его предложению в Новогеоргиевске Херсонской губернии была устроена больница для бедных по подписке, доставившей 20 тысяч рублей."
"Демографический суррогат не дал бы никакой идентифицируемой информации, такой как имена, № или адреса библиотек.","Демографический суррогат не дал бы никакой идентифицируемой информации, такой как имена, номера или адреса библиотек."
"3 октября 2003 года герб был внесён в Государственный геральдический регистр Российской Федерации с присвоением регистрационного № 1265.","3 октября 2003 года герб был внесён в Государственный геральдический регистр Российской Федерации с присвоением регистрационного номера 1265."
"Этот Алгоритм распространили на высокие размерности Ло, Матушек и Штайгер и время работы алгоритма =","Этот Алгоритм распространили на высокие размерности Ло, Матушек и Штайгер и время работы алгоритма равно"
"Домовладение значилось в Первой Кремлёвской части, на Новой улице, 104 участок и имело полицейский № 22.","Домовладение значилось в Первой Кремлёвской части, на Новой улице, 104 участок и имело полицейский номер 22."
"Ип Хунфай начал свою профессиональную карьеру в клубе «Уоркабл», когда ему было всего 17 лет под руководством тренеров Лэй Киньво и Чхань Куинминя в 2007 году Его зарплата в то время была только 5 000 гонконгских $..","Ип Хунфай начал свою профессиональную карьеру в клубе «Уоркабл», когда ему было всего 17 лет под руководством тренеров Лэй Киньво и Чхань Куинминя в 2007 году Его зарплата в то время была только 5 000 гонконгских долларов.."
"Флаг утверждён 30 ноября 2006 года как флаг муниципального образования городское поселение Киевский Наро-Фоминского муниципального района Московской области (с 1 июля 2012 года — внутригородское муниципальное образование поселение Киевский в городе Москве) и 8 декабря 2006 года внесён в Государственный геральдический регистр Российской Федерации с присвоением регистрационного № 2730.","Флаг утверждён 30 ноября 2006 года как флаг муниципального образования городское поселение Киевский Наро-Фоминского муниципального района Московской области (с 1 июля 2012 года — внутригородское муниципальное образование поселение Киевский в городе Москве) и 8 декабря 2006 года внесён в Государственный геральдический регистр Российской Федерации с присвоением регистрационного номера 2730."
"Арон Шнеер отмечает, что по данным ЧГК через Саласпилс с конца 1942 года по 1944 год прошло около 12 тысяч детей в возрасте от грудных до 14-15 лет, однако из отношения Социального департамента от 3 ноября 1943 года известно, что порядковые № регистрации детей в Саласпилсском лагере достигали 17 683, это позволяет предположить, что число детей, прошедших через лагерь было намного больше.","Арон Шнеер отмечает, что по данным ЧГК через Саласпилс с конца 1942 года по 1944 год прошло около 12 тысяч детей в возрасте от грудных до 14-15 лет, однако из отношения Социального департамента от 3 ноября 1943 года известно, что порядковые номера регистрации детей в Саласпилсском лагере достигали 17 683, это позволяет предположить, что число детей, прошедших через лагерь было намного больше."
"Испытывал крайние материальные трудности, но отказался от помощи графа П. И. Мошинского, который обратился в июле 1830 года с просьбой к Бенкендорфу о разрешении его жене, графине Мошинской, доставлять Враницкому ежегодно по 1 тыс. ₽ и такую же сумму высылать его отцу, который жил в Праге.","Испытывал крайние материальные трудности, но отказался от помощи графа П. И. Мошинского, который обратился в июле 1830 года с просьбой к Бенкендорфу о разрешении его жене, графине Мошинской, доставлять Враницкому ежегодно по 1 тыс. рублей и такую же сумму высылать его отцу, который жил в Праге."
"Когда Стайн покинула общину в 2012 году и стала атеисткой, её родители сказали, что «независимо от того, что происходит, что бы с тобой ни случилось, ты всё = остаёшься нашим ребёнком».","Когда Стайн покинула общину в 2012 году и стала атеисткой, её родители сказали, что «независимо от того, что происходит, что бы с тобой ни случилось, ты всё равно остаёшься нашим ребёнком»."
"В 1996—1997 годах Галковский издавал собственный журнал «Разбитый компас» (вышло 3 №).","В 1996—1997 годах Галковский издавал собственный журнал «Разбитый компас» (вышло 3 номера)."
"Новый Мир, № 5, 1995. magazines.gorky.media (1995).","Новый Мир, номер 5, 1995. magazines.gorky.media (1995)."
"журнал Знамя, № 1, 2003.","журнал Знамя, номер 1, 2003."
"журнал Знамя, № 6, 1998. magazines.gorky.media.","журнал Знамя, номер 6, 1998. magazines.gorky.media."
"Во время революционных событий 1905—1907 годов принимал участие в работе марксистского кружка в Палехе, распространял № газеты «Искра», брошюры РСДРП, революционные прокламации и книги.","Во время революционных событий 1905—1907 годов принимал участие в работе марксистского кружка в Палехе, распространял номера газеты «Искра», брошюры РСДРП, революционные прокламации и книги."
"Станции изменения № поезда: нет.","Станции изменения номера поезда: нет."
"В ноябре 1983 года вместе с братьями певец заключил контракт на 5 млн $ с компанией PepsiCo, The Jacksons снялись в серии рекламных роликов.","В ноябре 1983 года вместе с братьями певец заключил контракт на 5 млн долларов с компанией PepsiCo, The Jacksons снялись в серии рекламных роликов."
"Компания Pepsi выплатила музыканту компенсацию в размере 1,5 млн $, все деньги певец пожертвовал на открытие ожогового центра.","Компания Pepsi выплатила музыканту компенсацию в размере 1,5 млн долларов, все деньги певец пожертвовал на открытие ожогового центра."
"В 1981 году Маккартни и Йоко Оно предприняли попытку выкупить оттуда песни The Beatles, однако тогдашний владелец компании ATV Лью Грейд был согласен продать лишь весь каталог сразу за 30 млн $.","В 1981 году Маккартни и Йоко Оно предприняли попытку выкупить оттуда песни The Beatles, однако тогдашний владелец компании ATV Лью Грейд был согласен продать лишь весь каталог сразу за 30 млн долларов."
"Юристы Джексона начали кампанию по приобретению издательских прав, продлившуюся 10 месяцев, и, обойдя конкурентов, Джексон в середине августа 1985 года стал их владельцем за 47,5 миллиона $.","Юристы Джексона начали кампанию по приобретению издательских прав, продлившуюся 10 месяцев, и, обойдя конкурентов, Джексон в середине августа 1985 года стал их владельцем за 47,5 миллиона долларов."
"К концу 1987 года в благотворительный фонд USA for Africa поступили средства в размере 91 млн. $, 54 из которых были получены с продаж сингла.","К концу 1987 года в благотворительный фонд USA for Africa поступили средства в размере 91 млн. долларов, 54 из которых были получены с продаж сингла."
"Премьера 17-минутной ленты, бюджет которой составил около 30 млн $, состоялась 13 сентября 1986 года.","Премьера 17-минутной ленты, бюджет которой составил около 30 млн долларов, состоялась 13 сентября 1986 года."
